description,type,name,region_s,year,price
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,1995,11.07
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,1995,10.139999
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,1995,11.19
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,1995,15.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,1995,12.74
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,1995,4.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,1995,5.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,1995,5.29
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,1995,5.25
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,1995,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,1995,4.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,1995,4.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,1995,3.6500001
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,1995,4.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,1995,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,1995,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,1995,4.9899998
DRAUGHT STOUT PER PINT,Drink,Stout,London,1995,1.92
DRAUGHT STOUT PER PINT,Drink,Stout,South East,1995,1.95
DRAUGHT STOUT PER PINT,Drink,Stout,South West,1995,1.9
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,1995,1.9
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,1995,1.8099999
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,1995,1.8
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,1995,1.78
DRAUGHT STOUT PER PINT,Drink,Stout,North West,1995,1.75
DRAUGHT STOUT PER PINT,Drink,Stout,North,1995,1.73
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,1995,1.78
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,1995,1.65
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,1995,1.65
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1996,1.73
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1996,1.7
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1996,1.65
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1996,1.64
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1996,1.5
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1996,1.4299999
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1996,1.4400001
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1996,1.38
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1996,1.4299999
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1996,1.45
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1996,1.5599999
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1996,1.7
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,1996,11.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,1996,11.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,1996,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,1996,12.42
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,1996,11.25
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,1996,11.3
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,1996,12.74
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,1996,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,1996,9.9400005
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,1996,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,1996,16.15
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,1996,12.49
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,1996,4.8699999
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,1996,5.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,1996,5.3499999
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,1996,5.1700001
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,1996,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,1996,4.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,1996,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,1996,4.8699999
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,1996,4.9499998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,1996,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,1996,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,1996,4.9899998
DRAUGHT STOUT PER PINT,Drink,Stout,London,1996,2.0
DRAUGHT STOUT PER PINT,Drink,Stout,South East,1996,2.0
DRAUGHT STOUT PER PINT,Drink,Stout,South West,1996,1.97
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,1996,1.95
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,1996,1.9
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,1996,1.88
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,1996,1.84
DRAUGHT STOUT PER PINT,Drink,Stout,North West,1996,1.8099999
DRAUGHT STOUT PER PINT,Drink,Stout,North,1996,1.8
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,1996,1.8
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,1996,1.75
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,1996,1.7
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1997,1.8
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1997,1.78
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1997,1.7
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1997,1.7
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1997,1.55
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1997,1.54
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1997,1.5
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1997,1.46
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1997,1.48
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1997,1.5
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1997,1.62
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1997,1.75
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,1997,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,1997,15.84
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,1997,12.24
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,1997,15.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,1997,11.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,1997,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,1997,16.690001
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,1997,11.65
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,1997,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,1997,11.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,1997,16.690001
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,1997,12.49
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,1997,5.1700001
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,1997,5.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,1997,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,1997,5.1700001
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,1997,4.8699999
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,1997,4.8699999
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,1997,4.8699999
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,1997,3.79
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,1997,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,1997,5.1700001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,1997,4.8699999
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,1997,4.9899998
DRAUGHT STOUT PER PINT,Drink,Stout,London,1997,2.0999999
DRAUGHT STOUT PER PINT,Drink,Stout,South East,1997,2.0999999
DRAUGHT STOUT PER PINT,Drink,Stout,South West,1997,2.0
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,1997,2.0
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,1997,1.96
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,1997,1.9400001
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,1997,1.9
DRAUGHT STOUT PER PINT,Drink,Stout,North West,1997,1.89
DRAUGHT STOUT PER PINT,Drink,Stout,North,1997,1.86
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,1997,1.855
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,1997,1.85
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,1997,1.75
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1998,1.9
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1998,1.85
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1998,1.74
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1998,1.8
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1998,1.6
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1998,1.6
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1998,1.55
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1998,1.5
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1998,1.55
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1998,1.58
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1998,1.72
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1998,1.85
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,1998,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,1998,12.79
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,1998,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,1998,16.59
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,1998,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,1998,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,1998,16.09
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,1998,11.940001
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,1998,12.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,1998,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,1998,15.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,1998,16.34
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,1998,5.5900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,1998,6.1199999
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,1998,5.25
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,1998,5.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,1998,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,1998,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,1998,4.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,1998,3.8
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,1998,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,1998,5.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,1998,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,1998,4.9899998
DRAUGHT STOUT PER PINT,Drink,Stout,London,1998,2.1550002
DRAUGHT STOUT PER PINT,Drink,Stout,South East,1998,2.2
DRAUGHT STOUT PER PINT,Drink,Stout,South West,1998,2.0999999
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,1998,2.1500001
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,1998,2.0
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,1998,2.0
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,1998,2.0
DRAUGHT STOUT PER PINT,Drink,Stout,North West,1998,1.97
DRAUGHT STOUT PER PINT,Drink,Stout,North,1998,1.9299999
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,1998,2.0
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,1998,1.9
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,1998,1.85
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1999,1.97
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1999,1.9
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1999,1.8
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1999,1.9
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1999,1.7
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1999,1.65
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1999,1.63
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1999,1.55
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1999,1.65
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1999,1.66
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1999,1.8
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1999,1.9
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,1999,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,1999,13.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,1999,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,1999,17.939999
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,1999,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,1999,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,1999,13.09
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,1999,12.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,1999,12.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,1999,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,1999,15.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,1999,17.290001
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,1999,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,1999,5.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,1999,6.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,1999,5.5900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,1999,5.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,1999,5.5900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,1999,5.54
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,1999,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,1999,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,1999,6.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,1999,5.52
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,1999,4.9899998
DRAUGHT STOUT PER PINT,Drink,Stout,London,1999,2.22
DRAUGHT STOUT PER PINT,Drink,Stout,South East,1999,2.27
DRAUGHT STOUT PER PINT,Drink,Stout,South West,1999,2.2
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,1999,2.25
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,1999,2.0999999
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,1999,2.0999999
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,1999,2.0899999
DRAUGHT STOUT PER PINT,Drink,Stout,North West,1999,2.0
DRAUGHT STOUT PER PINT,Drink,Stout,North,1999,2.0
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,1999,2.04
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,1999,1.96
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,1999,1.9
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,2000,2.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,2000,1.95
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,2000,1.85
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,2000,1.9
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,2000,1.75
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,2000,1.7
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,2000,1.66
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,2000,1.59
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,2000,1.6799999
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,2000,1.7
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,2000,1.85
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,2000,2.0
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,2000,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,2000,12.69
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,2000,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,2000,17.85
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,2000,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,2000,12.35
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,2000,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,2000,12.35
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,2000,12.35
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,2000,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,2000,14.440001
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,2000,17.290001
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,2000,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,2000,5.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,2000,5.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,2000,6.4499998
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,2000,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,2000,5.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,2000,5.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,2000,5.5900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,2000,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,2000,6.4499998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,2000,5.5900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,2000,4.9899998
DRAUGHT STOUT PER PINT,Drink,Stout,London,2000,2.3
DRAUGHT STOUT PER PINT,Drink,Stout,South East,2000,2.3099999
DRAUGHT STOUT PER PINT,Drink,Stout,South West,2000,2.2
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,2000,2.3
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,2000,2.0999999
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,2000,2.1400001
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,2000,2.0999999
DRAUGHT STOUT PER PINT,Drink,Stout,North West,2000,2.0349998
DRAUGHT STOUT PER PINT,Drink,Stout,North,2000,2.05
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,2000,2.0999999
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,2000,2.05
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,2000,2.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,2001,2.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,2001,2.01
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,2001,1.95
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,2001,1.95
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,2001,1.78
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,2001,1.77
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,2001,1.7
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,2001,1.7
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,2001,1.7
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,2001,1.725
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,2001,1.9
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,2001,2.0
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,2001,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,2001,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,2001,12.35
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,2001,13.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,2001,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,2001,12.35
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,2001,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,2001,11.35
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,2001,12.75
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,2001,12.04
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,2001,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,2001,17.290001
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,2001,5.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,2001,6.52
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,2001,5.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,2001,5.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,2001,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,2001,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,2001,5.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,2001,6.0900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,2001,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,2001,6.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,2001,6.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,2001,4.9899998
DRAUGHT STOUT PER PINT,Drink,Stout,London,2001,2.395
DRAUGHT STOUT PER PINT,Drink,Stout,South East,2001,2.4000001
DRAUGHT STOUT PER PINT,Drink,Stout,South West,2001,2.3199999
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,2001,2.3
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,2001,2.2
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,2001,2.25
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,2001,2.1600001
DRAUGHT STOUT PER PINT,Drink,Stout,North West,2001,2.1199999
DRAUGHT STOUT PER PINT,Drink,Stout,North,2001,2.1500001
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,2001,2.0999999
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,2001,2.0999999
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,2001,2.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,2002,2.05
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,2002,2.1500001
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,2002,2.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,2002,2.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,2002,1.8
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,2002,1.8
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,2002,1.78
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,2002,1.74
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,2002,1.78
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,2002,1.8
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,2002,2.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,2002,2.0999999
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,2002,13.53
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,2002,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,2002,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,2002,13.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,2002,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,2002,12.74
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,2002,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,2002,12.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,2002,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,2002,11.190001
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,2002,12.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,2002,17.290001
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,2002,5.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,2002,6.48
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,2002,5.8899999
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,2002,4.9399996
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,2002,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,2002,6.3899999
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,2002,5.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,2002,6.48
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,2002,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,2002,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,2002,6.48
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,2002,4.9899998
DRAUGHT STOUT PER PINT,Drink,Stout,London,2002,2.46
DRAUGHT STOUT PER PINT,Drink,Stout,South East,2002,2.5
