Unnamed: 0,Week,Trend,Value
748,16/10/2022,Housing Bubble,0
749,16/10/2022,Property Market Crash,0
750,23/10/2022,Housing Crash,28
751,23/10/2022,Housing Bubble,0
752,23/10/2022,Property Market Crash,50
753,30/10/2022,Housing Crash,28
754,30/10/2022,Housing Bubble,24
755,30/10/2022,Property Market Crash,60
756,06/11/2022,Housing Crash,20
757,06/11/2022,Housing Bubble,0
758,06/11/2022,Property Market Crash,0
759,13/11/2022,Housing Crash,20
760,13/11/2022,Housing Bubble,0
761,13/11/2022,Property Market Crash,20
762,20/11/2022,Housing Crash,10
763,20/11/2022,Housing Bubble,0
764,20/11/2022,Property Market Crash,0
765,27/11/2022,Housing Crash,7
766,27/11/2022,Housing Bubble,0
767,27/11/2022,Property Market Crash,0
768,04/12/2022,Housing Crash,7
769,04/12/2022,Housing Bubble,0
770,04/12/2022,Property Market Crash,0
771,11/12/2022,Housing Crash,11
772,11/12/2022,Housing Bubble,48
773,11/12/2022,Property Market Crash,28
774,18/12/2022,Housing Crash,9
775,18/12/2022,Housing Bubble,50
776,18/12/2022,Property Market Crash,23
777,25/12/2022,Housing Crash,14
778,25/12/2022,Housing Bubble,0
779,25/12/2022,Property Market Crash,0
780,01/01/2023,Housing Crash,23
781,01/01/2023,Housing Bubble,0
782,01/01/2023,Property Market Crash,0
