DATE,Date,CPIAUCSL_PC1
01/02/2009,2009-02-01,0.00846
01/03/2009,2009-03-01,-0.44648
01/04/2009,2009-04-01,-0.57632
01/05/2009,2009-05-01,-1.01576
01/06/2009,2009-06-01,-1.22917
01/07/2009,2009-07-01,-1.95876
01/08/2009,2009-08-01,-1.48384
01/09/2009,2009-09-01,-1.37794
01/10/2009,2009-10-01,-0.22397
01/11/2009,2009-11-01,1.91459
01/12/2009,2009-12-01,2.81412
01/01/2010,2010-01-01,2.62111
01/02/2010,2010-02-01,2.15134
01/03/2010,2010-03-01,2.28617
01/04/2010,2010-04-01,2.20677
01/05/2010,2010-05-01,2.00355
01/06/2010,2010-06-01,1.12156
01/07/2010,2010-07-01,1.34078
01/08/2010,2010-08-01,1.15018
01/09/2010,2010-09-01,1.11831
01/10/2010,2010-10-01,1.1667
01/11/2010,2010-11-01,1.08454
01/12/2010,2010-12-01,1.43779
01/01/2011,2011-01-01,1.70078
01/02/2011,2011-02-01,2.1249
01/03/2011,2011-03-01,2.61924
01/04/2011,2011-04-01,3.07723
01/05/2011,2011-05-01,3.45897
01/06/2011,2011-06-01,3.50232
01/07/2011,2011-07-01,3.57988
01/08/2011,2011-08-01,3.755
01/09/2011,2011-09-01,3.81262
01/10/2011,2011-10-01,3.52227
01/11/2011,2011-11-01,3.45143
01/12/2011,2011-12-01,3.06207
01/01/2012,2012-01-01,3.00877
01/02/2012,2012-02-01,2.89818
01/03/2012,2012-03-01,2.58288
01/04/2012,2012-04-01,2.27316
01/05/2012,2012-05-01,1.73794
01/06/2012,2012-06-01,1.65387
01/07/2012,2012-07-01,1.41751
01/08/2012,2012-08-01,1.68593
01/09/2012,2012-09-01,1.94972
01/10/2012,2012-10-01,2.15568
01/11/2012,2012-11-01,1.79602
01/12/2012,2012-12-01,1.7595
01/01/2013,2013-01-01,1.68406
01/02/2013,2013-02-01,2.01814
01/03/2013,2013-03-01,1.51875
01/04/2013,2013-04-01,1.13881
01/05/2013,2013-05-01,1.39039
01/06/2013,2013-06-01,1.71579
01/07/2013,2013-07-01,1.88547
01/08/2013,2013-08-01,1.53881
01/09/2013,2013-09-01,1.09473
01/10/2013,2013-10-01,0.8768
01/11/2013,2013-11-01,1.23287
01/12/2013,2013-12-01,1.51284
01/01/2014,2014-01-01,1.55776
01/02/2014,2014-02-01,1.12047
01/03/2014,2014-03-01,1.61269
01/04/2014,2014-04-01,2.01513
01/05/2014,2014-05-01,2.16695
01/06/2014,2014-06-01,2.05898
01/07/2014,2014-07-01,1.97424
01/08/2014,2014-08-01,1.7151
01/09/2014,2014-09-01,1.68405
01/10/2014,2014-10-01,1.60954
01/11/2014,2014-11-01,1.23152
01/12/2014,2014-12-01,0.65312
01/01/2015,2015-01-01,-0.22993
01/02/2015,2015-02-01,-0.08703
01/03/2015,2015-03-01,-0.02203
01/04/2015,2015-04-01,-0.10403
01/05/2015,2015-05-01,0.03503
01/06/2015,2015-06-01,0.17957
01/07/2015,2015-07-01,0.22569
01/08/2015,2015-08-01,0.2413
01/09/2015,2015-09-01,0.00884
01/10/2015,2015-10-01,0.12762
01/11/2015,2015-11-01,0.43632
01/12/2015,2015-12-01,0.63872
01/01/2016,2016-01-01,1.2375
01/02/2016,2016-02-01,0.84728
01/03/2016,2016-03-01,0.89162
01/04/2016,2016-04-01,1.17263
01/05/2016,2016-05-01,1.07848
01/06/2016,2016-06-01,1.07929
01/07/2016,2016-07-01,0.86836
01/08/2016,2016-08-01,1.05532
01/09/2016,2016-09-01,1.54864
01/10/2016,2016-10-01,1.68592
01/11/2016,2016-11-01,1.68433
01/12/2016,2016-12-01,2.0508
01/01/2017,2017-01-01,2.51039
01/02/2017,2017-02-01,2.81036
01/03/2017,2017-03-01,2.4412
01/04/2017,2017-04-01,2.17622
01/05/2017,2017-05-01,1.85634
01/06/2017,2017-06-01,1.64057
01/07/2017,2017-07-01,1.72511
01/08/2017,2017-08-01,1.92812
01/09/2017,2017-09-01,2.18057
01/10/2017,2017-10-01,2.02076
01/11/2017,2017-11-01,2.17249
01/12/2017,2017-12-01,2.12993
01/01/2018,2018-01-01,2.1037
01/02/2018,2018-02-01,2.22658
01/03/2018,2018-03-01,2.33259
01/04/2018,2018-04-01,2.43783
01/05/2018,2018-05-01,2.77659
01/06/2018,2018-06-01,2.84851
01/07/2018,2018-07-01,2.89875
01/08/2018,2018-08-01,2.678
01/09/2018,2018-09-01,2.35518
01/10/2018,2018-10-01,2.52852
01/11/2018,2018-11-01,2.17281
01/12/2018,2018-12-01,1.91522
01/01/2019,2019-01-01,1.49833
01/02/2019,2019-02-01,1.48172
01/03/2019,2019-03-01,1.87995
01/04/2019,2019-04-01,2.00563
01/05/2019,2019-05-01,1.81275
01/06/2019,2019-06-01,1.68964
01/07/2019,2019-07-01,1.82116
01/08/2019,2019-08-01,1.75969
01/09/2019,2019-09-01,1.72733
01/10/2019,2019-10-01,1.75708
01/11/2019,2019-11-01,2.03082
01/12/2019,2019-12-01,2.26172
01/01/2020,2020-01-01,2.46049
01/02/2020,2020-02-01,2.31971
01/03/2020,2020-03-01,1.53064
01/04/2020,2020-04-01,0.36486
01/05/2020,2020-05-01,0.24244
01/06/2020,2020-06-01,0.72681
01/07/2020,2020-07-01,1.03283
01/08/2020,2020-08-01,1.32759
01/09/2020,2020-09-01,1.40065
01/10/2020,2020-10-01,1.1842
01/11/2020,2020-11-01,1.13776
01/12/2020,2020-12-01,1.27815
01/01/2021,2021-01-01,1.35997
01/02/2021,2021-02-01,1.67524
01/03/2021,2021-03-01,2.65838
01/04/2021,2021-04-01,4.15199
01/05/2021,2021-05-01,4.94444
01/06/2021,2021-06-01,5.34102
01/07/2021,2021-07-01,5.2761
01/08/2021,2021-08-01,5.20533
01/09/2021,2021-09-01,5.38991
01/10/2021,2021-10-01,6.23694
01/11/2021,2021-11-01,6.82837
01/12/2021,2021-12-01,7.09654
01/01/2022,2022-01-01,7.52593
