Country,China,India,Colombia,Malaysia,Peru,Fiji,Jamaica,Antigua and Barbuda,Taiwan,Paraguay,Ecuador,Chile,Algeria,Turkey,Jordan,Costa Rica,Iran,Seychelles,Panama,Brazil,Uruguay,South Africa,Poland,Barbados,Romania,Bulgaria,Mexico,Cyprus,Malta,Hungary,Portugal,Puerto Rico,Hong Kong,Oman,Argentina,Lebanon,Israel,Gabon,Venezuela,Ireland,Spain,Japan,Singapore,Greece,New Zealand,United Kingdom,Finland,Australia,Sweden,France,Belgium,Italy,Iceland,Canada,Germany,Netherlands,Austria,Denmark,United States,Norway,The Bahamas,Luxembourg,Bahrain,Switzerland,Kuwait,Libya,Saudi Arabia,Qatar,United Arab Emirates
2018,15050.183,6436.152,14879.14,26849.887,12996.772,13748.045,10455.167,21297.867,49815.034,12651.444,11603.144,24179.863,11362.794,28660.967,10060.153,20002.166,15323.612,29121.158,31174.047,14736.811,22662.6,13845.589,31838.525,15685.702,28812.185,22355.868,20162.003,40380.699,46104.039,31496.974,34083.355,34151.099,60769.096,34208.006,22747.242,15561.543,40356.316,15222.289,10427.235,83611.685,40382.949,41757.968,98280.042,29066.917,41608.219,46792.679,48078.357,50251.872,52860.886,47066.278,51423.719,42592.863,57997.499,49352.626,53737.272,56490.468,55274.189,56463.278,61313.664,63614.009,37075.45,115819.69,48424.429,70350.909,45720.827,25595.531,50005.26,91679.05,69819.141
2019,15893.004,6617.13,14999.854,27913.548,12886.369,13592.636,10544.6,22000.223,51310.478,12424.932,11440.185,23905.932,11252.835,28485.734,10115.62,20271.551,14675.905,29736.372,31646.186,14799.44,22660.765,13690.072,33258.733,15564.247,30103.221,23421.095,19923.177,42045.732,47550.336,33043.929,34989.25,34724.612,59492.193,33702.768,22071.748,14493.268,41236.714,15608.055,7836.525,87028.319,40854.649,41680.506,98455.328,29660.382,42169.194,47286.433,48624.746,50473.316,53402.352,47766.946,52314.955,42885.328,57631.825,49565.492,54181.281,57258.337,56276.294,57060.339,62429.7,63930.194,37361.232,116212.059,50118.484,70659.713,43994.793,22505.107,49235.979,91022.868,69576.041
2020,16225.857,6172.043,13642.259,26319.321,11353.51,11219.563,9487.737,17299.228,53142.481,12153.216,10403.08,22032.017,10574.954,28878.96,9857.86,19204.598,14990.882,27213.247,25605.037,14205.741,21200.621,12639.636,32599.467,13458.375,29120.262,22607.556,18157.498,39659.742,41681.189,31552.551,32051.277,33640.694,56300.775,33891.38,19680.299,10786.067,39753.579,15118.632,5459.719,91611.57,36036.17,40015.081,94910.101,27004.951,40727.112,41892.221,47416.288,49341.842,51983.14,43873.981,49222.49,39149.25,52409.56,46508.356,52138.096,54621.169,52394.66,55762.466,60205.076,62724.915,28146.479,113036.37,48165.542,68400.174,41006.306,15718.945,46028.72,91541.24,67703.847
2021,17590.899,6665.879,14944.245,27136.507,12764.349,10587.403,9913.019,17946.514,57061.718,12468.828,10693.409,24293.791,10756.482,31752.912,10012.856,20492.549,15549.763,29116.806,29130.71,14854.61,22058.265,13145.758,34940.553,13398.949,31034.908,24609.701,18840.643,41914.385,46463.334,33932.851,33831.753,33281.811,60135.073,34241.973,21511.59,,42471.865,15149.406,5557.005,103118.322,37991.215,40984.544,107741.118,29392.16,42993.558,44941.86,48785.763,51647.873,54400.103,46714.523,52095.596,42318.29,53990.014,48547.994,53484.024,57065.695,54300.264,58298.045,63582.331,64843.847,31654.627,117190.25,48394.417,70761.322,40969.133,19973.335,49099.552,95338.561,68327.817
2022,18117.146,7054.258,15890.144,29126.928,12979.364,12057.834,10297.813,18822.626,58565.003,12325.047,10865.672,24630.982,10897.173,33284.398,10252.511,21177.303,15782.707,31411.049,31620.886,15192.447,23058.629,13312.195,36824.34,14701.548,32793.815,25590.438,19247.26,43849.403,49182.353,35608.218,36107.305,35267.278,58566.555,34936.037,22415.299,,44335.461,15389.547,6148.013,113308.746,39899.45,41536.252,108036.111,31258.859,43921.81,46406.964,49672.664,53113.792,55470.071,47788.45,53415.319,43910.304,56330.577,49368.956,54046.734,59253.149,56729.958,60067.115,64660.929,66405.266,34743.199,117038.2,49191.617,71700.796,43591.727,17241.88,52345.976,97433.546,70909.848
2023,19073.979,7401.218,15874.603,30057.271,13159.203,12828.884,10512.393,19587.428,59829.96,12707.313,11023.456,24156.628,11018.37,33781.813,10517.628,21553.437,15946.151,32354.282,32773.868,15242.778,23444.607,13125.815,36987.993,15382.9,33962.37,26108.457,19430.951,44548.568,50526.618,35816.439,36469.767,35766.007,60852.72,34414.827,22237.762,,44863.409,15659.915,6548.41,118442.663,40336.641,42262.858,109223.414,32204.01,44087.716,46065.584,49676.506,53321.48,53710.084,47988.098,53431.679,44226.482,56921.54,49088.631,53947.031,59527.372,56695.846,59863.636,65287.543,67424.797,35821.512,116235.155,49430.453,71754.942,43264.432,20066.084,52889.638,101832.049,71965.69
2024,19944.534,7799.447,16015.705,31041.868,13419.513,13393.823,10710.444,20359.668,61385.539,12977.849,11174.611,24390.943,11141.198,34608.838,10792.665,22024.314,16111.399,33309.804,33656.208,15384.285,24046.199,13164.521,37946.846,15934.717,35501.292,27189.668,19574.443,45368.279,52049.134,36975.709,37077.196,35549.244,62709.397,35077.045,22457.938,,45499.654,15952.439,6864.359,121993.14,40973.966,42893.622,111132.066,32822.812,44120.669,46292.709,50311.348,53530.837,53777.271,48453.955,53846.894,44593.107,57477.53,49155.48,54520.953,60020.849,57022.451,60268.319,65546.209,68725.138,36076.855,115899.656,50040.519,72502.408,43687.742,21537.213,53485.578,104754.877,73652.972
2025,20782.642,8211.532,16322.288,32020.985,13685.3,13961.284,10880.132,20908.229,62736.021,13255.396,11326.0,24698.26,11231.566,35261.856,11096.036,22523.723,16278.492,34270.434,34572.903,15597.704,24595.503,13174.246,39402.436,16339.438,37155.526,28138.845,19790.596,46311.704,53613.775,38209.489,37970.466,35549.244,64172.062,34764.951,22680.318,,46262.326,16247.88,,125078.102,41659.042,43360.766,113370.175,33421.165,44851.776,47100.246,50974.92,53975.512,54739.804,49237.62,54320.316,45154.147,58156.494,49614.043,55640.774,60772.781,57740.709,60906.415,66257.748,69566.42,36253.146,116441.081,50360.215,72826.24,44108.054,22990.208,53987.648,109342.928,75486.697
2026,21638.601,8636.349,16706.336,33056.435,13956.35,14446.765,11041.64,21201.096,64367.157,13538.879,11476.416,25000.594,11320.821,35939.591,11390.156,23056.769,16447.09,35258.768,35524.627,15825.308,25110.464,13158.023,40833.921,16672.948,38834.472,29101.34,20001.229,47362.427,55243.506,39522.661,38790.089,35728.785,65568.126,34525.474,22904.967,,47063.933,16594.084,,127594.442,42230.571,43799.439,115693.298,34028.578,45581.95,47863.248,51676.607,54503.71,55562.757,49964.403,54795.528,45665.522,58831.389,49921.452,56697.947,61545.214,58414.528,61602.335,67168.436,70172.504,36420.451,116849.917,50436.99,73585.224,44539.524,23898.663,54514.785,113638.153,77491.906
2027,22465.133,9079.767,17099.42,33977.139,14232.77,14891.523,11205.545,21496.13,65911.969,13828.425,11628.797,25370.559,11374.188,36642.699,11674.56,23579.82,16617.563,36240.658,36502.55,15901.936,25586.136,13141.814,42202.144,16963.373,40539.159,30108.469,20217.981,48383.011,56900.25,40900.732,39627.405,35909.234,66935.495,34320.505,23131.772,,47939.605,16980.707,,130168.443,42797.234,44205.487,118001.759,34599.195,46364.899,48541.452,52355.316,55370.799,56437.395,50601.541,55246.366,46162.455,59565.616,50163.646,57438.064,62301.533,59102.365,62306.979,68137.158,70694.351,36557.098,117196.992,50539.783,73913.892,44977.582,24808.298,55054.551,119048.691,79605.997
2028,23290.859,9552.052,17501.753,34946.297,14514.663,15321.576,11371.884,21797.203,67493.856,14124.163,11783.075,25765.479,11445.394,37372.175,11765.946,24115.038,16789.905,37213.97,37507.394,15823.079,26070.818,13125.626,43595.183,17258.856,42303.061,31150.452,20440.826,49404.92,58627.401,42327.262,40482.794,36090.593,68314.113,34119.275,23360.8,,48830.978,17386.5,,132784.178,43348.457,44634.89,120388.925,35158.535,47138.517,49121.945,53042.129,55964.383,57359.533,51191.662,55780.577,46592.322,60347.341,50414.239,58135.998,63108.546,59688.624,63009.968,69121.073,71239.389,36695.606,117526.881,50648.936,74684.211,45422.045,25720.299,55606.076,124554.39,81836.48
