DATE,Date,CUURA207SA0,CUURA101SA0,CUURA207SA0_PC1,CUURA101SA0_PC1
01/04/1958,01/04/1958,29.7,29.2,4.21053,3.5461
01/05/1958,01/05/1958,29.7,29.2,3.84615,3.18021
01/06/1958,01/06/1958,29.8,29.2,3.83275,2.8169
01/07/1958,01/07/1958,29.8,29.2,2.75862,2.0979
01/08/1958,01/08/1958,29.7,29.2,2.41379,2.0979
01/09/1958,01/09/1958,29.8,29.3,2.4055,2.80702
01/10/1958,01/10/1958,29.8,29.3,2.05479,2.44755
01/11/1958,01/11/1958,29.8,29.4,1.36054,2.7972
01/12/1958,01/12/1958,29.7,29.3,1.02041,2.44755
01/01/1959,01/01/1959,29.7,29.4,0.67797,1.37931
01/02/1959,01/02/1959,29.7,29.4,0.67797,1.37931
01/03/1959,01/03/1959,29.7,29.4,0,0.68493
01/04/1959,01/04/1959,29.8,29.4,0.3367,0.68493
01/05/1959,01/05/1959,29.8,29.4,0.3367,0.68493
01/06/1959,01/06/1959,29.9,29.6,0.33557,1.36986
01/07/1959,01/07/1959,30,29.8,0.67114,2.05479
01/08/1959,01/08/1959,30,29.7,1.0101,1.71233
01/09/1959,01/09/1959,30.2,29.8,1.34228,1.70648
01/10/1959,01/10/1959,30.2,29.9,1.34228,2.04778
01/11/1959,01/11/1959,30.2,30,1.34228,2.04082
01/12/1959,01/12/1959,30.2,30,1.6835,2.38908
01/01/1960,01/01/1960,30.1,30,1.3468,2.04082
01/02/1960,01/02/1960,30.2,30,1.6835,2.04082
01/03/1960,01/03/1960,30.2,30,1.6835,2.04082
01/04/1960,01/04/1960,30.3,30.1,1.67785,2.38095
01/05/1960,01/05/1960,30.3,30.1,1.67785,2.38095
01/06/1960,01/06/1960,30.4,30.1,1.67224,1.68919
01/07/1960,01/07/1960,30.5,30.1,1.66667,1.00671
01/08/1960,01/08/1960,30.4,30.2,1.33333,1.6835
01/09/1960,01/09/1960,30.5,30.3,0.99338,1.67785
01/10/1960,01/10/1960,30.5,30.4,0.99338,1.67224
01/11/1960,01/11/1960,30.5,30.5,0.99338,1.66667
01/12/1960,01/12/1960,30.5,30.5,0.99338,1.66667
01/01/1961,01/01/1961,30.5,30.4,1.3289,1.33333
01/02/1961,01/02/1961,30.5,30.4,0.99338,1.33333
01/03/1961,01/03/1961,30.4,30.4,0.66225,1.33333
01/04/1961,01/04/1961,30.4,30.3,0.33003,0.66445
01/05/1961,01/05/1961,30.4,30.3,0.33003,0.66445
01/06/1961,01/06/1961,30.3,30.3,-0.32895,0.66445
01/07/1961,01/07/1961,30.6,30.5,0.32787,1.3289
01/08/1961,01/08/1961,30.6,30.5,0.65789,0.99338
01/09/1961,01/09/1961,30.6,30.6,0.32787,0.9901
01/10/1961,01/10/1961,30.7,30.6,0.65574,0.65789
01/11/1961,01/11/1961,30.6,30.6,0.32787,0.32787
01/12/1961,01/12/1961,30.6,30.6,0.32787,0.32787
01/01/1962,01/01/1962,30.6,30.7,0.32787,0.98684
01/02/1962,01/02/1962,30.8,30.8,0.98361,1.31579
01/03/1962,01/03/1962,30.8,30.8,1.31579,1.31579
01/04/1962,01/04/1962,30.9,30.8,1.64474,1.65017
01/05/1962,01/05/1962,30.8,30.7,1.31579,1.32013
01/06/1962,01/06/1962,30.8,30.8,1.65017,1.65017
01/07/1962,01/07/1962,30.8,30.9,0.65359,1.31148
01/08/1962,01/08/1962,30.8,31,0.65359,1.63934
01/09/1962,01/09/1962,31,31.2,1.30719,1.96078
01/10/1962,01/10/1962,30.9,31.2,0.65147,1.96078
01/11/1962,01/11/1962,30.9,31.1,0.98039,1.63399
01/12/1962,01/12/1962,30.9,31.1,0.98039,1.63399
01/01/1963,01/01/1963,31,31.2,1.30719,1.62866
01/02/1963,01/02/1963,31,31.3,0.64935,1.62338
01/03/1963,01/03/1963,31.1,31.3,0.97403,1.62338
01/04/1963,01/04/1963,31.1,31.4,0.64725,1.94805
01/05/1963,01/05/1963,31,31.3,0.64935,1.9544
01/06/1963,01/06/1963,31.1,31.6,0.97403,2.5974
01/07/1963,01/07/1963,31.3,31.8,1.62338,2.91262
01/08/1963,01/08/1963,31.2,31.8,1.2987,2.58065
01/09/1963,01/09/1963,31.2,31.8,0.64516,1.92308
01/10/1963,01/10/1963,31.2,31.8,0.97087,1.92308
01/11/1963,01/11/1963,31.2,31.9,0.97087,2.57235
01/12/1963,01/12/1963,31.3,32,1.2945,2.89389
01/01/1964,01/01/1964,31.2,31.9,0.64516,2.24359
01/02/1964,01/02/1964,31.1,32,0.32258,2.23642
01/03/1964,01/03/1964,31.1,32,0,2.23642
01/04/1964,01/04/1964,31.1,32,0,1.91083
01/05/1964,01/05/1964,31.2,32,0.64516,2.23642
01/06/1964,01/06/1964,31.3,32,0.64309,1.26582
01/07/1964,01/07/1964,31.4,32.1,0.31949,0.9434
01/08/1964,01/08/1964,31.3,32.1,0.32051,0.9434
01/09/1964,01/09/1964,31.3,32.2,0.32051,1.25786
01/10/1964,01/10/1964,31.4,32.2,0.64103,1.25786
01/11/1964,01/11/1964,31.4,32.3,0.64103,1.25392
01/12/1964,01/12/1964,31.4,32.3,0.31949,0.9375
01/01/1965,01/01/1965,31.4,32.2,0.64103,0.94044
01/02/1965,01/02/1965,31.4,32.3,0.96463,0.9375
01/03/1965,01/03/1965,31.4,32.3,0.96463,0.9375
01/04/1965,01/04/1965,31.5,32.4,1.28617,1.25
01/05/1965,01/05/1965,31.6,32.5,1.28205,1.5625
01/06/1965,01/06/1965,31.8,32.6,1.59744,1.875
01/07/1965,01/07/1965,31.7,32.7,0.95541,1.86916
01/08/1965,01/08/1965,31.7,32.7,1.27796,1.86916
01/09/1965,01/09/1965,31.8,32.8,1.59744,1.86335
01/10/1965,01/10/1965,31.9,32.9,1.59236,2.17391
01/11/1965,01/11/1965,31.9,32.9,1.59236,1.85759
01/12/1965,01/12/1965,32.1,33,2.2293,2.16718
01/01/1966,01/01/1966,32,33,1.91083,2.48447
01/02/1966,01/02/1966,32.2,33.2,2.54777,2.78638
01/03/1966,01/03/1966,32.4,33.4,3.18471,3.40557
01/04/1966,01/04/1966,32.4,33.5,2.85714,3.39506
01/05/1966,01/05/1966,32.5,33.5,2.8481,3.07692
01/06/1966,01/06/1966,32.6,33.5,2.51572,2.76074
01/07/1966,01/07/1966,32.6,33.8,2.83912,3.36391
01/08/1966,01/08/1966,32.8,33.9,3.47003,3.66972
01/09/1966,01/09/1966,33,34.1,3.77358,3.96341
01/10/1966,01/10/1966,33,34.2,3.44828,3.95137
01/11/1966,01/11/1966,33,34.2,3.44828,3.95137
01/12/1966,01/12/1966,33.1,34.2,3.11526,3.63636
01/01/1967,01/01/1967,32.9,34.1,2.8125,3.33333
01/02/1967,01/02/1967,33.1,34.3,2.79503,3.31325
01/03/1967,01/03/1967,33.1,34.3,2.16049,2.69461
01/04/1967,01/04/1967,33.1,34.3,2.16049,2.38806
01/05/1967,01/05/1967,33.2,34.4,2.15385,2.68657
01/06/1967,01/06/1967,33.3,34.5,2.14724,2.98507
01/07/1967,01/07/1967,33.5,34.6,2.76074,2.36686
01/08/1967,01/08/1967,33.7,34.7,2.7439,2.35988
01/09/1967,01/09/1967,33.9,34.8,2.72727,2.05279
01/10/1967,01/10/1967,33.9,34.9,2.72727,2.04678
01/11/1967,01/11/1967,34,35,3.0303,2.33918
01/12/1967,01/12/1967,34.1,35.1,3.02115,2.63158
01/01/1968,01/01/1968,34.1,35.1,3.64742,2.93255
01/02/1968,01/02/1968,34.3,35.3,3.62538,2.91545
01/03/1968,01/03/1968,34.5,35.5,4.22961,3.49854
01/04/1968,01/04/1968,34.6,35.6,4.53172,3.79009
01/05/1968,01/05/1968,34.7,35.7,4.51807,3.77907
01/06/1968,01/06/1968,34.8,35.9,4.5045,4.05797
01/07/1968,01/07/1968,35,36.1,4.47761,4.33526
01/08/1968,01/08/1968,35.1,36.4,4.1543,4.89914
01/09/1968,01/09/1968,35.3,36.6,4.12979,5.17241
01/10/1968,01/10/1968,35.4,36.8,4.42478,5.44413
01/11/1968,01/11/1968,35.4,36.9,4.11765,5.42857
01/12/1968,01/12/1968,35.6,37,4.39883,5.41311
01/01/1969,01/01/1969,35.8,37.2,4.98534,5.98291
01/02/1969,01/02/1969,35.9,37.3,4.66472,5.66572
01/03/1969,01/03/1969,36.2,37.7,4.92754,6.19718
01/04/1969,01/04/1969,36.3,37.9,4.91329,6.46067
01/05/1969,01/05/1969,36.4,38,4.89914,6.44258
01/06/1969,01/06/1969,36.7,38.3,5.45977,6.68524
01/07/1969,01/07/1969,36.9,38.4,5.42857,6.37119
01/08/1969,01/08/1969,37.2,38.5,5.98291,5.76923
01/09/1969,01/09/1969,37.5,38.8,6.23229,6.01093
01/10/1969,01/10/1969,37.4,39,5.64972,5.97826
01/11/1969,01/11/1969,37.6,39.1,6.21469,5.96206
01/12/1969,01/12/1969,37.8,39.5,6.17978,6.75676
01/01/1970,01/01/1970,38,39.8,6.14525,6.98925
01/02/1970,01/02/1970,38.1,40.2,6.12813,7.7748
01/03/1970,01/03/1970,38.3,40.4,5.8011,7.1618
01/04/1970,01/04/1970,38.4,40.7,5.78512,7.38786
01/05/1970,01/05/1970,38.6,40.9,6.04396,7.63158
01/06/1970,01/06/1970,38.8,41.2,5.72207,7.5718
01/07/1970,01/07/1970,39,41.3,5.69106,7.55208
01/08/1970,01/08/1970,39.2,41.4,5.37634,7.53247
01/09/1970,01/09/1970,39.4,41.7,5.06667,7.47423
01/10/1970,01/10/1970,39.6,41.9,5.88235,7.4359
01/11/1970,01/11/1970,39.7,42,5.58511,7.41688
01/12/1970,01/12/1970,39.9,42.3,5.55556,7.08861
01/01/1971,01/01/1971,39.9,42.4,5,6.53266
01/02/1971,01/02/1971,40,42.7,4.98688,6.21891
01/03/1971,01/03/1971,40.1,43,4.69974,6.43564
01/04/1971,01/04/1971,40.2,43.1,4.6875,5.89681
01/05/1971,01/05/1971,40.4,43.3,4.66321,5.86797
01/06/1971,01/06/1971,40.5,43.6,4.38144,5.82524
01/07/1971,01/07/1971,40.5,43.9,3.84615,6.2954
01/08/1971,01/08/1971,40.7,43.9,3.82653,6.03865
01/09/1971,01/09/1971,40.7,44,3.29949,5.51559
01/10/1971,01/10/1971,40.7,44.1,2.77778,5.2506
01/11/1971,01/11/1971,40.8,44.1,2.77078,5
01/12/1971,01/12/1971,40.9,44.3,2.50627,4.72813
01/01/1972,01/01/1972,40.9,44.5,2.50627,4.95283
01/02/1972,01/02/1972,41.2,44.8,3,4.91803
01/03/1972,01/03/1972,41.2,45,2.74314,4.65116
01/04/1972,01/04/1972,41.3,45.1,2.73632,4.64037
01/05/1972,01/05/1972,41.4,45.2,2.47525,4.38799
01/06/1972,01/06/1972,41.6,45.3,2.71605,3.89908
01/07/1972,01/07/1972,41.6,45.5,2.71605,3.64465
01/08/1972,01/08/1972,41.8,45.6,2.7027,3.87244
01/09/1972,01/09/1972,41.9,46,2.9484,4.54545
01/10/1972,01/10/1972,42,46.1,3.1941,4.53515
01/11/1972,01/11/1972,42.1,46.1,3.18627,4.53515
01/12/1972,01/12/1972,42.2,46.2,3.17848,4.28894
01/01/1973,01/01/1973,42.3,46.3,3.42298,4.04494
01/02/1973,01/02/1973,42.7,46.7,3.64078,4.24107
01/03/1973,01/03/1973,43.2,47.2,4.85437,4.88889
01/04/1973,01/04/1973,43.5,47.6,5.32688,5.54324
01/05/1973,01/05/1973,43.8,47.8,5.7971,5.75221
01/06/1973,01/06/1973,44.1,48.1,6.00962,6.18102
01/07/1973,01/07/1973,44,48.2,5.76923,5.93407
01/08/1973,01/08/1973,45,49,7.6555,7.45614
01/09/1973,01/09/1973,45.1,49.2,7.63723,6.95652
01/10/1973,01/10/1973,45.4,49.5,8.09524,7.37527
01/11/1973,01/11/1973,45.6,50,8.31354,8.45987
01/12/1973,01/12/1973,45.8,50.5,8.53081,9.30736
01/01/1974,01/01/1974,46.4,50.8,9.69267,9.71922
01/02/1974,01/02/1974,47.1,51.6,10.30445,10.49251
01/03/1974,01/03/1974,47.6,52.2,10.18519,10.59322
01/04/1974,01/04/1974,47.8,52.2,9.88506,9.66387
01/05/1974,01/05/1974,48.2,52.8,10.04566,10.46025
01/06/1974,01/06/1974,48.7,53.2,10.43084,10.60291
01/07/1974,01/07/1974,48.9,53.4,11.13636,10.78838
01/08/1974,01/08/1974,49.5,54.3,10,10.81633
01/09/1974,01/09/1974,49.9,54.9,10.64302,11.58537
01/10/1974,01/10/1974,50.4,55.4,11.01322,11.91919
01/11/1974,01/11/1974,50.8,55.7,11.40351,11.4
01/12/1974,01/12/1974,51.3,56,12.00873,10.89109
01/01/1975,01/01/1975,51.3,56,10.56034,10.23622
01/02/1975,01/02/1975,51.7,56.5,9.76645,9.49612
01/03/1975,01/03/1975,52.1,56.5,9.45378,8.23755
01/04/1975,01/04/1975,52.2,56.6,9.20502,8.42912
01/05/1975,01/05/1975,52,56.8,7.88382,7.57576
01/06/1975,01/06/1975,52.4,57.1,7.59754,7.33083
01/07/1975,01/07/1975,53,57.6,8.38446,7.86517
01/08/1975,01/08/1975,53.3,57.9,7.67677,6.62983
01/09/1975,01/09/1975,53.4,58.6,7.01403,6.73953
01/10/1975,01/10/1975,53.7,58.8,6.54762,6.13718
01/11/1975,01/11/1975,53.8,59.3,5.90551,6.4632
01/12/1975,01/12/1975,54,59.6,5.26316,6.42857
01/01/1976,01/01/1976,53.7,59.7,4.67836,6.60714
01/02/1976,01/02/1976,54.1,60,4.64217,6.19469
01/03/1976,01/03/1976,54.2,60.2,4.03071,6.54867
01/04/1976,01/04/1976,54.5,60.3,4.40613,6.5371
01/05/1976,01/05/1976,54.8,60.5,5.38462,6.51408
01/06/1976,01/06/1976,55.2,60.9,5.34351,6.65499
01/07/1976,01/07/1976,55.5,61.1,4.71698,6.07639
01/08/1976,01/08/1976,55.8,61.4,4.69043,6.04491
01/09/1976,01/09/1976,56.1,61.8,5.05618,5.46075
01/10/1976,01/10/1976,56.3,61.9,4.84171,5.27211
01/11/1976,01/11/1976,56.4,61.9,4.83271,4.38449
01/12/1976,01/12/1976,56.6,62.2,4.81481,4.36242
01/01/1977,01/01/1977,56.7,62.4,5.58659,4.52261
01/02/1977,01/02/1977,57.3,63,5.91497,5
01/03/1977,01/03/1977,57.7,63.3,6.45756,5.1495
01/04/1977,01/04/1977,58.2,63.5,6.78899,5.3068
01/05/1977,01/05/1977,58.4,63.9,6.56934,5.61983
01/06/1977,01/06/1977,58.6,64.4,6.15942,5.74713
01/07/1977,01/07/1977,59,64.5,6.30631,5.56465
01/08/1977,01/08/1977,59.3,64.8,6.2724,5.53746
01/09/1977,01/09/1977,59.7,64.8,6.41711,4.85437
01/10/1977,01/10/1977,59.8,64.9,6.2167,4.84653
01/11/1977,01/11/1977,60,65.2,6.38298,5.33118
01/12/1977,01/12/1977,60.2,65.3,6.36042,4.98392
01/01/1978,01/01/1978,61.1,65.7,7.76014,5.28846
01/02/1978,01/02/1978,61.7,66,7.67888,4.7619
01/03/1978,01/03/1978,62.4,66.5,8.14558,5.05529
01/04/1978,01/04/1978,62.7,66.9,7.73196,5.35433
01/05/1978,01/05/1978,63.3,67.3,8.39041,5.32081
01/06/1978,01/06/1978,63.7,68,8.70307,5.59006
01/07/1978,01/07/1978,64.1,68.1,8.64407,5.5814
01/08/1978,01/08/1978,64.1,68.4,8.09444,5.55556
01/09/1978,01/09/1978,64.9,68.8,8.71022,6.17284
01/10/1978,01/10/1978,65.4,69.3,9.36455,6.77966
01/11/1978,01/11/1978,66.3,69.5,10.5,6.59509
01/12/1978,01/12/1978,66.5,69.7,10.46512,6.73813
01/01/1979,01/01/1979,66.8,70.2,9.32897,6.84932
01/02/1979,01/02/1979,67.8,71,9.88655,7.57576
01/03/1979,01/03/1979,69.2,71.4,10.89744,7.36842
01/04/1979,01/04/1979,69.9,72.1,11.48325,7.7728
01/05/1979,01/05/1979,70.3,72.8,11.05845,8.17236
01/06/1979,01/06/1979,71.5,73.5,12.2449,8.08824
01/07/1979,01/07/1979,72.8,74,13.57254,8.66373
01/08/1979,01/08/1979,73.2,74.5,14.19657,8.91813
01/09/1979,01/09/1979,74.1,75.4,14.17565,9.59302
01/10/1979,01/10/1979,74.2,76.1,13.45566,9.81241
01/11/1979,01/11/1979,75.6,76.6,14.02715,10.21583
01/12/1979,01/12/1979,76.4,77.1,14.88722,10.61693
01/01/1980,01/01/1980,77.1,78.2,15.41916,11.39601
01/02/1980,01/02/1980,77.9,78.9,14.89676,11.12676
01/03/1980,01/03/1980,78.8,80,13.87283,12.04482
01/04/1980,01/04/1980,80.4,80.6,15.02146,11.78918
01/05/1980,01/05/1980,81.4,81.1,15.78947,11.4011
01/06/1980,01/06/1980,83.1,82.1,16.22378,11.70068
01/07/1980,01/07/1980,82.6,82.6,13.46154,11.62162
01/08/1980,01/08/1980,82.1,83.3,12.15847,11.81208
01/09/1980,01/09/1980,83.7,83.6,12.95547,10.87533
01/10/1980,01/10/1980,84.9,84.1,14.42049,10.51248
01/11/1980,01/11/1980,87,84.6,15.07937,10.44386
01/12/1980,01/12/1980,87.1,85.5,14.00524,10.89494
01/01/1981,01/01/1981,86.7,86.3,12.45136,10.35806
01/02/1981,01/02/1981,86.9,87.4,11.55327,10.77313
01/03/1981,01/03/1981,86.9,87.8,10.27919,9.75
01/04/1981,01/04/1981,88.3,88.3,9.82587,9.55335
01/05/1981,01/05/1981,88.5,88.8,8.72236,9.49445
01/06/1981,01/06/1981,90.1,89.5,8.42359,9.0134
01/07/1981,01/07/1981,91.3,90.8,10.53269,9.92736
01/08/1981,01/08/1981,92.3,91.6,12.42387,9.96399
01/09/1981,01/09/1981,92.7,93,10.75269,11.24402
01/10/1981,01/10/1981,92.4,92.7,8.83392,10.22592
01/11/1981,01/11/1981,92.7,92.6,6.55172,9.45626
01/12/1981,01/12/1981,91.7,92.7,5.28129,8.42105
01/01/1982,01/01/1982,92.2,92.9,6.34371,7.64774
01/02/1982,01/02/1982,92,93.1,5.86881,6.52174
01/03/1982,01/03/1982,92.5,92.5,6.44419,5.35308
01/04/1982,01/04/1982,93.8,92.8,6.22877,5.09626
01/05/1982,01/05/1982,96.3,93.7,8.81356,5.51802
01/06/1982,01/06/1982,97.7,95.7,8.43507,6.92737
01/07/1982,01/07/1982,98.1,95.9,7.44797,5.61674
01/08/1982,01/08/1982,98.1,96.3,6.28386,5.131
01/09/1982,01/09/1982,98.4,97.1,6.14887,4.4086
01/10/1982,01/10/1982,98.5,98.4,6.60173,6.14887
01/11/1982,01/11/1982,98.5,98.1,6.25674,5.93952
01/12/1982,01/12/1982,98.1,97.5,6.97928,5.17799
01/01/1983,01/01/1983,98.4,97.8,6.72451,5.27449
01/02/1983,01/02/1983,98.3,98,6.84783,5.26316
01/03/1983,01/03/1983,98.3,98.1,6.27027,6.05405
01/04/1983,01/04/1983,98.8,99.1,5.33049,6.78879
01/05/1983,01/05/1983,99.2,99.4,3.01142,6.08324
01/06/1983,01/06/1983,99.9,99.7,2.25179,4.17973
01/07/1983,01/07/1983,100.3,100,2.24261,4.27529
01/08/1983,01/08/1983,101,100.1,2.95617,3.946
01/09/1983,01/09/1983,101.4,101,3.04878,4.01648
01/10/1983,01/10/1983,101.2,101.3,2.74112,2.94715
01/11/1983,01/11/1983,101.7,101.7,3.24873,3.66972
01/12/1983,01/12/1983,101.7,101.8,3.66972,4.41026
01/01/1984,01/01/1984,102.2,102.8,3.86179,5.11247
01/02/1984,01/02/1984,102.1,103.4,3.86572,5.5102
01/03/1984,01/03/1984,102.3,103.7,4.06918,5.70846
01/04/1984,01/04/1984,102.7,104.1,3.94737,5.04541
01/05/1984,01/05/1984,102.8,104.1,3.62903,4.72837
01/06/1984,01/06/1984,103.7,104.3,3.8038,4.61384
01/07/1984,01/07/1984,104,104.8,3.68893,4.8
01/08/1984,01/08/1984,104.9,105.5,3.86139,5.39461
01/09/1984,01/09/1984,105.5,106.2,4.04339,5.14851
01/10/1984,01/10/1984,105.1,106.1,3.85375,4.7384
01/11/1984,01/11/1984,105.1,106.5,3.34317,4.71976
01/12/1984,01/12/1984,105.1,106.5,3.34317,4.6169
01/01/1985,01/01/1985,105.5,106.7,3.22896,3.79377
01/02/1985,01/02/1985,106,107.3,3.81978,3.77176
01/03/1985,01/03/1985,106.2,107.5,3.81232,3.66442
01/04/1985,01/04/1985,106.8,107.9,3.99221,3.65034
01/05/1985,01/05/1985,107,108.1,4.0856,3.84246
01/06/1985,01/06/1985,108.5,108.3,4.62874,3.83509
01/07/1985,01/07/1985,108.6,108.4,4.42308,3.43511
01/08/1985,01/08/1985,109.1,109.2,4.00381,3.50711
01/09/1985,01/09/1985,109.2,109.6,3.50711,3.20151
01/10/1985,01/10/1985,108,109.8,2.75928,3.48728
01/11/1985,01/11/1985,108.5,110.7,3.23501,3.94366
01/12/1985,01/12/1985,109.1,111,3.8059,4.22535
01/01/1986,01/01/1986,109.2,111.8,3.50711,4.77976
01/02/1986,01/02/1986,109.3,111.5,3.11321,3.91426
01/03/1986,01/03/1986,108.4,111.5,2.07156,3.72093
01/04/1986,01/04/1986,108.3,111.2,1.40449,3.05839
01/05/1986,01/05/1986,108.5,110.9,1.40187,2.59019
01/06/1986,01/06/1986,110.6,111.7,1.93548,3.13943
01/07/1986,01/07/1986,110.8,112.5,2.02578,3.78229
01/08/1986,01/08/1986,110.9,112.7,1.64986,3.20513
01/09/1986,01/09/1986,111.8,113,2.38095,3.10219
01/10/1986,01/10/1986,110,113.4,1.85185,3.27869
01/11/1986,01/11/1986,110.9,113.3,2.21198,2.34869
01/12/1986,01/12/1986,110.8,113.8,1.5582,2.52252
01/01/1987,01/01/1987,111.9,114.7,2.47253,2.59392
01/02/1987,01/02/1987,111.9,115.3,2.37877,3.40807
01/03/1987,01/03/1987,112.3,115.8,3.59779,3.8565
01/04/1987,01/04/1987,112.8,116.6,4.15512,4.85612
01/05/1987,01/05/1987,113.3,117.3,4.42396,5.77096
01/06/1987,01/06/1987,115.5,117.8,4.43038,5.46106
01/07/1987,01/07/1987,115.9,117.9,4.60289,4.8
01/08/1987,01/08/1987,116.7,118.9,5.22994,5.50133
01/09/1987,01/09/1987,117.1,119.8,4.74061,6.0177
01/10/1987,01/10/1987,115.1,120.2,4.63636,5.99647
01/11/1987,01/11/1987,115.7,120.5,4.32822,6.35481
01/12/1987,01/12/1987,115.7,120.6,4.42238,5.9754
01/01/1988,01/01/1988,115.3,121.3,3.03843,5.75414
01/02/1988,01/02/1988,116.6,121.1,4.20018,5.03036
01/03/1988,01/03/1988,116.9,121.5,4.09617,4.92228
01/04/1988,01/04/1988,117.1,122.6,3.81206,5.1458
01/05/1988,01/05/1988,117,122.7,3.26567,4.60358
01/06/1988,01/06/1988,118.9,123.1,2.94372,4.49915
01/07/1988,01/07/1988,119.8,123.6,3.36497,4.83461
01/08/1988,01/08/1988,120.1,124.2,2.91345,4.45753
01/09/1988,01/09/1988,122,126,4.18446,5.17529
01/10/1988,01/10/1988,121.6,126.2,5.64726,4.99168
01/11/1988,01/11/1988,121,125.9,4.58081,4.48133
01/12/1988,01/12/1988,121.3,126,4.8401,4.47761
01/01/1989,01/01/1989,121.5,127,5.37728,4.69909
01/02/1989,01/02/1989,122.2,127.6,4.80274,5.36746
01/03/1989,01/03/1989,123,128.9,5.21814,6.09053
01/04/1989,01/04/1989,123.6,129.5,5.55081,5.62806
01/05/1989,01/05/1989,123.9,130.2,5.89744,6.11247
01/06/1989,01/06/1989,125.7,130.5,5.71909,6.01137
01/07/1989,01/07/1989,126.4,130.6,5.50918,5.66343
01/08/1989,01/08/1989,126.4,130.9,5.24563,5.39452
01/09/1989,01/09/1989,127.1,132.2,4.18033,4.92063
01/10/1989,01/10/1989,126.8,132.8,4.27632,5.22979
01/11/1989,01/11/1989,126.7,133.2,4.71074,5.79825
01/12/1989,01/12/1989,126.5,133.3,4.28689,5.79365
01/01/1990,01/01/1990,128.1,135.1,5.4321,6.37795
01/02/1990,01/02/1990,129.2,135.3,5.72831,6.03448
01/03/1990,01/03/1990,129.5,136.6,5.28455,5.97362
01/04/1990,01/04/1990,130.4,137.3,5.50162,6.02317
01/05/1990,01/05/1990,130.4,137.2,5.24617,5.37634
01/06/1990,01/06/1990,131.7,137.1,4.77327,5.05747
01/07/1990,01/07/1990,132,138.4,4.43038,5.97243
01/08/1990,01/08/1990,133.2,140,5.37975,6.95187
01/09/1990,01/09/1990,133.8,140.8,5.27144,6.5053
01/10/1990,01/10/1990,133.3,141.6,5.12618,6.62651
01/11/1990,01/11/1990,134.2,141.5,5.91949,6.23123
01/12/1990,01/12/1990,134.6,141.6,6.40316,6.22656
01/01/1991,01/01/1991,135.1,143,5.46448,5.84752
01/02/1991,01/02/1991,135.5,143.6,4.87616,6.13452
01/03/1991,01/03/1991,136.2,143.4,5.17375,4.97804
01/04/1991,01/04/1991,136.1,143.7,4.37117,4.66133
01/05/1991,01/05/1991,136.8,144,4.90798,4.95627
01/06/1991,01/06/1991,137.3,144.6,4.25209,5.47046
01/07/1991,01/07/1991,137.3,145.2,4.01515,4.91329
01/08/1991,01/08/1991,137.6,145.4,3.3033,3.85714
01/09/1991,01/09/1991,138.3,145.8,3.36323,3.55114
01/10/1991,01/10/1991,138,145.7,3.52588,2.89548
01/11/1991,01/11/1991,138,146.6,2.83159,3.60424
01/12/1991,01/12/1991,138.3,146.6,2.74889,3.53107
01/01/1992,01/01/1992,138.9,147.3,2.81273,3.00699
01/02/1992,01/02/1992,139.2,148,2.73063,3.06407
01/03/1992,01/03/1992,139.7,149.1,2.56975,3.9749
01/04/1992,01/04/1992,139.8,149.2,2.71859,3.82742
01/05/1992,01/05/1992,140.5,148.9,2.70468,3.40278
01/06/1992,01/06/1992,141.2,149.5,2.8405,3.38866
01/07/1992,01/07/1992,141.4,149.9,2.98616,3.23691
01/08/1992,01/08/1992,141.9,150.8,3.125,3.71389
01/09/1992,01/09/1992,142.7,151.4,3.18149,3.84088
01/10/1992,01/10/1992,142.1,152.1,2.97101,4.39259
01/11/1992,01/11/1992,142.4,152.2,3.18841,3.81992
01/12/1992,01/12/1992,142.9,151.9,3.3261,3.61528
01/01/1993,01/01/1993,143.2,153,3.09575,3.86965
01/02/1993,01/02/1993,143.6,153.6,3.16092,3.78378
01/03/1993,01/03/1993,144.1,154.1,3.14961,3.35345
01/04/1993,01/04/1993,144.7,154,3.50501,3.21716
01/05/1993,01/05/1993,145.7,153.8,3.70107,3.2908
01/06/1993,01/06/1993,145.6,154.2,3.11615,3.14381
01/07/1993,01/07/1993,145.5,154.3,2.89958,2.93529
01/08/1993,01/08/1993,146.1,155.3,2.95983,2.98408
01/09/1993,01/09/1993,146.7,155.3,2.80308,2.57596
01/10/1993,01/10/1993,147.2,155.5,3.58902,2.23537
01/11/1993,01/11/1993,146.4,155.4,2.80899,2.1025
01/12/1993,01/12/1993,146.1,155.6,2.23933,2.43581
01/01/1994,01/01/1994,146.5,156,2.30447,1.96078
01/02/1994,01/02/1994,146.8,157.4,2.22841,2.47396
01/03/1994,01/03/1994,147.6,157.9,2.42887,2.46593
01/04/1994,01/04/1994,147.9,157.7,2.21147,2.4026
01/05/1994,01/05/1994,147.6,157.3,1.30405,2.27568
01/06/1994,01/06/1994,148.1,157.8,1.71703,2.33463
01/07/1994,01/07/1994,148.3,158.2,1.9244,2.52754
01/08/1994,01/08/1994,149.8,159.1,2.53251,2.44688
01/09/1994,01/09/1994,150.2,159,2.38582,2.38249
01/10/1994,01/10/1994,149.4,159.5,1.49457,2.57235
01/11/1994,01/11/1994,150.4,159.4,2.73224,2.574
01/12/1994,01/12/1994,150.5,158.9,3.01164,2.12082
01/01/1995,01/01/1995,151.8,159.9,3.61775,2.5
