date,Date,CDID,Value,Value_s,series,frequency,year
1999 DEC,1999-12-15,D7G7,1.1,1.1,CPI,monthly,1999
1999 DEC,1999-12-15,L55O,1.5,1.5,CPIH,monthly,1999
1999 FEB,1999-2-15,CZBH,2.1,2.1,RPI,monthly,1999
1999 FEB,1999-2-15,D7G7,1.4,1.4,CPI,monthly,1999
1999 FEB,1999-2-15,L55O,1.9,1.9,CPIH,monthly,1999
1999 JAN,1999-1-15,CZBH,2.4,2.4,RPI,monthly,1999
1999 JAN,1999-1-15,D7G7,1.6,1.6,CPI,monthly,1999
1999 JAN,1999-1-15,L55O,2.0,2.0,CPIH,monthly,1999
1999 JUL,1999-7-15,CZBH,1.3,1.3,RPI,monthly,1999
1999 JUL,1999-7-15,D7G7,1.3,1.3,CPI,monthly,1999
1999 JUL,1999-7-15,L55O,1.7,1.7,CPIH,monthly,1999
1999 JUN,1999-6-15,CZBH,1.3,1.3,RPI,monthly,1999
1999 JUN,1999-6-15,D7G7,1.3,1.3,CPI,monthly,1999
1999 JUN,1999-6-15,L55O,1.8,1.8,CPIH,monthly,1999
1999 MAR,1999-3-15,CZBH,2.1,2.1,RPI,monthly,1999
1999 MAR,1999-3-15,D7G7,1.7,1.7,CPI,monthly,1999
1999 MAR,1999-3-15,L55O,2.1,2.1,CPIH,monthly,1999
1999 MAY,1999-5-15,CZBH,1.3,1.3,RPI,monthly,1999
1999 MAY,1999-5-15,D7G7,1.3,1.3,CPI,monthly,1999
1999 MAY,1999-5-15,L55O,1.7,1.7,CPIH,monthly,1999
1999 NOV,1999-11-15,CZBH,1.4,1.4,RPI,monthly,1999
1999 NOV,1999-11-15,D7G7,1.2,1.2,CPI,monthly,1999
1999 NOV,1999-11-15,L55O,1.5,1.5,CPIH,monthly,1999
1999 OCT,1999-10-15,CZBH,1.2,1.2,RPI,monthly,1999
1999 OCT,1999-10-15,D7G7,1.1,1.1,CPI,monthly,1999
1999 OCT,1999-10-15,L55O,1.5,1.5,CPIH,monthly,1999
1999 SEP,1999-9-15,CZBH,1.1,1.1,RPI,monthly,1999
1999 SEP,1999-9-15,D7G7,1.2,1.2,CPI,monthly,1999
1999 SEP,1999-9-15,L55O,1.6,1.6,CPIH,monthly,1999
2000 APR,2000-4-15,CZBH,3.0,3.0,RPI,monthly,2000
2000 APR,2000-4-15,D7G7,0.6,0.6,CPI,monthly,2000
2000 APR,2000-4-15,L55O,0.9,0.9,CPIH,monthly,2000
2000 AUG,2000-8-15,CZBH,3.0,3.0,RPI,monthly,2000
2000 AUG,2000-8-15,D7G7,0.6,0.6,CPI,monthly,2000
2000 AUG,2000-8-15,L55O,1.0,1.0,CPIH,monthly,2000
2000 DEC,2000-12-15,CZBH,2.9,2.9,RPI,monthly,2000
2000 DEC,2000-12-15,D7G7,0.8,0.8,CPI,monthly,2000
2000 DEC,2000-12-15,L55O,1.2,1.2,CPIH,monthly,2000
2000 FEB,2000-2-15,CZBH,2.3,2.3,RPI,monthly,2000
2000 FEB,2000-2-15,D7G7,0.9,0.9,CPI,monthly,2000
2000 FEB,2000-2-15,L55O,1.2,1.2,CPIH,monthly,2000
2000 JAN,2000-1-15,CZBH,2.0,2.0,RPI,monthly,2000
2000 JAN,2000-1-15,D7G7,0.8,0.8,CPI,monthly,2000
2000 JAN,2000-1-15,L55O,1.2,1.2,CPIH,monthly,2000
2000 JUL,2000-7-15,CZBH,3.3,3.3,RPI,monthly,2000
2000 JUL,2000-7-15,D7G7,0.9,0.9,CPI,monthly,2000
2000 JUL,2000-7-15,L55O,1.2,1.2,CPIH,monthly,2000
2000 JUN,2000-6-15,CZBH,3.3,3.3,RPI,monthly,2000
2000 JUN,2000-6-15,D7G7,0.8,0.8,CPI,monthly,2000
2000 JUN,2000-6-15,L55O,1.2,1.2,CPIH,monthly,2000
2000 MAR,2000-3-15,CZBH,2.6,2.6,RPI,monthly,2000
2000 MAR,2000-3-15,D7G7,0.6,0.6,CPI,monthly,2000
2000 MAR,2000-3-15,L55O,1.0,1.0,CPIH,monthly,2000
2000 MAY,2000-5-15,CZBH,3.1,3.1,RPI,monthly,2000
2000 MAY,2000-5-15,D7G7,0.5,0.5,CPI,monthly,2000
2000 MAY,2000-5-15,L55O,1.0,1.0,CPIH,monthly,2000
2000 NOV,2000-11-15,CZBH,3.2,3.2,RPI,monthly,2000
2000 NOV,2000-11-15,D7G7,1.1,1.1,CPI,monthly,2000
2000 NOV,2000-11-15,L55O,1.5,1.5,CPIH,monthly,2000
2000 OCT,2000-10-15,CZBH,3.1,3.1,RPI,monthly,2000
2000 OCT,2000-10-15,D7G7,1.0,1.0,CPI,monthly,2000
2000 OCT,2000-10-15,L55O,1.4,1.4,CPIH,monthly,2000
2000 SEP,2000-9-15,CZBH,3.3,3.3,RPI,monthly,2000
2000 SEP,2000-9-15,D7G7,1.0,1.0,CPI,monthly,2000
2000 SEP,2000-9-15,L55O,1.3,1.3,CPIH,monthly,2000
2001 APR,2001-4-15,CZBH,1.8,1.8,RPI,monthly,2001
2001 APR,2001-4-15,D7G7,1.2,1.2,CPI,monthly,2001
2001 APR,2001-4-15,L55O,1.5,1.5,CPIH,monthly,2001
2001 AUG,2001-8-15,CZBH,2.1,2.1,RPI,monthly,2001
2001 AUG,2001-8-15,D7G7,1.8,1.8,CPI,monthly,2001
2001 AUG,2001-8-15,L55O,2.1,2.1,CPIH,monthly,2001
2001 DEC,2001-12-15,CZBH,0.7,0.7,RPI,monthly,2001
2001 DEC,2001-12-15,D7G7,1.1,1.1,CPI,monthly,2001
2001 DEC,2001-12-15,L55O,1.4,1.4,CPIH,monthly,2001
2001 FEB,2001-2-15,CZBH,2.7,2.7,RPI,monthly,2001
2001 FEB,2001-2-15,D7G7,0.8,0.8,CPI,monthly,2001
2001 FEB,2001-2-15,L55O,1.2,1.2,CPIH,monthly,2001
2001 JAN,2001-1-15,CZBH,2.7,2.7,RPI,monthly,2001
2001 JAN,2001-1-15,D7G7,0.9,0.9,CPI,monthly,2001
2001 JAN,2001-1-15,L55O,1.2,1.2,CPIH,monthly,2001
2001 JUL,2001-7-15,CZBH,1.6,1.6,RPI,monthly,2001
2001 JUL,2001-7-15,D7G7,1.4,1.4,CPI,monthly,2001
2001 JUL,2001-7-15,L55O,1.7,1.7,CPIH,monthly,2001
2001 JUN,2001-6-15,CZBH,1.9,1.9,RPI,monthly,2001
2001 JUN,2001-6-15,D7G7,1.7,1.7,CPI,monthly,2001
2001 JUN,2001-6-15,L55O,1.9,1.9,CPIH,monthly,2001
2001 MAR,2001-3-15,CZBH,2.3,2.3,RPI,monthly,2001
2001 MAR,2001-3-15,D7G7,0.9,0.9,CPI,monthly,2001
2001 MAR,2001-3-15,L55O,1.3,1.3,CPIH,monthly,2001
2001 MAY,2001-5-15,CZBH,2.1,2.1,RPI,monthly,2001
2001 MAY,2001-5-15,D7G7,1.7,1.7,CPI,monthly,2001
2001 MAY,2001-5-15,L55O,1.9,1.9,CPIH,monthly,2001
2001 NOV,2001-11-15,CZBH,0.9,0.9,RPI,monthly,2001
2001 NOV,2001-11-15,D7G7,0.8,0.8,CPI,monthly,2001
2001 NOV,2001-11-15,L55O,1.2,1.2,CPIH,monthly,2001
2001 OCT,2001-10-15,CZBH,1.6,1.6,RPI,monthly,2001
2001 OCT,2001-10-15,D7G7,1.2,1.2,CPI,monthly,2001
2001 OCT,2001-10-15,L55O,1.6,1.6,CPIH,monthly,2001
2001 SEP,2001-9-15,CZBH,1.7,1.7,RPI,monthly,2001
2001 SEP,2001-9-15,D7G7,1.3,1.3,CPI,monthly,2001
2001 SEP,2001-9-15,L55O,1.7,1.7,CPIH,monthly,2001
2002 APR,2002-4-15,CZBH,1.5,1.5,RPI,monthly,2002
2002 APR,2002-4-15,D7G7,1.4,1.4,CPI,monthly,2002
2002 APR,2002-4-15,L55O,1.6,1.6,CPIH,monthly,2002
2002 AUG,2002-8-15,CZBH,1.4,1.4,RPI,monthly,2002
2002 AUG,2002-8-15,D7G7,1.0,1.0,CPI,monthly,2002
2002 AUG,2002-8-15,L55O,1.3,1.3,CPIH,monthly,2002
2002 DEC,2002-12-15,CZBH,2.9,2.9,RPI,monthly,2002
2002 DEC,2002-12-15,D7G7,1.7,1.7,CPI,monthly,2002
2002 DEC,2002-12-15,L55O,1.7,1.7,CPIH,monthly,2002
2002 FEB,2002-2-15,CZBH,1.0,1.0,RPI,monthly,2002
2002 FEB,2002-2-15,D7G7,1.5,1.5,CPI,monthly,2002
2002 FEB,2002-2-15,L55O,1.7,1.7,CPIH,monthly,2002
2002 JAN,2002-1-15,CZBH,1.3,1.3,RPI,monthly,2002
2002 JAN,2002-1-15,D7G7,1.6,1.6,CPI,monthly,2002
2002 JAN,2002-1-15,L55O,1.8,1.8,CPIH,monthly,2002
2002 JUL,2002-7-15,CZBH,1.5,1.5,RPI,monthly,2002
2002 JUL,2002-7-15,D7G7,1.1,1.1,CPI,monthly,2002
2002 JUL,2002-7-15,L55O,1.4,1.4,CPIH,monthly,2002
2002 JUN,2002-6-15,CZBH,1.0,1.0,RPI,monthly,2002
2002 JUN,2002-6-15,D7G7,0.6,0.6,CPI,monthly,2002
2002 JUN,2002-6-15,L55O,1.1,1.1,CPIH,monthly,2002
2002 MAR,2002-3-15,CZBH,1.3,1.3,RPI,monthly,2002
2002 MAR,2002-3-15,D7G7,1.5,1.5,CPI,monthly,2002
2002 MAR,2002-3-15,L55O,1.7,1.7,CPIH,monthly,2002
2002 MAY,2002-5-15,CZBH,1.1,1.1,RPI,monthly,2002
2002 MAY,2002-5-15,D7G7,0.8,0.8,CPI,monthly,2002
2002 MAY,2002-5-15,L55O,1.2,1.2,CPIH,monthly,2002
2002 NOV,2002-11-15,CZBH,2.6,2.6,RPI,monthly,2002
2002 NOV,2002-11-15,D7G7,1.5,1.5,CPI,monthly,2002
2002 NOV,2002-11-15,L55O,1.6,1.6,CPIH,monthly,2002
2002 OCT,2002-10-15,CZBH,2.1,2.1,RPI,monthly,2002
2002 OCT,2002-10-15,D7G7,1.4,1.4,CPI,monthly,2002
2002 OCT,2002-10-15,L55O,1.5,1.5,CPIH,monthly,2002
2002 SEP,2002-9-15,CZBH,1.7,1.7,RPI,monthly,2002
2002 SEP,2002-9-15,D7G7,1.0,1.0,CPI,monthly,2002
2002 SEP,2002-9-15,L55O,1.2,1.2,CPIH,monthly,2002
2003 APR,2003-4-15,CZBH,3.1,3.1,RPI,monthly,2003
2003 APR,2003-4-15,D7G7,1.4,1.4,CPI,monthly,2003
2003 APR,2003-4-15,L55O,1.5,1.5,CPIH,monthly,2003
2003 AUG,2003-8-15,CZBH,2.9,2.9,RPI,monthly,2003
2003 AUG,2003-8-15,D7G7,1.4,1.4,CPI,monthly,2003
2003 AUG,2003-8-15,L55O,1.4,1.4,CPIH,monthly,2003
2003 DEC,2003-12-15,CZBH,2.8,2.8,RPI,monthly,2003
2003 DEC,2003-12-15,D7G7,1.3,1.3,CPI,monthly,2003
2003 DEC,2003-12-15,L55O,1.3,1.3,CPIH,monthly,2003
2003 FEB,2003-2-15,CZBH,3.2,3.2,RPI,monthly,2003
2003 FEB,2003-2-15,D7G7,1.6,1.6,CPI,monthly,2003
2003 FEB,2003-2-15,L55O,1.6,1.6,CPIH,monthly,2003
2003 JAN,2003-1-15,CZBH,2.9,2.9,RPI,monthly,2003
2003 JAN,2003-1-15,D7G7,1.3,1.3,CPI,monthly,2003
2003 JAN,2003-1-15,L55O,1.4,1.4,CPIH,monthly,2003
2003 JUL,2003-7-15,CZBH,3.1,3.1,RPI,monthly,2003
2003 JUL,2003-7-15,D7G7,1.3,1.3,CPI,monthly,2003
2003 JUL,2003-7-15,L55O,1.3,1.3,CPIH,monthly,2003
2003 JUN,2003-6-15,CZBH,2.9,2.9,RPI,monthly,2003
2003 JUN,2003-6-15,D7G7,1.1,1.1,CPI,monthly,2003
2003 JUN,2003-6-15,L55O,1.2,1.2,CPIH,monthly,2003
2003 MAR,2003-3-15,CZBH,3.1,3.1,RPI,monthly,2003
2003 MAR,2003-3-15,D7G7,1.5,1.5,CPI,monthly,2003
2003 MAR,2003-3-15,L55O,1.6,1.6,CPIH,monthly,2003
2003 MAY,2003-5-15,CZBH,3.0,3.0,RPI,monthly,2003
2003 MAY,2003-5-15,D7G7,1.3,1.3,CPI,monthly,2003
2003 MAY,2003-5-15,L55O,1.3,1.3,CPIH,monthly,2003
2003 NOV,2003-11-15,CZBH,2.5,2.5,RPI,monthly,2003
2003 NOV,2003-11-15,D7G7,1.3,1.3,CPI,monthly,2003
2003 NOV,2003-11-15,L55O,1.3,1.3,CPIH,monthly,2003
2003 OCT,2003-10-15,CZBH,2.6,2.6,RPI,monthly,2003
2003 OCT,2003-10-15,D7G7,1.4,1.4,CPI,monthly,2003
2003 OCT,2003-10-15,L55O,1.3,1.3,CPIH,monthly,2003
2003 SEP,2003-9-15,CZBH,2.8,2.8,RPI,monthly,2003
2003 SEP,2003-9-15,D7G7,1.4,1.4,CPI,monthly,2003
2003 SEP,2003-9-15,L55O,1.3,1.3,CPIH,monthly,2003
2004 APR,2004-4-15,CZBH,2.5,2.5,RPI,monthly,2004
2004 APR,2004-4-15,D7G7,1.1,1.1,CPI,monthly,2004
2004 APR,2004-4-15,L55O,1.1,1.1,CPIH,monthly,2004
2004 AUG,2004-8-15,CZBH,3.2,3.2,RPI,monthly,2004
2004 AUG,2004-8-15,D7G7,1.3,1.3,CPI,monthly,2004
2004 AUG,2004-8-15,L55O,1.4,1.4,CPIH,monthly,2004
2004 DEC,2004-12-15,CZBH,3.5,3.5,RPI,monthly,2004
2004 DEC,2004-12-15,D7G7,1.7,1.7,CPI,monthly,2004
2004 DEC,2004-12-15,L55O,1.8,1.8,CPIH,monthly,2004
2004 FEB,2004-2-15,CZBH,2.5,2.5,RPI,monthly,2004
2004 FEB,2004-2-15,D7G7,1.3,1.3,CPI,monthly,2004
2004 FEB,2004-2-15,L55O,1.4,1.4,CPIH,monthly,2004
2004 JAN,2004-1-15,CZBH,2.6,2.6,RPI,monthly,2004
2004 JAN,2004-1-15,D7G7,1.4,1.4,CPI,monthly,2004
2004 JAN,2004-1-15,L55O,1.5,1.5,CPIH,monthly,2004
2004 JUL,2004-7-15,CZBH,3.0,3.0,RPI,monthly,2004
2004 JUL,2004-7-15,D7G7,1.4,1.4,CPI,monthly,2004
2004 JUL,2004-7-15,L55O,1.4,1.4,CPIH,monthly,2004
2004 JUN,2004-6-15,CZBH,3.0,3.0,RPI,monthly,2004
2004 JUN,2004-6-15,D7G7,1.6,1.6,CPI,monthly,2004
2004 JUN,2004-6-15,L55O,1.5,1.5,CPIH,monthly,2004
2004 MAR,2004-3-15,CZBH,2.6,2.6,RPI,monthly,2004
2004 MAR,2004-3-15,D7G7,1.1,1.1,CPI,monthly,2004
2004 MAR,2004-3-15,L55O,1.2,1.2,CPIH,monthly,2004
2004 MAY,2004-5-15,CZBH,2.8,2.8,RPI,monthly,2004
2004 MAY,2004-5-15,D7G7,1.5,1.5,CPI,monthly,2004
2004 MAY,2004-5-15,L55O,1.4,1.4,CPIH,monthly,2004
2004 NOV,2004-11-15,CZBH,3.4,3.4,RPI,monthly,2004
2004 NOV,2004-11-15,D7G7,1.5,1.5,CPI,monthly,2004
2004 NOV,2004-11-15,L55O,1.5,1.5,CPIH,monthly,2004
2004 OCT,2004-10-15,CZBH,3.3,3.3,RPI,monthly,2004
2004 OCT,2004-10-15,D7G7,1.2,1.2,CPI,monthly,2004
2004 OCT,2004-10-15,L55O,1.3,1.3,CPIH,monthly,2004
2004 SEP,2004-9-15,CZBH,3.1,3.1,RPI,monthly,2004
2004 SEP,2004-9-15,D7G7,1.1,1.1,CPI,monthly,2004
2004 SEP,2004-9-15,L55O,1.2,1.2,CPIH,monthly,2004
2005 APR,2005-4-15,CZBH,3.2,3.2,RPI,monthly,2005
2005 APR,2005-4-15,D7G7,1.9,1.9,CPI,monthly,2005
2005 APR,2005-4-15,L55O,1.9,1.9,CPIH,monthly,2005
2005 AUG,2005-8-15,CZBH,2.8,2.8,RPI,monthly,2005
2005 AUG,2005-8-15,D7G7,2.4,2.4,CPI,monthly,2005
2005 AUG,2005-8-15,L55O,2.4,2.4,CPIH,monthly,2005
2005 DEC,2005-12-15,CZBH,2.2,2.2,RPI,monthly,2005
2005 DEC,2005-12-15,D7G7,1.9,1.9,CPI,monthly,2005
2005 DEC,2005-12-15,L55O,2.1,2.1,CPIH,monthly,2005
2005 FEB,2005-2-15,CZBH,3.2,3.2,RPI,monthly,2005
2005 FEB,2005-2-15,D7G7,1.7,1.7,CPI,monthly,2005
2005 FEB,2005-2-15,L55O,1.7,1.7,CPIH,monthly,2005
2005 JAN,2005-1-15,CZBH,3.2,3.2,RPI,monthly,2005
2005 JAN,2005-1-15,D7G7,1.6,1.6,CPI,monthly,2005
2005 JAN,2005-1-15,L55O,1.7,1.7,CPIH,monthly,2005
2005 JUL,2005-7-15,CZBH,2.9,2.9,RPI,monthly,2005
2005 JUL,2005-7-15,D7G7,2.3,2.3,CPI,monthly,2005
2005 JUL,2005-7-15,L55O,2.3,2.3,CPIH,monthly,2005
2005 JUN,2005-6-15,CZBH,2.9,2.9,RPI,monthly,2005
2005 JUN,2005-6-15,D7G7,2.0,2.0,CPI,monthly,2005
2005 JUN,2005-6-15,L55O,2.0,2.0,CPIH,monthly,2005
2005 MAR,2005-3-15,CZBH,3.2,3.2,RPI,monthly,2005
2005 MAR,2005-3-15,D7G7,1.9,1.9,CPI,monthly,2005
2005 MAR,2005-3-15,L55O,2.0,2.0,CPIH,monthly,2005
2005 MAY,2005-5-15,CZBH,2.9,2.9,RPI,monthly,2005
2005 MAY,2005-5-15,D7G7,1.9,1.9,CPI,monthly,2005
2005 MAY,2005-5-15,L55O,1.9,1.9,CPIH,monthly,2005
2005 NOV,2005-11-15,CZBH,2.4,2.4,RPI,monthly,2005
2005 NOV,2005-11-15,D7G7,2.1,2.1,CPI,monthly,2005
2005 NOV,2005-11-15,L55O,2.2,2.2,CPIH,monthly,2005
2005 OCT,2005-10-15,CZBH,2.5,2.5,RPI,monthly,2005
2005 OCT,2005-10-15,D7G7,2.3,2.3,CPI,monthly,2005
2005 OCT,2005-10-15,L55O,2.4,2.4,CPIH,monthly,2005
2005 SEP,2005-9-15,CZBH,2.7,2.7,RPI,monthly,2005
2005 SEP,2005-9-15,D7G7,2.5,2.5,CPI,monthly,2005
2005 SEP,2005-9-15,L55O,2.5,2.5,CPIH,monthly,2005
2006 APR,2006-4-15,CZBH,2.6,2.6,RPI,monthly,2006
2006 APR,2006-4-15,D7G7,2.0,2.0,CPI,monthly,2006
2006 APR,2006-4-15,L55O,2.2,2.2,CPIH,monthly,2006
2006 AUG,2006-8-15,CZBH,3.4,3.4,RPI,monthly,2006
2006 AUG,2006-8-15,D7G7,2.5,2.5,CPI,monthly,2006
2006 AUG,2006-8-15,L55O,2.6,2.6,CPIH,monthly,2006
2006 DEC,2006-12-15,CZBH,4.4,4.4,RPI,monthly,2006
2006 DEC,2006-12-15,D7G7,3.0,3.0,CPI,monthly,2006
2006 DEC,2006-12-15,L55O,2.9,2.9,CPIH,monthly,2006
2006 FEB,2006-2-15,CZBH,2.4,2.4,RPI,monthly,2006
2006 FEB,2006-2-15,D7G7,2.0,2.0,CPI,monthly,2006
2006 FEB,2006-2-15,L55O,2.2,2.2,CPIH,monthly,2006
2006 JAN,2006-1-15,CZBH,2.4,2.4,RPI,monthly,2006
2006 JAN,2006-1-15,D7G7,1.9,1.9,CPI,monthly,2006
2006 JAN,2006-1-15,L55O,2.2,2.2,CPIH,monthly,2006
2006 JUL,2006-7-15,CZBH,3.3,3.3,RPI,monthly,2006
2006 JUL,2006-7-15,D7G7,2.4,2.4,CPI,monthly,2006
2006 JUL,2006-7-15,L55O,2.5,2.5,CPIH,monthly,2006
2006 JUN,2006-6-15,CZBH,3.3,3.3,RPI,monthly,2006
2006 JUN,2006-6-15,D7G7,2.5,2.5,CPI,monthly,2006
2006 JUN,2006-6-15,L55O,2.6,2.6,CPIH,monthly,2006
2006 MAR,2006-3-15,CZBH,2.4,2.4,RPI,monthly,2006
2006 MAR,2006-3-15,D7G7,1.8,1.8,CPI,monthly,2006
2006 MAR,2006-3-15,L55O,2.0,2.0,CPIH,monthly,2006
2006 MAY,2006-5-15,CZBH,3.0,3.0,RPI,monthly,2006
2006 MAY,2006-5-15,D7G7,2.2,2.2,CPI,monthly,2006
2006 MAY,2006-5-15,L55O,2.4,2.4,CPIH,monthly,2006
2006 NOV,2006-11-15,CZBH,3.9,3.9,RPI,monthly,2006
2006 NOV,2006-11-15,D7G7,2.7,2.7,CPI,monthly,2006
2006 NOV,2006-11-15,L55O,2.8,2.8,CPIH,monthly,2006
2006 OCT,2006-10-15,CZBH,3.7,3.7,RPI,monthly,2006
2006 OCT,2006-10-15,D7G7,2.4,2.4,CPI,monthly,2006
2006 OCT,2006-10-15,L55O,2.5,2.5,CPIH,monthly,2006
2006 SEP,2006-9-15,CZBH,3.6,3.6,RPI,monthly,2006
2006 SEP,2006-9-15,D7G7,2.4,2.4,CPI,monthly,2006
2006 SEP,2006-9-15,L55O,2.5,2.5,CPIH,monthly,2006
2007 APR,2007-4-15,CZBH,4.5,4.5,RPI,monthly,2007
2007 APR,2007-4-15,D7G7,2.8,2.8,CPI,monthly,2007
2007 APR,2007-4-15,L55O,2.7,2.7,CPIH,monthly,2007
2007 AUG,2007-8-15,CZBH,4.1,4.1,RPI,monthly,2007
2007 AUG,2007-8-15,D7G7,1.8,1.8,CPI,monthly,2007
2007 AUG,2007-8-15,L55O,2.0,2.0,CPIH,monthly,2007
2007 DEC,2007-12-15,CZBH,4.0,4.0,RPI,monthly,2007
2007 DEC,2007-12-15,D7G7,2.1,2.1,CPI,monthly,2007
2007 DEC,2007-12-15,L55O,2.3,2.3,CPIH,monthly,2007
2007 FEB,2007-2-15,CZBH,4.6,4.6,RPI,monthly,2007
2007 FEB,2007-2-15,D7G7,2.8,2.8,CPI,monthly,2007
2007 FEB,2007-2-15,L55O,2.7,2.7,CPIH,monthly,2007
2007 JAN,2007-1-15,CZBH,4.2,4.2,RPI,monthly,2007
2007 JAN,2007-1-15,D7G7,2.7,2.7,CPI,monthly,2007
2007 JAN,2007-1-15,L55O,2.7,2.7,CPIH,monthly,2007
2007 JUL,2007-7-15,CZBH,3.8,3.8,RPI,monthly,2007
2007 JUL,2007-7-15,D7G7,1.9,1.9,CPI,monthly,2007
2007 JUL,2007-7-15,L55O,2.0,2.0,CPIH,monthly,2007
2007 JUN,2007-6-15,CZBH,4.4,4.4,RPI,monthly,2007
2007 JUN,2007-6-15,D7G7,2.4,2.4,CPI,monthly,2007
2007 JUN,2007-6-15,L55O,2.5,2.5,CPIH,monthly,2007
2007 MAR,2007-3-15,CZBH,4.8,4.8,RPI,monthly,2007
2007 MAR,2007-3-15,D7G7,3.1,3.1,CPI,monthly,2007
2007 MAR,2007-3-15,L55O,2.9,2.9,CPIH,monthly,2007
2007 MAY,2007-5-15,CZBH,4.3,4.3,RPI,monthly,2007
2007 MAY,2007-5-15,D7G7,2.5,2.5,CPI,monthly,2007
2007 MAY,2007-5-15,L55O,2.5,2.5,CPIH,monthly,2007
2007 NOV,2007-11-15,CZBH,4.3,4.3,RPI,monthly,2007
2007 NOV,2007-11-15,D7G7,2.1,2.1,CPI,monthly,2007
2007 NOV,2007-11-15,L55O,2.2,2.2,CPIH,monthly,2007
2007 OCT,2007-10-15,CZBH,4.2,4.2,RPI,monthly,2007
2007 OCT,2007-10-15,D7G7,2.1,2.1,CPI,monthly,2007
2007 OCT,2007-10-15,L55O,2.3,2.3,CPIH,monthly,2007
2007 SEP,2007-9-15,CZBH,3.9,3.9,RPI,monthly,2007
2007 SEP,2007-9-15,D7G7,1.8,1.8,CPI,monthly,2007
2007 SEP,2007-9-15,L55O,2.0,2.0,CPIH,monthly,2007
2008 APR,2008-4-15,CZBH,4.2,4.2,RPI,monthly,2008
2008 APR,2008-4-15,D7G7,3.0,3.0,CPI,monthly,2008
2008 APR,2008-4-15,L55O,3.0,3.0,CPIH,monthly,2008
2008 AUG,2008-8-15,CZBH,4.8,4.8,RPI,monthly,2008
2008 AUG,2008-8-15,D7G7,4.7,4.7,CPI,monthly,2008
2008 AUG,2008-8-15,L55O,4.4,4.4,CPIH,monthly,2008
2008 DEC,2008-12-15,CZBH,0.9,0.9,RPI,monthly,2008
2008 DEC,2008-12-15,D7G7,3.1,3.1,CPI,monthly,2008
2008 DEC,2008-12-15,L55O,3.0,3.0,CPIH,monthly,2008
2008 FEB,2008-2-15,CZBH,4.1,4.1,RPI,monthly,2008
2008 FEB,2008-2-15,D7G7,2.5,2.5,CPI,monthly,2008
2008 FEB,2008-2-15,L55O,2.6,2.6,CPIH,monthly,2008
2008 JAN,2008-1-15,CZBH,4.1,4.1,RPI,monthly,2008
2008 JAN,2008-1-15,D7G7,2.2,2.2,CPI,monthly,2008
2008 JAN,2008-1-15,L55O,2.4,2.4,CPIH,monthly,2008
2008 JUL,2008-7-15,CZBH,5.0,5.0,RPI,monthly,2008
2008 JUL,2008-7-15,D7G7,4.4,4.4,CPI,monthly,2008
2008 JUL,2008-7-15,L55O,4.2,4.2,CPIH,monthly,2008
2008 JUN,2008-6-15,CZBH,4.6,4.6,RPI,monthly,2008
2008 JUN,2008-6-15,D7G7,3.8,3.8,CPI,monthly,2008
2008 JUN,2008-6-15,L55O,3.7,3.7,CPIH,monthly,2008
2008 MAR,2008-3-15,CZBH,3.8,3.8,RPI,monthly,2008
2008 MAR,2008-3-15,D7G7,2.5,2.5,CPI,monthly,2008
2008 MAR,2008-3-15,L55O,2.6,2.6,CPIH,monthly,2008
2008 MAY,2008-5-15,CZBH,4.3,4.3,RPI,monthly,2008
2008 MAY,2008-5-15,D7G7,3.3,3.3,CPI,monthly,2008
2008 MAY,2008-5-15,L55O,3.3,3.3,CPIH,monthly,2008
2008 NOV,2008-11-15,CZBH,3.0,3.0,RPI,monthly,2008
2008 NOV,2008-11-15,D7G7,4.1,4.1,CPI,monthly,2008
2008 NOV,2008-11-15,L55O,3.8,3.8,CPIH,monthly,2008
2008 OCT,2008-10-15,CZBH,4.2,4.2,RPI,monthly,2008
2008 OCT,2008-10-15,D7G7,4.5,4.5,CPI,monthly,2008
2008 OCT,2008-10-15,L55O,4.2,4.2,CPIH,monthly,2008
2008 SEP,2008-9-15,CZBH,5.0,5.0,RPI,monthly,2008
2008 SEP,2008-9-15,D7G7,5.2,5.2,CPI,monthly,2008
2008 SEP,2008-9-15,L55O,4.8,4.8,CPIH,monthly,2008
2009 APR,2009-4-15,CZBH,-1.2,-1.2,RPI,monthly,2009
2009 APR,2009-4-15,D7G7,2.3,2.3,CPI,monthly,2009
2009 APR,2009-4-15,L55O,2.3,2.3,CPIH,monthly,2009
2009 AUG,2009-8-15,CZBH,-1.3,-1.3,RPI,monthly,2009
2009 AUG,2009-8-15,D7G7,1.6,1.6,CPI,monthly,2009
2009 AUG,2009-8-15,L55O,1.4,1.4,CPIH,monthly,2009
2009 DEC,2009-12-15,CZBH,2.4,2.4,RPI,monthly,2009
2009 DEC,2009-12-15,D7G7,2.9,2.9,CPI,monthly,2009
2009 DEC,2009-12-15,L55O,2.1,2.1,CPIH,monthly,2009
2009 FEB,2009-2-15,CZBH,0.0,0.0,RPI,monthly,2009
2009 FEB,2009-2-15,D7G7,3.2,3.2,CPI,monthly,2009
2009 FEB,2009-2-15,L55O,3.1,3.1,CPIH,monthly,2009
2009 JAN,2009-1-15,CZBH,0.1,0.1,RPI,monthly,2009
2009 JAN,2009-1-15,D7G7,3.0,3.0,CPI,monthly,2009
2009 JAN,2009-1-15,L55O,2.9,2.9,CPIH,monthly,2009
