date,level_1,value
2013 SEP,Unemployment_rate_Aged_16_17,34.4
2013 OCT,Unemployment_rate_16_over,7.2
2013 OCT,Unemployment_rate_Aged_16_17,36.5
2013 NOV,Unemployment_rate_16_over,7.2
2013 NOV,Unemployment_rate_Aged_16_17,37.1
2013 DEC,Unemployment_rate_16_over,7.2
2013 DEC,Unemployment_rate_Aged_16_17,36.5
2014 JAN,Unemployment_rate_16_over,6.9
2014 JAN,Unemployment_rate_Aged_16_17,34.0
2014 FEB,Unemployment_rate_16_over,6.8
2014 FEB,Unemployment_rate_Aged_16_17,30.5
2014 MAR,Unemployment_rate_16_over,6.6
2014 MAR,Unemployment_rate_Aged_16_17,28.5
2014 MAR,Druguse16to20,19.2867244
2014 MAR,druguse20to24,18.82101549
2014 APR,Unemployment_rate_16_over,6.4
2014 APR,Unemployment_rate_Aged_16_17,28.7
2014 MAY,Unemployment_rate_16_over,6.3
2014 MAY,Unemployment_rate_Aged_16_17,28.1
2014 JUN,Unemployment_rate_16_over,6.1
2014 JUN,Unemployment_rate_Aged_16_17,31.2
2014 JUL,Unemployment_rate_16_over,6.0
2014 JUL,Unemployment_rate_Aged_16_17,29.7
2014 AUG,Unemployment_rate_16_over,6.0
2014 AUG,Unemployment_rate_Aged_16_17,30.5
2014 SEP,Unemployment_rate_16_over,6.0
2014 SEP,Unemployment_rate_Aged_16_17,31.0
2014 OCT,Unemployment_rate_16_over,5.9
2014 OCT,Unemployment_rate_Aged_16_17,31.4
2014 NOV,Unemployment_rate_16_over,5.7
2014 NOV,Unemployment_rate_Aged_16_17,29.4
2014 DEC,Unemployment_rate_16_over,5.7
2014 DEC,Unemployment_rate_Aged_16_17,28.9
2015 JAN,Unemployment_rate_16_over,5.6
2015 JAN,Unemployment_rate_Aged_16_17,30.3
2015 FEB,Unemployment_rate_16_over,5.5
2015 FEB,Unemployment_rate_Aged_16_17,29.6
2015 MAR,Unemployment_rate_16_over,5.5
2015 MAR,Unemployment_rate_Aged_16_17,30.5
2015 MAR,Druguse16to20,18.91748744
2015 MAR,druguse20to24,19.85567377
2015 APR,Unemployment_rate_16_over,5.6
2015 APR,Unemployment_rate_Aged_16_17,28.9
2015 MAY,Unemployment_rate_16_over,5.6
2015 MAY,Unemployment_rate_Aged_16_17,30.4
2015 JUN,Unemployment_rate_16_over,5.5
2015 JUN,Unemployment_rate_Aged_16_17,28.5
2015 JUL,Unemployment_rate_16_over,5.4
2015 JUL,Unemployment_rate_Aged_16_17,30.5
2015 AUG,Unemployment_rate_16_over,5.3
2015 AUG,Unemployment_rate_Aged_16_17,30.5
2015 SEP,Unemployment_rate_16_over,5.2
2015 SEP,Unemployment_rate_Aged_16_17,31.0
2015 OCT,Unemployment_rate_16_over,5.1
2015 OCT,Unemployment_rate_Aged_16_17,28.7
2015 NOV,Unemployment_rate_16_over,5.1
2015 NOV,Unemployment_rate_Aged_16_17,30.5
2015 DEC,Unemployment_rate_16_over,5.1
2015 DEC,Unemployment_rate_Aged_16_17,33.0
2016 JAN,Unemployment_rate_16_over,5.1
2016 JAN,Unemployment_rate_Aged_16_17,32.6
2016 FEB,Unemployment_rate_16_over,5.1
2016 FEB,Unemployment_rate_Aged_16_17,30.1
2016 MAR,Unemployment_rate_16_over,5.0
2016 MAR,Unemployment_rate_Aged_16_17,30.0
2016 MAR,Druguse16to20,17.75273839
2016 MAR,druguse20to24,18.20180536
2016 APR,Unemployment_rate_16_over,4.9
2016 APR,Unemployment_rate_Aged_16_17,30.0
2016 MAY,Unemployment_rate_16_over,4.9
2016 MAY,Unemployment_rate_Aged_16_17,29.3
2016 JUN,Unemployment_rate_16_over,4.9
2016 JUN,Unemployment_rate_Aged_16_17,31.8
2016 JUL,Unemployment_rate_16_over,5.0
2016 JUL,Unemployment_rate_Aged_16_17,35.8
2016 AUG,Unemployment_rate_16_over,4.8
2016 AUG,Unemployment_rate_Aged_16_17,34.5
2016 SEP,Unemployment_rate_16_over,4.8
2016 SEP,Unemployment_rate_Aged_16_17,35.9
2016 OCT,Unemployment_rate_16_over,4.8
2016 OCT,Unemployment_rate_Aged_16_17,31.4
2016 NOV,Unemployment_rate_16_over,4.7
2016 NOV,Unemployment_rate_Aged_16_17,29.2
2016 DEC,Unemployment_rate_16_over,4.7
2016 DEC,Unemployment_rate_Aged_16_17,27.0
2017 JAN,Unemployment_rate_16_over,4.6
2017 JAN,Unemployment_rate_Aged_16_17,30.2
2017 FEB,Unemployment_rate_16_over,4.6
2017 FEB,Unemployment_rate_Aged_16_17,30.2
2017 MAR,Unemployment_rate_16_over,4.5
2017 MAR,Unemployment_rate_Aged_16_17,27.8
2017 MAR,Druguse16to20,16.53366679
2017 MAR,druguse20to24,21.01658824
2017 APR,Unemployment_rate_16_over,4.4
2017 APR,Unemployment_rate_Aged_16_17,28.1
2017 MAY,Unemployment_rate_16_over,4.4
2017 MAY,Unemployment_rate_Aged_16_17,31.0
2017 JUN,Unemployment_rate_16_over,4.3
2017 JUN,Unemployment_rate_Aged_16_17,33.5
2017 JUL,Unemployment_rate_16_over,4.3
2017 JUL,Unemployment_rate_Aged_16_17,30.3
2017 AUG,Unemployment_rate_16_over,4.3
2017 AUG,Unemployment_rate_Aged_16_17,29.0
2017 SEP,Unemployment_rate_16_over,4.2
2017 SEP,Unemployment_rate_Aged_16_17,29.4
2017 OCT,Unemployment_rate_16_over,4.3
2017 OCT,Unemployment_rate_Aged_16_17,29.9
2017 NOV,Unemployment_rate_16_over,4.4
2017 NOV,Unemployment_rate_Aged_16_17,30.9
2017 DEC,Unemployment_rate_16_over,4.3
2017 DEC,Unemployment_rate_Aged_16_17,29.9
2018 JAN,Unemployment_rate_16_over,4.2
2018 JAN,Unemployment_rate_Aged_16_17,29.3
2018 FEB,Unemployment_rate_16_over,4.2
2018 FEB,Unemployment_rate_Aged_16_17,30.4
2018 MAR,Unemployment_rate_16_over,4.2
2018 MAR,Unemployment_rate_Aged_16_17,26.5
2018 MAR,Druguse16to20,16.82929183
2018 MAR,druguse20to24,21.83325558
2018 APR,Unemployment_rate_16_over,4.2
2018 APR,Unemployment_rate_Aged_16_17,25.2
2018 MAY,Unemployment_rate_16_over,4.0
2018 MAY,Unemployment_rate_Aged_16_17,21.5
2018 JUN,Unemployment_rate_16_over,4.0
2018 JUN,Unemployment_rate_Aged_16_17,20.2
2018 JUL,Unemployment_rate_16_over,4.0
2018 JUL,Unemployment_rate_Aged_16_17,16.5
2018 AUG,Unemployment_rate_16_over,4.1
2018 AUG,Unemployment_rate_Aged_16_17,16.2
2018 SEP,Unemployment_rate_16_over,4.1
2018 SEP,Unemployment_rate_Aged_16_17,24.6
2018 OCT,Unemployment_rate_16_over,4.0
2018 OCT,Unemployment_rate_Aged_16_17,31.6
2018 NOV,Unemployment_rate_16_over,4.0
2018 NOV,Unemployment_rate_Aged_16_17,29.5
2018 DEC,Unemployment_rate_16_over,3.9
2018 DEC,Unemployment_rate_Aged_16_17,24.2
2019 JAN,Unemployment_rate_16_over,3.9
2019 JAN,Unemployment_rate_Aged_16_17,20.2
2019 FEB,Unemployment_rate_16_over,3.8
2019 FEB,Unemployment_rate_Aged_16_17,20.1
2019 MAR,Unemployment_rate_16_over,3.8
2019 MAR,Unemployment_rate_Aged_16_17,20.2
2019 MAR,Druguse16to20,18.38327642
2019 MAR,druguse20to24,21.71267362
2019 APR,Unemployment_rate_16_over,3.8
2019 APR,Unemployment_rate_Aged_16_17,19.8
2019 MAY,Unemployment_rate_16_over,3.9
2019 MAY,Unemployment_rate_Aged_16_17,19.5
2019 JUN,Unemployment_rate_16_over,3.8
2019 JUN,Unemployment_rate_Aged_16_17,20.6
2019 JUL,Unemployment_rate_16_over,3.9
2019 JUL,Unemployment_rate_Aged_16_17,24.2
2019 AUG,Unemployment_rate_16_over,3.8
2019 AUG,Unemployment_rate_Aged_16_17,23.4
2019 SEP,Unemployment_rate_16_over,3.8
2019 SEP,Unemployment_rate_Aged_16_17,25.4
2019 OCT,Unemployment_rate_16_over,3.8
2019 OCT,Unemployment_rate_Aged_16_17,26.9
2019 NOV,Unemployment_rate_16_over,3.8
2019 NOV,Unemployment_rate_Aged_16_17,28.9
2019 DEC,Unemployment_rate_16_over,3.9
2019 DEC,Unemployment_rate_Aged_16_17,32.4
2020 JAN,Unemployment_rate_16_over,4.0
2020 JAN,Unemployment_rate_Aged_16_17,34.5
2020 FEB,Unemployment_rate_16_over,4.0
2020 FEB,Unemployment_rate_Aged_16_17,33.6
2020 MAR,Unemployment_rate_16_over,4.1
2020 MAR,Unemployment_rate_Aged_16_17,33.6
2020 MAR,Druguse16to20,21.07712243
2020 MAR,druguse20to24,20.98816765
2020 APR,Unemployment_rate_16_over,4.1
2020 APR,Unemployment_rate_Aged_16_17,29.8
2020 MAY,Unemployment_rate_16_over,4.1
2020 MAY,Unemployment_rate_Aged_16_17,34.7
2020 JUN,Unemployment_rate_16_over,4.3
2020 JUN,Unemployment_rate_Aged_16_17,33.4
2020 JUL,Unemployment_rate_16_over,4.6
2020 JUL,Unemployment_rate_Aged_16_17,35.0
2020 AUG,Unemployment_rate_16_over,4.9
2020 AUG,Unemployment_rate_Aged_16_17,28.7
2020 SEP,Unemployment_rate_16_over,5.1
2020 SEP,Unemployment_rate_Aged_16_17,29.4
2020 OCT,Unemployment_rate_16_over,5.1
2020 OCT,Unemployment_rate_Aged_16_17,22.1
2020 NOV,Unemployment_rate_16_over,5.2
2020 NOV,Unemployment_rate_Aged_16_17,22.5
2020 DEC,Unemployment_rate_16_over,5.1
2020 DEC,Unemployment_rate_Aged_16_17,22.8
2021 JAN,Unemployment_rate_16_over,5.1
2021 JAN,Unemployment_rate_Aged_16_17,24.5
2021 FEB,Unemployment_rate_16_over,4.9
2021 FEB,Unemployment_rate_Aged_16_17,26.7
2021 MAR,Unemployment_rate_16_over,4.9
2021 MAR,Unemployment_rate_Aged_16_17,29.9
2021 APR,Unemployment_rate_16_over,4.9
2021 APR,Unemployment_rate_Aged_16_17,30.8
2021 MAY,Unemployment_rate_16_over,4.7
2021 MAY,Unemployment_rate_Aged_16_17,31.2
2021 JUN,Unemployment_rate_16_over,4.6
2021 JUN,Unemployment_rate_Aged_16_17,30.9
2021 JUL,Unemployment_rate_16_over,4.4
2021 JUL,Unemployment_rate_Aged_16_17,25.0
2021 AUG,Unemployment_rate_16_over,4.3
2021 AUG,Unemployment_rate_Aged_16_17,19.7
2021 SEP,Unemployment_rate_16_over,4.2
2021 SEP,Unemployment_rate_Aged_16_17,23.3
2021 OCT,Unemployment_rate_16_over,4.1
2021 OCT,Unemployment_rate_Aged_16_17,28.6
2021 NOV,Unemployment_rate_16_over,4.0
2021 NOV,Unemployment_rate_Aged_16_17,25.4
2021 DEC,Unemployment_rate_16_over,4.0
2021 DEC,Unemployment_rate_Aged_16_17,29.8
2022 JAN,Unemployment_rate_16_over,3.8
2022 JAN,Unemployment_rate_Aged_16_17,24.6
2022 FEB,Unemployment_rate_16_over,3.7
2022 FEB,Unemployment_rate_Aged_16_17,29.4
2022 MAR,Unemployment_rate_16_over,3.8
2022 MAR,Unemployment_rate_Aged_16_17,28.8
2022 APR,Unemployment_rate_16_over,3.8
2022 APR,Unemployment_rate_Aged_16_17,25.0
2022 MAY,Unemployment_rate_16_over,3.8
2022 MAY,Unemployment_rate_Aged_16_17,23.6
2022 JUN,Unemployment_rate_16_over,3.6
2022 JUN,Unemployment_rate_Aged_16_17,23.1
2022 JUN,Druguse16to20,12.18983663
2022 JUN,druguse20to24,23.28593756
2022 JUL,Unemployment_rate_16_over,3.5
2022 JUL,Unemployment_rate_Aged_16_17,23.3
2022 AUG,Unemployment_rate_16_over,3.6
2022 AUG,Unemployment_rate_Aged_16_17,21.9
2022 SEP,Unemployment_rate_16_over,3.7
2022 SEP,Unemployment_rate_Aged_16_17,17.1
