Country,ISO3,Year,"GDP, PPP (constant 2017 $)",Employment (000s),Output per worker ($),Continent
Mexico,MEX,2002,1748320000000.0,38559.82,45340.460614183365,America
Netherlands,NLD,2002,774476000000.0,8167.425,94824.99074065572,Europe
Norway,NOR,2002,265668000000.0,2275.525,116750.2005031806,Europe
New Zealand,NZL,2002,136921000000.0,1904.55,71891.52293192617,Oceania
Poland,POL,2002,639492000000.0,13781.55,46402.03750666652,Europe
Portugal,PRT,2002,321173000000.0,5143.0,62448.570873031305,Europe
Slovakia,SVK,2002,90856157579.0,2123.25,42791.07857247144,Europe
Slovenia,SVN,2002,55834996435.0,909.525,61389.18274373986,Europe
Sweden,SWE,2002,373690000000.0,4323.925,86423.79319715305,Europe
Türkiye,TUR,2002,979214000000.0,21463.25,45622.82040231559,Asia
United States,USA,2002,14535200000000.0,136485.2,106496.52856133852,America
Australia,AUS,2003,801501000000.0,9396.537,85297.48778725609,Oceania
Austria,AUT,2003,386849000000.0,3790.0,102070.97625329815,Europe
Belgium,BEL,2003,458219000000.0,4070.375,112574.14857353436,Europe
Canada,CAN,2003,1354150000000.0,15660.84,86467.2648465855,America
Switzerland,CHE,2003,437241000000.0,3963.0,110330.80999242996,Europe
Chile,CHL,2003,263843000000.0,5788.518,45580.405900093945,America
Czech Republic,CZE,2003,277680000000.0,4701.15,59066.39864713953,Europe
Germany,DEU,2003,3556350000000.0,35753.58,99468.36093056976,Europe
Denmark,DNK,2003,265554000000.0,2692.0,98645.61664190191,Europe
Spain,ESP,2003,1549540000000.0,17475.6,88668.77245988692,Europe
Estonia,EST,2003,30223941194.0,602.95,50126.77866158056,Europe
Finland,FIN,2003,219826000000.0,2364.925,92952.63063310676,Europe
France,FRA,2003,2516780000000.0,24704.82,101874.04725069844,Europe
United Kingdom,GBR,2003,2467590000000.0,28223.0,87431.88179853311,Europe
Greece,GRC,2003,360423000000.0,4353.175,82795.4309211093,Europe
Hungary,HUN,2003,224877000000.0,3921.9,57338.7898722558,Europe
Ireland,IRL,2003,212012000000.0,1810.475,117102.97021499884,Europe
Iceland,ISL,2003,12477010814.0,155.0,80496.84396129032,Europe
Israel,ISR,2003,193150000000.0,2330.2,82889.88069693588,Asia
Italy,ITA,2003,2509240000000.0,22047.15,113812.44287810444,Europe
Japan,JPN,2003,4698090000000.0,63161.67,74381.97881721621,Asia
South Korea,KOR,2003,1257670000000.0,22221.6,56596.73470857184,Asia
Luxembourg,LUX,2003,47305081130.0,187.1,252833.1433992517,Europe
Latvia,LVA,2003,37966136921.0,962.05,39463.78766280339,Europe
Mexico,MEX,2003,1773610000000.0,38877.61,45620.34548934464,America
Netherlands,NLD,2003,775681000000.0,8121.125,95513.98359217471,Europe
Norway,NOR,2003,268086000000.0,2257.625,118746.91323846964,Europe
New Zealand,NZL,2003,143151000000.0,1953.275,73287.68350590675,Oceania
Poland,POL,2003,661864000000.0,13616.22,48608.49780629279,Europe
Portugal,PRT,2003,318185000000.0,5092.5,62481.099656357386,Europe
Slovakia,SVK,2003,95852413165.0,2161.675,44341.73183526663,Europe
Slovenia,SVN,2003,57487857660.0,897.175,64076.526497060215,Europe
Sweden,SWE,2003,382322000000.0,4314.4,88615.3346931207,Europe
Türkiye,TUR,2003,1035650000000.0,21290.5,48643.76130198915,Asia
United States,USA,2003,14941700000000.0,137735.7,108480.95301363408,America
Australia,AUS,2004,835298000000.0,9558.361,87389.2501026065,Oceania
Austria,AUT,2004,397429000000.0,3732.0,106492.2293676313,Europe
Belgium,BEL,2004,474583000000.0,4138.95,114662.65598762973,Europe
Canada,CAN,2004,1395950000000.0,15915.03,87712.6841733883,America
Switzerland,CHE,2004,449054000000.0,3959.2,113420.38795716308,Europe
Chile,CHL,2004,281452000000.0,5946.433,47331.23201758096,America
Czech Republic,CZE,2004,291048000000.0,4690.55,62049.86622037927,Europe
Germany,DEU,2004,3598140000000.0,35875.68,100294.68430981656,Europe
Denmark,DNK,2004,272639000000.0,2720.0,100234.92647058824,Europe
Spain,ESP,2004,1597930000000.0,18142.25,88077.82937617991,Europe
Estonia,EST,2004,32280380502.0,601.9,53630.8032929058,Europe
Finland,FIN,2004,228602000000.0,2364.65,96674.77216501386,Europe
France,FRA,2004,2588000000000.0,24808.03,104321.0605598268,Europe
United Kingdom,GBR,2004,2525450000000.0,28533.25,88509.02017821313,Europe
Greece,GRC,2004,378663000000.0,4389.3,86269.56462306062,Europe
Hungary,HUN,2004,236131000000.0,3900.35,60540.977091799454,Europe
Ireland,IRL,2004,226404000000.0,1864.85,121406.01120733572,Europe
Iceland,ISL,2004,13450517044.0,154.925,86819.53877037276,Europe
Israel,ISR,2004,202392000000.0,2400.8,84301.89936687771,Asia
Italy,ITA,2004,2544960000000.0,22362.4,113805.31606625408,Europe
Japan,JPN,2004,4800800000000.0,63285.83,75859.0035083683,Asia
South Korea,KOR,2004,1323040000000.0,22681.87,58330.28758210853,Asia
Luxembourg,LUX,2004,49306980746.0,188.4,261714.33516985137,Europe
Latvia,LVA,2004,41111307126.0,963.85,42653.22106759351,Europe
Mexico,MEX,2004,1843150000000.0,40216.1,45831.14722710556,America
Netherlands,NLD,2004,791078000000.0,8105.475,97597.9816111949,Europe
Norway,NOR,2004,278727000000.0,2266.5,122976.83653209796,Europe
New Zealand,NZL,2004,148918000000.0,2022.8,73619.7350207633,Oceania
Poland,POL,2004,694844000000.0,13793.2,50375.83736913842,Europe
Portugal,PRT,2004,323876000000.0,5061.05,63993.835271336975,Europe
Slovakia,SVK,2004,100912000000.0,2167.775,46550.95662603361,Europe
Slovenia,SVN,2004,59993864199.0,943.45,63589.87142826859,Europe
Sweden,SWE,2004,398903000000.0,4290.025,92983.84042051036,Europe
Türkiye,TUR,2004,1137100000000.0,21708.5,52380.40398922081,Asia
United States,USA,2004,15517300000000.0,139251.9,111433.30898896173,America
Australia,AUS,2005,861641000000.0,9880.634,87205.03157995731,Oceania
Austria,AUT,2005,406348000000.0,3747.425,108433.92462824471,Europe
Belgium,BEL,2005,485602000000.0,4235.425,114652.4846975215,Europe
Canada,CAN,2005,1440680000000.0,16123.52,89352.69717778749,America
Switzerland,CHE,2005,461402000000.0,3974.5,116090.5774311234,Europe
Chile,CHL,2005,297881000000.0,6170.337,48276.29349904227,America
Czech Republic,CZE,2005,310262000000.0,4764.025,65126.02263842025,Europe
Germany,DEU,2005,3624470000000.0,36361.15,99679.74060226369,Europe
Denmark,DNK,2005,279010000000.0,2732.0,102126.64714494876,Europe
Spain,ESP,2005,1656290000000.0,19206.93,86233.97908983893,Europe
Estonia,EST,2005,35355547376.0,615.55,57437.32820404516,Europe
Finland,FIN,2005,234956000000.0,2400.825,97864.69234533962,Europe
France,FRA,2005,2631040000000.0,24984.18,105308.23905367315,Europe
United Kingdom,GBR,2005,2592840000000.0,28853.25,89863.01369863014,Europe
Greece,GRC,2005,380932000000.0,4443.5,85727.91718240126,Europe
Hungary,HUN,2005,246271000000.0,3901.475,63122.536989215616,Europe
Ireland,IRL,2005,239399000000.0,1951.95,122646.0718768411,Europe
Iceland,ISL,2005,14274285751.0,159.85,89298.00282139506,Europe
Israel,ISR,2005,210759000000.0,2493.65,84518.27642211216,Asia
Italy,ITA,2005,2565780000000.0,22406.9,114508.47729940333,Europe
Japan,JPN,2005,4887400000000.0,63561.67,76892.25283099075,Asia
South Korea,KOR,2005,1380040000000.0,22831.04,60445.77907970903,Asia
Lithuania,LTU,2005,69949795339.0,1434.45,48764.19208686256,Europe
Luxembourg,LUX,2005,50531211320.0,193.6,261008.3229338843,Europe
Latvia,LVA,2005,45518589699.0,972.35,46812.96827171286,Europe
Mexico,MEX,2005,1885680000000.0,42079.14,44812.70292120989,America
Netherlands,NLD,2005,807302000000.0,7831.4,103085.27210971218,Europe
Norway,NOR,2005,286045000000.0,2282.625,125314.05728054325,Europe
New Zealand,NZL,2005,153863000000.0,2082.325,73890.0027613365,Oceania
Poland,POL,2005,719211000000.0,14115.45,50952.04191152248,Europe
Portugal,PRT,2005,326408000000.0,5047.05,64673.02681764595,Europe
Slovakia,SVK,2005,107596000000.0,2215.25,48570.5902268367,Europe
Slovenia,SVN,2005,62272414749.0,949.2,65605.15670986094,Europe
Sweden,SWE,2005,410306000000.0,4336.425,94618.49334417176,Europe
Türkiye,TUR,2005,1239350000000.0,20095.75,61672.24413122178,Asia
United States,USA,2005,16057800000000.0,141729.8,113298.68524474037,America
Australia,AUS,2006,885255000000.0,10124.23,87439.24229299414,Oceania
Austria,AUT,2006,420383000000.0,3825.975,109876.04466835252,Europe
Belgium,BEL,2006,497996000000.0,4263.975,116791.49150733765,Europe
Canada,CAN,2006,1478630000000.0,16375.0,90298.01526717558,America
Switzerland,CHE,2006,480198000000.0,4051.4,118526.43530631388,Europe
Chile,CHL,2006,315902000000.0,6271.854,50368.20053528032,America
Czech Republic,CZE,2006,331257000000.0,4828.075,68610.57460789238,Europe
Germany,DEU,2006,3762800000000.0,37172.1,101226.45747751674,Europe
Denmark,DNK,2006,289928000000.0,2787.0,104028.7047003947,Europe
Spain,ESP,2006,1724240000000.0,19938.85,86476.40159788553,Europe
Estonia,EST,2006,38808222831.0,651.7,59549.21410311493,Europe
Finland,FIN,2006,244419000000.0,2443.475,100029.26160488647,Europe
France,FRA,2006,2695480000000.0,25150.15,107175.50392343584,Europe
United Kingdom,GBR,2006,2648860000000.0,29140.75,90898.8272436365,Europe
Greece,GRC,2006,402464000000.0,4527.525,88892.71732348247,Europe
Hungary,HUN,2006,255990000000.0,3928.375,65164.34912654723,Europe
Ireland,IRL,2006,251340000000.0,2043.65,122985.834169256,Europe
Iceland,ISL,2006,15175991395.0,167.825,90427.47740205572,Europe
Israel,ISR,2006,222525000000.0,2573.575,86465.32547137736,Asia
Italy,ITA,2006,2611720000000.0,22757.43,114763.39815172453,Europe
Japan,JPN,2006,4954470000000.0,63887.5,77549.91195460771,Asia
South Korea,KOR,2006,1452690000000.0,23188.07,62648.1634737173,Asia
Lithuania,LTU,2006,75135958039.0,1428.95,52581.23659960111,Europe
Luxembourg,LUX,2006,53571530314.0,195.3,274303.7906502816,Europe
Latvia,LVA,2006,50968000468.0,1030.925,49439.09641147513,Europe
Mexico,MEX,2006,1970450000000.0,43378.46,45424.61857797626,America
Netherlands,NLD,2006,835243000000.0,7956.45,104976.84268737942,Europe
Norway,NOR,2006,292909000000.0,2352.975,124484.53553480167,Europe
New Zealand,NZL,2006,158296000000.0,2131.425,74267.68476488734,Oceania
Poland,POL,2006,763307000000.0,14593.4,52304.94607151178,Europe
Portugal,PRT,2006,331712000000.0,5078.1,65322.06927787952,Europe
Slovakia,SVK,2006,116735000000.0,2302.275,50704.19476387486,Europe
Slovenia,SVN,2006,65850834860.0,961.2,68508.98341656262,Europe
Sweden,SWE,2006,429438000000.0,4429.45,96950.63721229498,Europe
Türkiye,TUR,2006,1325460000000.0,20432.1,64871.45227362826,Asia
United States,USA,2006,16504600000000.0,144427.0,114276.41645952628,America
Australia,AUS,2007,918700000000.0,10434.27,88046.40861315645,Oceania
Austria,AUT,2007,436053000000.0,3923.575,111136.6547090345,Europe
Belgium,BEL,2007,516307000000.0,4379.675,117887.05782963349,Europe
Canada,CAN,2007,1509230000000.0,16719.09,90269.86516610652,America
Switzerland,CHE,2007,499004000000.0,4122.0,121058.70936438622,Europe
Chile,CHL,2007,332229000000.0,6448.859,51517.48549627151,America
Colombia,COL,2007,488177000000.0,16654.81,29311.472181309786,America
Czech Republic,CZE,2007,349710000000.0,4921.95,71051.10779264316,Europe
Germany,DEU,2007,3874800000000.0,37988.35,101999.69201084015,Europe
Denmark,DNK,2007,292564000000.0,2803.7,104349.25277312125,Europe
Spain,ESP,2007,1786400000000.0,20579.82,86803.4803025488,Europe
Estonia,EST,2007,41749552573.0,657.6,63487.76242852798,Europe
Finland,FIN,2007,257372000000.0,2491.625,103294.83770631616,Europe
France,FRA,2007,2760840000000.0,25586.68,107901.45497579208,Europe
United Kingdom,GBR,2007,2716760000000.0,29378.75,92473.64166276646,Europe
Greece,GRC,2007,415640000000.0,4563.975,91069.73635920444,Europe
Hungary,HUN,2007,256700000000.0,3901.975,65787.1975089538,Europe
Ireland,IRL,2007,264686000000.0,2221.275,119159.49173335134,Europe
Iceland,ISL,2007,16459100236.0,175.525,93770.68928072925,Europe
Israel,ISR,2007,235950000000.0,2681.975,87976.21156051045,Asia
Italy,ITA,2007,2650560000000.0,22893.95,115775.56516022792,Europe
Japan,JPN,2007,5027990000000.0,64275.0,78226.21548035783,Asia
South Korea,KOR,2007,1536940000000.0,23561.11,65232.07098477109,Asia
Lithuania,LTU,2007,83481669657.0,1451.575,57511.09633122643,Europe
Luxembourg,LUX,2007,57910110486.0,202.9,285412.0773090192,Europe
Latvia,LVA,2007,56035199130.0,1057.45,52990.87345028134,Europe
Mexico,MEX,2007,2015600000000.0,44231.25,45569.59163487353,America
Netherlands,NLD,2007,866755000000.0,8186.55,105875.49089665366,Europe
Norway,NOR,2007,301680000000.0,2434.15,123936.4870694082,Europe
New Zealand,NZL,2007,163089000000.0,2167.75,75234.22903932648,Oceania
Poland,POL,2007,817208000000.0,15240.38,53621.23516605229,Europe
Portugal,PRT,2007,340027000000.0,5091.25,66786.5455438252,Europe
Slovakia,SVK,2007,129379000000.0,2357.675,54875.67200738016,Europe
Slovenia,SVN,2007,70447328991.0,985.15,71509.24122316399,Europe
Sweden,SWE,2007,444207000000.0,4540.675,97828.40656950785,Europe
Türkiye,TUR,2007,1392310000000.0,20749.13,67102.09054548311,Asia
United States,USA,2007,16836500000000.0,146046.7,115281.61882466362,America
Australia,AUS,2008,951481000000.0,10731.17,88665.16884924943,Oceania
Austria,AUT,2008,442421000000.0,3994.0,110771.407110666,Europe
Belgium,BEL,2008,518615000000.0,4445.875,116650.82801473276,Europe
Canada,CAN,2008,1524430000000.0,16959.1,89888.61437222494,America
Switzerland,CHE,2008,513016000000.0,4228.8,121314.79379493,Europe
Chile,CHL,2008,344818000000.0,6641.426,51919.27155403072,America
Colombia,COL,2008,504206000000.0,16977.7,29698.133433857354,America
Czech Republic,CZE,2008,359104000000.0,5002.5,71784.90754622688,Europe
Germany,DEU,2008,3911990000000.0,38540.85,101502.4318353124,Europe
Denmark,DNK,2008,291066000000.0,2806.225,103721.54763071386,Europe
Spain,ESP,2008,1802240000000.0,20469.65,88044.49514280898,Europe
Estonia,EST,2008,39606965135.0,656.0,60376.47124237805,Europe
Finland,FIN,2008,259389000000.0,2530.875,102489.85034819972,Europe
France,FRA,2008,2767880000000.0,25926.43,106759.0100141053,Europe
United Kingdom,GBR,2008,2712570000000.0,29627.75,91555.04552320036,Europe
Greece,GRC,2008,414247000000.0,4610.375,89851.04248569802,Europe
Hungary,HUN,2008,259277000000.0,3848.325,67373.98738412166,Europe
Ireland,IRL,2008,252817000000.0,2198.875,114975.61252913422,Europe
Iceland,ISL,2008,16822763466.0,177.05,95017.02042360917,Europe
Israel,ISR,2008,243621000000.0,2776.7,87737.60218964958,Asia
Italy,ITA,2008,2625060000000.0,23090.18,113687.29044121786,Europe
Japan,JPN,2008,4966440000000.0,64091.67,77489.63320818446,Asia
South Korea,KOR,2008,1583250000000.0,23774.82,66593.5641153119,Asia
Lithuania,LTU,2008,85664233657.0,1427.1,60026.79115478943,Europe
Luxembourg,LUX,2008,57736278120.0,202.375,285293.52993205684,Europe
Latvia,LVA,2008,54214547863.0,1054.925,51391.85047562623,Europe
Mexico,MEX,2008,2038650000000.0,44943.53,45360.255413849336,America
Netherlands,NLD,2008,885566000000.0,8377.875,105702.9377974725,Europe
Norway,NOR,2008,303117000000.0,2513.7,120585.9887814775,Europe
New Zealand,NZL,2008,161277000000.0,2174.675,74161.42642003977,Oceania
Poland,POL,2008,851530000000.0,15799.42,53896.28226858961,Europe
Portugal,PRT,2008,341113000000.0,5115.95,66676.37486683803,Europe
Slovakia,SVK,2008,136592000000.0,2433.75,56124.088341037495,Europe
Slovenia,SVN,2008,72919918592.0,996.1,73205.41972894287,Europe
Sweden,SWE,2008,442206000000.0,4592.975,96278.77356179818,Europe
Türkiye,TUR,2008,1403660000000.0,21192.1,66235.05929096219,Asia
United States,USA,2008,16857000000000.0,145362.5,115965.25926562904,America
Australia,AUS,2009,969279000000.0,10805.58,89701.70967222491,Oceania
Austria,AUT,2009,425766000000.0,3982.1,106919.9668516612,Europe
Belgium,BEL,2009,508135000000.0,4420.7,114944.46580858236,Europe
Canada,CAN,2009,1479790000000.0,16685.32,88688.14023345071,America
Switzerland,CHE,2009,501230000000.0,4268.0,117439.08153701968,Europe
Chile,CHL,2009,340963000000.0,6592.587,51719.150615683946,America
Colombia,COL,2009,509952000000.0,17889.09,28506.313065672988,America
Czech Republic,CZE,2009,342380000000.0,4934.275,69388.10666207295,Europe
Germany,DEU,2009,3689250000000.0,38470.7,95897.65717806018,Europe
Denmark,DNK,2009,276785000000.0,2718.925,101799.42440486587,Europe
Spain,ESP,2009,1734420000000.0,19106.85,90774.77449187072,Europe
Estonia,EST,2009,33812840409.0,593.875,56935.9552245843,Europe
Finland,FIN,2009,238445000000.0,2457.275,97036.3512427384,Europe
France,FRA,2009,2688350000000.0,25674.38,104709.44186383468,Europe
United Kingdom,GBR,2009,2590220000000.0,29154.25,88845.36559849765,Europe
Greece,GRC,2009,396431000000.0,4555.95,87013.90489360067,Europe
Hungary,HUN,2009,242170000000.0,3747.725,64617.8681733585,Europe
Ireland,IRL,2009,239934000000.0,2015.15,119065.08200382104,Europe
Iceland,ISL,2009,15533498911.0,166.225,93448.63234170552,Europe
Israel,ISR,2009,245773000000.0,2841.0,86509.32770151355,Asia
Italy,ITA,2009,2486430000000.0,22698.32,109542.46834126933,Europe
Japan,JPN,2009,4683690000000.0,63145.0,74173.5687702906,Asia
South Korea,KOR,2009,1595800000000.0,23687.61,67368.55258930723,Asia
Lithuania,LTU,2009,72952853508.0,1317.4,55376.38796720814,Europe
Luxembourg,LUX,2009,55866226615.0,217.2,257210.9880985267,Europe
Latvia,LVA,2009,46483477417.0,908.5,51165.082462300496,Europe
Mexico,MEX,2009,1930890000000.0,45435.35,42497.52670552774,America
Netherlands,NLD,2009,853094000000.0,8383.4,101759.906481857,Europe
Norway,NOR,2009,297882000000.0,2499.475,119177.8273437422,Europe
New Zealand,NZL,2009,161059000000.0,2144.925,75088.40635453454,Oceania
Poland,POL,2009,875647000000.0,15868.0,55183.19889084951,Europe
Portugal,PRT,2009,330463000000.0,4968.425,66512.62724102709,Europe
Slovakia,SVK,2009,129140000000.0,2366.325,54574.07583489166,Europe
Slovenia,SVN,2009,67415603899.0,980.525,68754.59972871676,Europe
Sweden,SWE,2009,423015000000.0,4499.325,94017.43594872564,Europe
Türkiye,TUR,2009,1335960000000.0,21270.35,62808.55745204005,Asia
United States,USA,2009,16418800000000.0,139877.5,117379.85022609068,America
Australia,AUS,2010,990666000000.0,11022.24,89878.82680834386,Oceania
Austria,AUT,2010,433588000000.0,4016.625,107948.33971306756,Europe
Belgium,BEL,2010,522689000000.0,4488.725,116444.87020256308,Europe
Canada,CAN,2010,1525510000000.0,16907.31,90227.836361905,America
Switzerland,CHE,2010,517487000000.0,4207.475,122992.2934776796,Europe
Chile,CHL,2010,360915000000.0,7334.893,49205.21676321659,America
Colombia,COL,2010,532873000000.0,18610.93,28632.26071991029,America
Czech Republic,CZE,2010,350716000000.0,4885.1,71793.00321385438,Europe
Germany,DEU,2010,3843450000000.0,37992.23,101164.10645018732,Europe
Denmark,DNK,2010,281963000000.0,2661.4,105945.36710002254,Europe
Spain,ESP,2010,1737250000000.0,18724.43,92779.8603215158,Europe
Estonia,EST,2010,34639315873.0,567.975,60987.39534838681,Europe
Finland,FIN,2010,246042000000.0,2447.475,100528.91245058682,Europe
France,FRA,2010,2740760000000.0,25730.68,106517.20047818402,Europe
United Kingdom,GBR,2010,2653160000000.0,29227.0,90777.70554624149,Europe
Greece,GRC,2010,374714000000.0,4389.675,85362.58379037172,Europe
Hungary,HUN,2010,244776000000.0,3732.4,65581.3953488372,Europe
Ireland,IRL,2010,243972000000.0,1925.425,126710.72620330576,Europe
Iceland,ISL,2010,15093469851.0,165.75,91061.65822624434,Europe
Israel,ISR,2010,259704000000.0,2938.25,88387.305368842,Asia
Italy,ITA,2010,2529030000000.0,22526.13,112270.94933750272,Europe
Japan,JPN,2010,4875620000000.0,62981.67,77413.31723976198,Asia
South Korea,KOR,2010,1704390000000.0,24032.81,70919.2974104984,Asia
Lithuania,LTU,2010,74157480683.0,1247.65,59437.727474051215,Europe
Luxembourg,LUX,2010,57967027794.0,220.8,262531.82877717394,Europe
Latvia,LVA,2010,44412374816.0,850.675,52208.39311840597,Europe
Mexico,MEX,2010,2029720000000.0,46121.62,44007.99451537045,America
Netherlands,NLD,2010,864549000000.0,8289.675,104292.26718779688,Europe
Norway,NOR,2010,299973000000.0,2500.775,119952.01487538865,Europe
New Zealand,NZL,2010,163513000000.0,2153.725,75921.02055740636,Oceania
Poland,POL,2010,901344000000.0,15472.83,58253.33827102088,Europe
Portugal,PRT,2010,336205000000.0,4897.875,68643.033968813,Europe
Slovakia,SVK,2010,137814000000.0,2317.5,59466.66666666666,Europe
Slovenia,SVN,2010,68321500047.0,966.05,70722.52993840899,Europe
Sweden,SWE,2010,448194000000.0,4523.7,99076.8618608661,Europe
Türkiye,TUR,2010,1448540000000.0,22592.3,64116.5352797192,Asia
United States,USA,2010,16863500000000.0,139063.9,121264.3971584286,America
Australia,AUS,2011,1014360000000.0,11213.82,90456.24060311296,Oceania
Austria,AUT,2011,446260000000.0,4052.425,110121.71724337895,Europe
Belgium,BEL,2011,531546000000.0,4509.275,117878.37290917056,Europe
Canada,CAN,2011,1573520000000.0,17171.71,91634.43827085364,America
Switzerland,CHE,2011,526870000000.0,4297.775,122591.34086823996,Europe
Chile,CHL,2011,383378000000.0,7699.443,49792.95255513938,America
Colombia,COL,2011,569896000000.0,19350.45,29451.30475001873,America
Costa Rica,CRI,2011,80431306917.0,1830.463,43940.41666889743,America
Czech Republic,CZE,2011,356890000000.0,4872.7,73242.7606870934,Europe
Germany,DEU,2011,3994320000000.0,38785.88,102983.86938751936,Europe
Denmark,DNK,2011,285732000000.0,2659.525,107437.23033248418,Europe
Spain,ESP,2011,1723100000000.0,18421.13,93539.32142056432,Europe
Estonia,EST,2011,37155198683.0,603.225,61594.26198018981,Europe
Finland,FIN,2011,252310000000.0,2473.675,101998.03935440184,Europe
France,FRA,2011,2800850000000.0,25758.82,108733.62987900844,Europe
United Kingdom,GBR,2011,2681490000000.0,29374.5,91286.31976714496,Europe
Greece,GRC,2011,336683000000.0,4054.325,83042.92329795958,Europe
Hungary,HUN,2011,249346000000.0,3759.05,66332.1849935489,Europe
Ireland,IRL,2011,246007000000.0,1888.3,130279.6165863475,Europe
Iceland,ISL,2011,15372061971.0,165.975,92616.73126073203,Europe
Israel,ISR,2011,274147000000.0,3024.675,90636.84528089796,Asia
Italy,ITA,2011,2546920000000.0,22597.65,112707.2947850772,Europe
Japan,JPN,2011,4876780000000.0,62934.17,77490.17743461144,Asia
South Korea,KOR,2011,1767210000000.0,24526.44,72053.26170451153,Asia
Lithuania,LTU,2011,78635856993.0,1253.625,62726.7779383787,Europe
Luxembourg,LUX,2011,58572376708.0,224.775,260582.2565142921,Europe
Latvia,LVA,2011,45555421597.0,861.575,52874.58619040711,Europe
Mexico,MEX,2011,2104060000000.0,47138.89,44635.33188838346,America
Netherlands,NLD,2011,877959000000.0,8291.375,105888.2272240732,Europe
Norway,NOR,2011,302917000000.0,2535.525,119469.1434712732,Europe
New Zealand,NZL,2011,167195000000.0,2184.75,76528.20688866003,Oceania
Poland,POL,2011,946792000000.0,15562.0,60839.994859272585,Europe
Portugal,PRT,2011,330502000000.0,4738.175,69753.01672057279,Europe
Slovakia,SVK,2011,141496000000.0,2315.325,61112.802738276485,Europe
Slovenia,SVN,2011,68909972074.0,936.1,73613.90030338638,Europe
Sweden,SWE,2011,462515000000.0,4625.875,99984.32728943172,Europe
Türkiye,TUR,2011,1610780000000.0,24098.63,66841.14408163451,Asia
United States,USA,2011,17124900000000.0,139869.3,122435.01611861931,America
Australia,AUS,2012,1053940000000.0,11350.8,92851.60517320366,Oceania
Austria,AUT,2012,449297000000.0,4084.4,110003.1828420331,Europe
Belgium,BEL,2012,535475000000.0,4523.9,118365.79057892528,Europe
Canada,CAN,2012,1601250000000.0,17362.9,92222.49739386851,America
Switzerland,CHE,2012,533083000000.0,4351.1,122516.834823378,Europe
Chile,CHL,2012,406976000000.0,7872.66,51694.8528197585,America
Colombia,COL,2012,592194000000.0,20016.83,29584.80438710825,America
Costa Rica,CRI,2012,84358439804.0,1988.856,42415.55939897107,America
Czech Republic,CZE,2012,354088000000.0,4889.975,72411.00414623796,Europe
Germany,DEU,2012,4011030000000.0,39125.95,102515.84945541258,Europe
Denmark,DNK,2012,286380000000.0,2644.825,108279.37576210148,Europe
Spain,ESP,2012,1672110000000.0,17632.13,94833.12566320688,Europe
Estonia,EST,2012,38354642990.0,614.925,62372.87960320364,Europe
Finland,FIN,2012,248784000000.0,2483.225,100185.84703359542,Europe
France,FRA,2012,2809620000000.0,25804.22,108882.19058743105,Europe
United Kingdom,GBR,2012,2720330000000.0,29694.25,91611.33889557744,Europe
Greece,GRC,2012,312823000000.0,3694.975,84661.73654760858,Europe
Hungary,HUN,2012,246229000000.0,3827.2,64336.59071906355,Europe
Ireland,IRL,2012,245993000000.0,1880.425,130817.7672600609,Europe
Iceland,ISL,2012,15535564850.0,167.9,92528.67689100656,Europe
Israel,ISR,2012,281241000000.0,3358.975,83728.22066255331,Asia
Italy,ITA,2012,2471000000000.0,22565.32,109504.3190169694,Europe
Japan,JPN,2012,4943820000000.0,62796.67,78727.42296685478,Asia
South Korea,KOR,2012,1809660000000.0,24954.79,72517.5407206392,Asia
Lithuania,LTU,2012,81658512980.0,1275.725,64009.49497736581,Europe
Luxembourg,LUX,2012,59538763541.0,236.075,252202.7471820396,Europe
Latvia,LVA,2012,48763546981.0,875.625,55689.98941441828,Europe
Mexico,MEX,2012,2180700000000.0,48706.73,44772.04690193737,America
Netherlands,NLD,2012,868913000000.0,8345.05,104123.16283305672,Europe
Norway,NOR,2012,311105000000.0,2585.425,120330.31319802352,Europe
New Zealand,NZL,2012,170949000000.0,2179.925,78419.67040150464,Oceania
Poland,POL,2012,961422000000.0,15590.58,61666.85267642384,Europe
Portugal,PRT,2012,317093000000.0,4545.5,69759.76240237597,Europe
Slovakia,SVK,2012,143362000000.0,2328.975,61555.834648289485,Europe
Slovenia,SVN,2012,67091135564.0,923.65,72636.96807665241,Europe
Sweden,SWE,2012,459794000000.0,4657.125,98729.1515688327,Europe
Türkiye,TUR,2012,1687910000000.0,24819.07,68008.59178043336,Asia
United States,USA,2012,17515500000000.0,142469.1,122942.448573059,America
Australia,AUS,2013,1081120000000.0,11456.71,94365.65994949684,Oceania
Austria,AUT,2013,449412000000.0,4104.55,109491.17442837826,Europe
Belgium,BEL,2013,537935000000.0,4530.3,118741.5844425314,Europe
Canada,CAN,2013,1638540000000.0,17585.13,93177.58810995426,America
Switzerland,CHE,2013,542636000000.0,4392.4,123539.75047809852,Europe
Chile,CHL,2013,420441000000.0,8038.791,52301.52146013001,America
Colombia,COL,2013,622597000000.0,20370.59,30563.523196922622,America
Costa Rica,CRI,2013,86462985573.0,2026.027,42676.127007685485,America
Czech Republic,CZE,2013,353926000000.0,4937.075,71687.38574965946,Europe
Germany,DEU,2013,4028580000000.0,39529.73,101912.66168526828,Europe
Denmark,DNK,2013,289053000000.0,2636.3,109643.4396692334,Europe
Spain,ESP,2013,1648650000000.0,17138.82,96193.90366431297,Europe
Estonia,EST,2013,38914018087.0,621.35,62628.17749577533,Europe
