time,value
"{'interval_start': '2020-11-16T00:00:00Z', 'max': '2020-11-22T14:43:08.458000Z', 'min': '2020-11-16T13:13:20.136000Z'}","{'average': 0.03178768916574862, 'count': 1198, 'max': 0.03736010938882828, 'min': 0.02597174048423767, 'standard deviation': 0.001972651250147515}"
"{'interval_start': '2020-11-23T00:00:00Z', 'max': '2020-11-29T14:11:32.240000Z', 'min': '2020-11-23T12:42:21.400000Z'}","{'average': 0.033327755646669295, 'count': 1378, 'max': 0.03938867896795273, 'min': 0.027363143861293793, 'standard deviation': 0.0017445374077775778}"
"{'interval_start': '2020-11-30T00:00:00Z', 'max': '2020-12-06T15:19:55.193000Z', 'min': '2020-11-30T12:13:04.977000Z'}","{'average': 0.03330568678577861, 'count': 826, 'max': 0.04329311102628708, 'min': 0.026043981313705444, 'standard deviation': 0.0023035454206389605}"
"{'interval_start': '2020-12-07T00:00:00Z', 'max': '2020-12-13T14:48:47.862000Z', 'min': '2020-12-07T13:19:31.414000Z'}","{'average': 0.03393990229451522, 'count': 973, 'max': 0.04389035701751709, 'min': 0.027158938348293304, 'standard deviation': 0.0036253798798016987}"
"{'interval_start': '2020-12-14T00:00:00Z', 'max': '2020-12-20T14:17:30.767000Z', 'min': '2020-12-14T12:48:34.759000Z'}","{'average': 0.03359023323424015, 'count': 922, 'max': 0.03920803219079971, 'min': 0.02699870616197586, 'standard deviation': 0.001549689575777842}"
"{'interval_start': '2020-12-21T00:00:00Z', 'max': '2020-12-25T12:43:38.678000Z', 'min': '2020-12-21T12:18:35.300000Z'}","{'average': 0.035027275881858, 'count': 473, 'max': 0.04191895201802254, 'min': 0.02860967069864273, 'standard deviation': 0.001775306100169401}"
"{'interval_start': '2020-12-28T00:00:00Z', 'max': '2021-01-03T14:55:16.076000Z', 'min': '2020-12-28T13:25:56.136000Z'}","{'average': 0.035767640682187546, 'count': 670, 'max': 0.043904609978199005, 'min': 0.028204258531332016, 'standard deviation': 0.0025301194255548873}"
"{'interval_start': '2021-01-04T00:00:00Z', 'max': '2021-01-10T12:44:00.039000Z', 'min': '2021-01-04T12:54:47.243000Z'}","{'average': 0.03618578892923141, 'count': 774, 'max': 0.041551630944013596, 'min': 0.028796100988984108, 'standard deviation': 0.0017765085710560959}"
"{'interval_start': '2021-01-11T00:00:00Z', 'max': '2021-01-17T12:13:31.259000Z', 'min': '2021-01-11T12:25:23.624000Z'}","{'average': 0.03483513074387563, 'count': 347, 'max': 0.04122546687722206, 'min': 0.030032232403755188, 'standard deviation': 0.0018572361842496016}"
"{'interval_start': '2021-01-18T00:00:00Z', 'max': '2021-01-24T15:02:29.438000Z', 'min': '2021-01-18T13:32:19.271000Z'}","{'average': 0.03490465853467168, 'count': 502, 'max': 0.04167332127690315, 'min': 0.028818154707551003, 'standard deviation': 0.002279927802676772}"
"{'interval_start': '2021-01-25T00:00:00Z', 'max': '2021-01-31T12:50:46.121000Z', 'min': '2021-01-25T13:01:00.352000Z'}","{'average': 0.034392958501102786, 'count': 638, 'max': 0.040353331714868546, 'min': 0.027412574738264084, 'standard deviation': 0.0022796728624569543}"
"{'interval_start': '2021-02-01T00:00:00Z', 'max': '2021-02-07T12:19:51.530000Z', 'min': '2021-02-01T12:30:04.815000Z'}","{'average': 0.0347313317476972, 'count': 693, 'max': 0.03988639637827873, 'min': 0.02924850955605507, 'standard deviation': 0.0016243433474001472}"
"{'interval_start': '2021-02-08T00:00:00Z', 'max': '2021-02-14T13:27:05.407000Z', 'min': '2021-02-08T13:38:15.915000Z'}","{'average': 0.03697590433945778, 'count': 918, 'max': 0.04224563390016556, 'min': 0.029796775430440903, 'standard deviation': 0.0016150503581299541}"
"{'interval_start': '2021-02-15T00:00:00Z', 'max': '2021-02-21T12:56:57.798000Z', 'min': '2021-02-15T13:07:09.692000Z'}","{'average': 0.03411254774870977, 'count': 527, 'max': 0.04116203635931015, 'min': 0.027191340923309326, 'standard deviation': 0.00246056260273968}"
"{'interval_start': '2021-02-22T00:00:00Z', 'max': '2021-02-28T14:05:35.662000Z', 'min': '2021-02-22T14:15:59.224000Z'}","{'average': 0.034655258799275605, 'count': 987, 'max': 0.040515702217817307, 'min': 0.024205369874835014, 'standard deviation': 0.003137439971921393}"
"{'interval_start': '2021-03-01T00:00:00Z', 'max': '2021-03-07T15:15:00.710000Z', 'min': '2021-03-01T13:44:33.099000Z'}","{'average': 0.03646742771469989, 'count': 1134, 'max': 0.044591404497623444, 'min': 0.030934149399399757, 'standard deviation': 0.0024183521219415713}"
"{'interval_start': '2021-03-08T00:00:00Z', 'max': '2021-03-14T14:43:30.473000Z', 'min': '2021-03-08T13:13:16.839000Z'}","{'average': 0.036507886702254896, 'count': 930, 'max': 0.04781210795044899, 'min': 0.028062252327799797, 'standard deviation': 0.0031693228545046238}"
"{'interval_start': '2021-03-15T00:00:00Z', 'max': '2021-03-21T12:32:06.443000Z', 'min': '2021-03-15T12:42:18.635000Z'}","{'average': 0.03654508106676216, 'count': 701, 'max': 0.042399387806653976, 'min': 0.02594280242919922, 'standard deviation': 0.0024570513792939682}"
"{'interval_start': '2021-03-22T00:00:00Z', 'max': '2021-03-28T16:20:39.211000Z', 'min': '2021-03-22T13:50:42.770000Z'}","{'average': 0.03609221422373338, 'count': 982, 'max': 0.04242294654250145, 'min': 0.027042726054787636, 'standard deviation': 0.0023523558997543795}"
"{'interval_start': '2021-03-29T00:00:00Z', 'max': '2021-04-04T15:49:48.327000Z', 'min': '2021-03-29T16:00:07.831000Z'}","{'average': 0.036831025448553066, 'count': 935, 'max': 0.04251371696591377, 'min': 0.029498130083084106, 'standard deviation': 0.002228104853532569}"
"{'interval_start': '2021-04-05T00:00:00Z', 'max': '2021-04-11T13:38:12.208000Z', 'min': '2021-04-05T13:48:25.321000Z'}","{'average': 0.03643004393285881, 'count': 1083, 'max': 0.04617253690958023, 'min': 0.02945759706199169, 'standard deviation': 0.0021068555666499122}"
"{'interval_start': '2021-04-12T00:00:00Z', 'max': '2021-04-18T16:27:20.294000Z', 'min': '2021-04-12T13:17:47.390000Z'}","{'average': 0.037701827355440164, 'count': 1006, 'max': 0.04514332488179207, 'min': 0.03116975910961628, 'standard deviation': 0.001808010886305629}"
"{'interval_start': '2021-04-19T00:00:00Z', 'max': '2021-04-25T15:56:02.079000Z', 'min': '2021-04-19T16:06:26.582000Z'}","{'average': 0.037302931991237555, 'count': 1157, 'max': 0.0443686880171299, 'min': 0.03220532834529877, 'standard deviation': 0.0014840620656016619}"
"{'interval_start': '2021-04-26T00:00:00Z', 'max': '2021-05-02T15:24:14.691000Z', 'min': '2021-04-26T15:34:38.004000Z'}","{'average': 0.03514997178294095, 'count': 1015, 'max': 0.0428725890815258, 'min': 0.02857794426381588, 'standard deviation': 0.002250679318248995}"
"{'interval_start': '2021-05-03T00:00:00Z', 'max': '2021-05-09T16:32:55.554000Z', 'min': '2021-05-03T13:25:39.422000Z'}","{'average': 0.03376493430592434, 'count': 806, 'max': 0.04063941910862923, 'min': 0.02682623453438282, 'standard deviation': 0.0021450257598239313}"
"{'interval_start': '2021-05-10T00:00:00Z', 'max': '2021-05-16T16:02:16.392000Z', 'min': '2021-05-10T16:12:38.186000Z'}","{'average': 0.031136222442855004, 'count': 805, 'max': 0.036841847002506256, 'min': 0.024307122454047203, 'standard deviation': 0.0017541155494879257}"
"{'interval_start': '2021-05-17T00:00:00Z', 'max': '2021-05-23T13:50:17.268000Z', 'min': '2021-05-17T14:00:31.882000Z'}","{'average': 0.03080741453674961, 'count': 1129, 'max': 0.038997795432806015, 'min': 0.023366428911685944, 'standard deviation': 0.0017950058941383269}"
"{'interval_start': '2021-05-24T00:00:00Z', 'max': '2021-05-30T13:19:22.014000Z', 'min': '2021-05-24T15:09:13.954000Z'}","{'average': 0.030671481401495494, 'count': 738, 'max': 0.03677820414304733, 'min': 0.02414618618786335, 'standard deviation': 0.0024171109044067267}"
"{'interval_start': '2021-05-31T00:00:00Z', 'max': '2021-06-06T16:08:32.090000Z', 'min': '2021-05-31T16:18:50.680000Z'}","{'average': 0.03128990571624434, 'count': 788, 'max': 0.03728923574090004, 'min': 0.024580687284469604, 'standard deviation': 0.001865816770185661}"
"{'interval_start': '2021-06-07T00:00:00Z', 'max': '2021-06-13T15:36:28.910000Z', 'min': '2021-06-07T14:06:33.768000Z'}","{'average': 0.030062906513205895, 'count': 943, 'max': 0.034756071865558624, 'min': 0.02348381280899048, 'standard deviation': 0.0016174110969810079}"
"{'interval_start': '2021-06-14T00:00:00Z', 'max': '2021-06-20T15:05:01.019000Z', 'min': '2021-06-14T13:35:38.862000Z'}","{'average': 0.027625365152899935, 'count': 811, 'max': 0.03388390690088272, 'min': 0.02254360169172287, 'standard deviation': 0.0015466129684394531}"
"{'interval_start': '2021-06-21T00:00:00Z', 'max': '2021-06-27T16:14:25.463000Z', 'min': '2021-06-21T13:06:21.647000Z'}","{'average': 0.026230197128173628, 'count': 857, 'max': 0.03183964639902115, 'min': 0.01705741323530674, 'standard deviation': 0.002222247627797799}"
"{'interval_start': '2021-06-28T00:00:00Z', 'max': '2021-07-04T15:42:52.215000Z', 'min': '2021-06-28T15:53:13.351000Z'}","{'average': 0.02613147042931107, 'count': 1276, 'max': 0.03574342280626297, 'min': 0.017439475283026695, 'standard deviation': 0.0023559853212035495}"
"{'interval_start': '2021-07-05T00:00:00Z', 'max': '2021-07-11T15:11:17.541000Z', 'min': '2021-07-07T13:06:25.701000Z'}","{'average': 0.028800326333850546, 'count': 383, 'max': 0.034455589950084686, 'min': 0.021605370566248894, 'standard deviation': 0.0021088439982392742}"
"{'interval_start': '2021-07-12T00:00:00Z', 'max': '2021-07-18T16:21:09.837000Z', 'min': '2021-07-12T13:12:45.128000Z'}","{'average': 0.029200663192970815, 'count': 889, 'max': 0.04032007232308388, 'min': 0.023109668865799904, 'standard deviation': 0.0025291178252356402}"
"{'interval_start': '2021-07-19T00:00:00Z', 'max': '2021-07-25T15:49:23.502000Z', 'min': '2021-07-19T15:59:40.688000Z'}","{'average': 0.03542258218988256, 'count': 1233, 'max': 0.05826415866613388, 'min': 0.024743402376770973, 'standard deviation': 0.005424678146375246}"
"{'interval_start': '2021-07-26T00:00:00Z', 'max': '2021-08-01T13:37:53.244000Z', 'min': '2021-07-26T13:48:02.258000Z'}","{'average': 0.03450095770425445, 'count': 929, 'max': 0.04603026062250137, 'min': 0.021576231345534325, 'standard deviation': 0.003619437197160732}"
"{'interval_start': '2021-08-02T00:00:00Z', 'max': '2021-08-08T16:27:30.156000Z', 'min': '2021-08-02T14:56:34.646000Z'}","{'average': 0.03532031827107674, 'count': 792, 'max': 0.044320426881313324, 'min': 0.02868042327463627, 'standard deviation': 0.002328354418761543}"
"{'interval_start': '2021-08-09T00:00:00Z', 'max': '2021-08-15T15:55:50.474000Z', 'min': '2021-08-09T16:06:09.662000Z'}","{'average': 0.03818587438192565, 'count': 688, 'max': 0.05157860741019249, 'min': 0.028326133266091347, 'standard deviation': 0.004877001000991143}"
"{'interval_start': '2021-08-16T00:00:00Z', 'max': '2021-08-22T13:44:09.639000Z', 'min': '2021-08-16T13:54:21.326000Z'}","{'average': 0.037817638348518076, 'count': 690, 'max': 0.05191415920853615, 'min': 0.02898295968770981, 'standard deviation': 0.0037615859216499473}"
"{'interval_start': '2021-08-23T00:00:00Z', 'max': '2021-08-29T13:13:14.224000Z', 'min': '2021-08-23T13:23:31.639000Z'}","{'average': 0.04024508916641046, 'count': 671, 'max': 0.04856761544942856, 'min': 0.030831975862383842, 'standard deviation': 0.002638651513581495}"
"{'interval_start': '2021-08-30T00:00:00Z', 'max': '2021-09-05T16:02:02.521000Z', 'min': '2021-08-30T16:12:34.839000Z'}","{'average': 0.03810509161121445, 'count': 512, 'max': 0.04927607625722885, 'min': 0.031531915068626404, 'standard deviation': 0.002770385849678043}"
"{'interval_start': '2021-09-06T00:00:00Z', 'max': '2021-09-12T15:30:33.981000Z', 'min': '2021-09-06T14:00:49.476000Z'}","{'average': 0.03526823379768806, 'count': 1202, 'max': 0.04109283536672592, 'min': 0.025922046974301338, 'standard deviation': 0.0025509038281524734}"
"{'interval_start': '2021-09-13T00:00:00Z', 'max': '2021-09-19T13:19:33.091000Z', 'min': '2021-09-13T13:29:57.667000Z'}","{'average': 0.035578673928597856, 'count': 985, 'max': 0.0449860617518425, 'min': 0.02161693572998047, 'standard deviation': 0.0034322699843631057}"
"{'interval_start': '2021-09-20T00:00:00Z', 'max': '2021-09-26T16:08:29.887000Z', 'min': '2021-09-20T16:19:01.303000Z'}","{'average': 0.033780021618896164, 'count': 503, 'max': 0.04171326011419296, 'min': 0.026617366820573807, 'standard deviation': 0.0030441390473324114}"
"{'interval_start': '2021-09-27T00:00:00Z', 'max': '2021-10-03T13:56:44.712000Z', 'min': '2021-09-27T15:47:16.776000Z'}","{'average': 0.033653146224402485, 'count': 852, 'max': 0.039572954177856445, 'min': 0.022528642788529396, 'standard deviation': 0.0022796674374481593}"
"{'interval_start': '2021-10-04T00:00:00Z', 'max': '2021-10-10T13:25:57.127000Z', 'min': '2021-10-04T13:36:02.930000Z'}","{'average': 0.03115680166900638, 'count': 869, 'max': 0.03929951786994934, 'min': 0.024523019790649414, 'standard deviation': 0.002734781369373038}"
"{'interval_start': '2021-10-11T00:00:00Z', 'max': '2021-10-17T16:15:20.878000Z', 'min': '2021-10-11T14:44:30.262000Z'}","{'average': 0.03224529708063241, 'count': 1187, 'max': 0.04113968461751938, 'min': 0.024379204958677292, 'standard deviation': 0.0019887210497389466}"
"{'interval_start': '2021-10-18T00:00:00Z', 'max': '2021-10-23T14:21:38.273000Z', 'min': '2021-10-18T14:13:26.604000Z'}","{'average': 0.03063545605255058, 'count': 512, 'max': 0.03507543355226517, 'min': 0.022648200392723083, 'standard deviation': 0.002143004731213809}"
"{'interval_start': '2021-10-25T00:00:00Z', 'max': '2021-10-31T14:11:29.829000Z', 'min': '2021-10-25T13:42:24.712000Z'}","{'average': 0.030647660930436558, 'count': 820, 'max': 0.035781655460596085, 'min': 0.023895440623164177, 'standard deviation': 0.0016320740891014255}"
"{'interval_start': '2021-11-01T00:00:00Z', 'max': '2021-11-07T13:40:36.980000Z', 'min': '2021-11-01T13:50:51.195000Z'}","{'average': 0.03128929716088149, 'count': 961, 'max': 0.03666916862130165, 'min': 0.023009415715932846, 'standard deviation': 0.0019667625051647325}"
"{'interval_start': '2021-11-08T00:00:00Z', 'max': '2021-11-14T13:09:13.091000Z', 'min': '2021-11-08T13:19:40.471000Z'}","{'average': 0.030150607925567164, 'count': 967, 'max': 0.036086492240428925, 'min': 0.023404574021697044, 'standard deviation': 0.0015805184864337064}"
"{'interval_start': '2021-11-15T00:00:00Z', 'max': '2021-11-21T12:38:36.347000Z', 'min': '2021-11-15T12:48:45.863000Z'}","{'average': 0.03218531207783678, 'count': 962, 'max': 0.04879509657621384, 'min': 0.023433968424797058, 'standard deviation': 0.002070275703925694}"
"{'interval_start': '2021-11-22T00:00:00Z', 'max': '2021-11-28T13:47:02.035000Z', 'min': '2021-11-22T13:57:16.952000Z'}","{'average': 0.032298023172823126, 'count': 1009, 'max': 0.038985397666692734, 'min': 0.023456815630197525, 'standard deviation': 0.0023608135075188575}"
"{'interval_start': '2021-11-29T00:00:00Z', 'max': '2021-12-05T14:55:33.306000Z', 'min': '2021-11-29T15:06:56.080000Z'}","{'average': 0.03248468357418952, 'count': 458, 'max': 0.038422562181949615, 'min': 0.02565433457493782, 'standard deviation': 0.001863594852614896}"
"{'interval_start': '2021-12-06T00:00:00Z', 'max': '2021-12-12T14:24:02.737000Z', 'min': '2021-12-06T14:35:12.805000Z'}","{'average': 0.03028628790134371, 'count': 598, 'max': 0.0366022028028965, 'min': 0.02480423077940941, 'standard deviation': 0.0017815330548799566}"
"{'interval_start': '2021-12-13T00:00:00Z', 'max': '2021-12-19T13:52:55.856000Z', 'min': '2021-12-13T14:03:47.514000Z'}","{'average': 0.030661341857994316, 'count': 602, 'max': 0.034361857920885086, 'min': 0.026272814720869064, 'standard deviation': 0.0013633759829219992}"
"{'interval_start': '2021-12-20T00:00:00Z', 'max': '2021-12-26T15:01:44.208000Z', 'min': '2021-12-20T13:32:26.031000Z'}","{'average': 0.0316057824744628, 'count': 390, 'max': 0.040460254997015, 'min': 0.027505112811923027, 'standard deviation': 0.0018207697544095384}"
"{'interval_start': '2021-12-27T00:00:00Z', 'max': '2022-01-02T14:30:39.542000Z', 'min': '2021-12-27T14:41:43.495000Z'}","{'average': 0.030060805969010545, 'count': 424, 'max': 0.035869698971509933, 'min': 0.023285258561372757, 'standard deviation': 0.0020984092011457197}"
"{'interval_start': '2022-01-03T00:00:00Z', 'max': '2022-01-09T13:59:44.995000Z', 'min': '2022-01-03T14:10:43.140000Z'}","{'average': 0.03209862970467385, 'count': 686, 'max': 0.03864140436053276, 'min': 0.023704348132014275, 'standard deviation': 0.0021802563108408637}"
"{'interval_start': '2022-01-10T00:00:00Z', 'max': '2022-01-16T13:28:40.162000Z', 'min': '2022-01-10T13:38:57.711000Z'}","{'average': 0.032587468013247495, 'count': 744, 'max': 0.03840656206011772, 'min': 0.024094577878713608, 'standard deviation': 0.001842137897693687}"
"{'interval_start': '2022-01-17T00:00:00Z', 'max': '2022-01-22T13:16:11.603000Z', 'min': '2022-01-17T13:07:45.793000Z'}","{'average': 0.034708689200042095, 'count': 827, 'max': 0.0404391884803772, 'min': 0.02741696871817112, 'standard deviation': 0.0014611816542082125}"
"{'interval_start': '2022-01-24T00:00:00Z', 'max': '2022-01-30T14:05:50.397000Z', 'min': '2022-01-24T14:16:35.129000Z'}","{'average': 0.03377042019860051, 'count': 898, 'max': 0.0372808575630188, 'min': 0.02916136384010315, 'standard deviation': 0.0012906212553230865}"
"{'interval_start': '2022-01-31T00:00:00Z', 'max': '2022-02-06T13:34:56.372000Z', 'min': '2022-01-31T13:45:08.016000Z'}","{'average': 0.032848949178928985, 'count': 839, 'max': 0.03844548761844635, 'min': 0.022072749212384224, 'standard deviation': 0.0026755834056071274}"
"{'interval_start': '2022-02-07T00:00:00Z', 'max': '2022-02-13T14:43:25.731000Z', 'min': '2022-02-07T14:54:32.376000Z'}","{'average': 0.0350449452304761, 'count': 829, 'max': 0.04431629925966263, 'min': 0.027354717254638672, 'standard deviation': 0.0023335959621380727}"
"{'interval_start': '2022-02-14T00:00:00Z', 'max': '2022-02-19T14:31:31.889000Z', 'min': '2022-02-14T14:22:54.984000Z'}","{'average': 0.031371886665556604, 'count': 755, 'max': 0.04024337977170944, 'min': 0.021590324118733406, 'standard deviation': 0.003130627296815037}"
"{'interval_start': '2022-02-21T00:00:00Z', 'max': '2022-02-27T13:41:10.669000Z', 'min': '2022-02-21T13:51:26.023000Z'}","{'average': 0.03395740623100757, 'count': 981, 'max': 0.039923712611198425, 'min': 0.026135990396142006, 'standard deviation': 0.00214679897461157}"
"{'interval_start': '2022-02-28T00:00:00Z', 'max': '2022-03-06T14:50:20.307000Z', 'min': '2022-02-28T15:01:21.216000Z'}","{'average': 0.03371938488056252, 'count': 953, 'max': 0.04020870849490166, 'min': 0.023651860654354095, 'standard deviation': 0.002188304406713505}"
"{'interval_start': '2022-03-07T00:00:00Z', 'max': '2022-03-13T14:18:50.815000Z', 'min': '2022-03-07T12:49:14.601000Z'}","{'average': 0.03482852960634782, 'count': 1169, 'max': 0.041281990706920624, 'min': 0.02773468941450119, 'standard deviation': 0.002081045484746414}"
"{'interval_start': '2022-03-14T00:00:00Z', 'max': '2022-03-20T13:47:21.614000Z', 'min': '2022-03-14T13:57:41.650000Z'}","{'average': 0.03525862438893095, 'count': 1122, 'max': 0.041689008474349976, 'min': 0.026270942762494087, 'standard deviation': 0.0028386615736007937}"
"{'interval_start': '2022-03-21T00:00:00Z', 'max': '2022-03-27T14:16:07.897000Z', 'min': '2022-03-21T15:07:17.812000Z'}","{'average': 0.036500768111182795, 'count': 1103, 'max': 0.0437227226793766, 'min': 0.029807161539793015, 'standard deviation': 0.002092552539402777}"
"{'interval_start': '2022-03-28T00:00:00Z', 'max': '2022-04-03T13:44:57.737000Z', 'min': '2022-03-28T13:55:19.526000Z'}","{'average': 0.034515727180660816, 'count': 1026, 'max': 0.04039870575070381, 'min': 0.025176534429192543, 'standard deviation': 0.0021096261646792415}"
"{'interval_start': '2022-04-04T00:00:00Z', 'max': '2022-04-10T14:53:31.650000Z', 'min': '2022-04-04T15:03:55.189000Z'}","{'average': 0.032324122888336616, 'count': 1004, 'max': 0.03994022682309151, 'min': 0.023197485134005547, 'standard deviation': 0.0025123177483155935}"
"{'interval_start': '2022-04-11T00:00:00Z', 'max': '2022-04-17T16:02:59.890000Z', 'min': '2022-04-11T14:32:32.191000Z'}","{'average': 0.03279605068173774, 'count': 724, 'max': 0.03889816254377365, 'min': 0.024240592494606972, 'standard deviation': 0.002346812881082613}"
"{'interval_start': '2022-04-18T00:00:00Z', 'max': '2022-04-24T13:51:06.571000Z', 'min': '2022-04-18T14:01:35.197000Z'}","{'average': 0.033161965140212774, 'count': 1033, 'max': 0.040128860622644424, 'min': 0.026003504171967506, 'standard deviation': 0.002087915419168005}"
"{'interval_start': '2022-04-25T00:00:00Z', 'max': '2022-05-01T14:59:34.057000Z', 'min': '2022-04-25T13:30:24.257000Z'}","{'average': 0.03221517576324478, 'count': 852, 'max': 0.03985796868801117, 'min': 0.024403134360909462, 'standard deviation': 0.002271420806389776}"
"{'interval_start': '2022-05-02T00:00:00Z', 'max': '2022-05-08T16:09:11.305000Z', 'min': '2022-05-02T16:19:37.357000Z'}","{'average': 0.03198101008762538, 'count': 763, 'max': 0.040257539600133896, 'min': 0.02547229267656803, 'standard deviation': 0.001742475297789572}"
"{'interval_start': '2022-05-09T00:00:00Z', 'max': '2022-05-15T15:37:17.931000Z', 'min': '2022-05-09T14:07:38.680000Z'}","{'average': 0.03073790282129295, 'count': 693, 'max': 0.037051863968372345, 'min': 0.022668225690722466, 'standard deviation': 0.002439434409315009}"
"{'interval_start': '2022-05-16T00:00:00Z', 'max': '2022-05-22T13:26:01.558000Z', 'min': '2022-05-16T13:36:17.941000Z'}","{'average': 0.029464698745718106, 'count': 771, 'max': 0.035888541489839554, 'min': 0.021818336099386215, 'standard deviation': 0.0022622283699803934}"
"{'interval_start': '2022-05-23T00:00:00Z', 'max': '2022-05-29T16:15:16.159000Z', 'min': '2022-05-23T14:44:26.178000Z'}","{'average': 0.028370664531225834, 'count': 1124, 'max': 0.03535476699471474, 'min': 0.021379265934228897, 'standard deviation': 0.002250159574532581}"
"{'interval_start': '2022-05-30T00:00:00Z', 'max': '2022-06-05T15:43:13.582000Z', 'min': '2022-05-30T14:13:10.401000Z'}","{'average': 0.027427657751552915, 'count': 1209, 'max': 0.035581763833761215, 'min': 0.019449837505817413, 'standard deviation': 0.0018224598336403406}"
"{'interval_start': '2022-06-06T00:00:00Z', 'max': '2022-06-12T13:31:50.864000Z', 'min': '2022-06-06T13:42:03.015000Z'}","{'average': 0.02619582145991383, 'count': 952, 'max': 0.033443789929151535, 'min': 0.018545541912317276, 'standard deviation': 0.002337183418288166}"
"{'interval_start': '2022-06-13T00:00:00Z', 'max': '2022-06-19T16:21:29.487000Z', 'min': '2022-06-13T13:12:50.754000Z'}","{'average': 0.026725488822238054, 'count': 746, 'max': 0.034665510058403015, 'min': 0.018625885248184204, 'standard deviation': 0.002251439619986971}"
"{'interval_start': '2022-06-20T00:00:00Z', 'max': '2022-06-26T14:09:07.802000Z', 'min': '2022-06-20T14:19:15.437000Z'}","{'average': 0.02558611969383561, 'count': 1153, 'max': 0.03374839946627617, 'min': 0.018057022243738174, 'standard deviation': 0.002347993120991027}"
"{'interval_start': '2022-06-27T00:00:00Z', 'max': '2022-07-03T13:38:12.805000Z', 'min': '2022-06-27T13:48:21.727000Z'}","{'average': 0.023919602629502077, 'count': 1184, 'max': 0.030981697142124176, 'min': 0.01810978725552559, 'standard deviation': 0.002272966743409385}"
"{'interval_start': '2022-07-04T00:00:00Z', 'max': '2022-07-10T14:46:39.380000Z', 'min': '2022-07-04T13:17:50.007000Z'}","{'average': 0.02511785087080862, 'count': 668, 'max': 0.032339632511138916, 'min': 0.01851617358624935, 'standard deviation': 0.0020559278458688324}"
"{'interval_start': '2022-07-11T00:00:00Z', 'max': '2022-07-17T15:55:59.250000Z', 'min': '2022-07-11T14:25:42.746000Z'}","{'average': 0.027238189074608635, 'count': 803, 'max': 0.039208050817251205, 'min': 0.015885919332504272, 'standard deviation': 0.0026243337290328627}"
"{'interval_start': '2022-07-18T00:00:00Z', 'max': '2022-07-24T13:44:36.570000Z', 'min': '2022-07-18T13:54:43.996000Z'}","{'average': 0.02865117147871076, 'count': 949, 'max': 0.04254068434238434, 'min': 0.01987306959927082, 'standard deviation': 0.0028866443855009804}"
"{'interval_start': '2022-07-25T00:00:00Z', 'max': '2022-07-31T16:33:16.363000Z', 'min': '2022-07-25T15:03:20.521000Z'}","{'average': 0.02745551533968292, 'count': 1036, 'max': 0.035876307636499405, 'min': 0.019385240972042084, 'standard deviation': 0.002230724473657157}"
"{'interval_start': '2022-08-01T00:00:00Z', 'max': '2022-08-07T16:02:42.820000Z', 'min': '2022-08-01T14:32:02.675000Z'}","{'average': 0.02808033241624968, 'count': 772, 'max': 0.03302326053380966, 'min': 0.020451620221138, 'standard deviation': 0.0018486472171463189}"
"{'interval_start': '2022-08-08T00:00:00Z', 'max': '2022-08-13T15:49:59.007000Z', 'min': '2022-08-08T14:01:01.417000Z'}","{'average': 0.028496115643887824, 'count': 1274, 'max': 0.03601691126823425, 'min': 0.021874194964766502, 'standard deviation': 0.001856884789940013}"
"{'interval_start': '2022-08-15T00:00:00Z', 'max': '2022-08-21T13:20:00.326000Z', 'min': '2022-08-15T13:30:08.429000Z'}","{'average': 0.02652436838091812, 'count': 471, 'max': 0.031699322164058685, 'min': 0.020723670721054077, 'standard deviation': 0.0019349770468399682}"
"{'interval_start': '2022-08-22T00:00:00Z', 'max': '2022-08-28T14:28:08.146000Z', 'min': '2022-08-23T14:19:38.568000Z'}","{'average': 0.026358011064500926, 'count': 1297, 'max': 0.032170504331588745, 'min': 0.01959621161222458, 'standard deviation': 0.002236460247149318}"
"{'interval_start': '2022-08-29T00:00:00Z', 'max': '2022-09-04T13:56:48.469000Z', 'min': '2022-08-30T13:48:41.936000Z'}","{'average': 0.027810996551650913, 'count': 899, 'max': 0.03414703905582428, 'min': 0.023170191794633865, 'standard deviation': 0.001724435324256163}"
"{'interval_start': '2022-09-05T00:00:00Z', 'max': '2022-09-11T15:05:46.583000Z', 'min': '2022-09-05T13:36:50.558000Z'}","{'average': 0.0266585938167337, 'count': 913, 'max': 0.03313488885760307, 'min': 0.020132604986429214, 'standard deviation': 0.0018490197359944443}"
"{'interval_start': '2022-09-12T00:00:00Z', 'max': '2022-09-18T14:34:22.410000Z', 'min': '2022-09-12T14:44:41.480000Z'}","{'average': 0.028248784179900743, 'count': 1037, 'max': 0.036338482052087784, 'min': 0.017828814685344696, 'standard deviation': 0.0025750824725433398}"
"{'interval_start': '2022-09-19T00:00:00Z', 'max': '2022-09-25T15:43:38.101000Z', 'min': '2022-09-19T14:13:26.198000Z'}","{'average': 0.029106682936520998, 'count': 1311, 'max': 0.03590572625398636, 'min': 0.02098727412521839, 'standard deviation': 0.0020122243859661024}"
"{'interval_start': '2022-09-26T00:00:00Z', 'max': '2022-10-02T13:32:20.747000Z', 'min': '2022-09-26T13:42:29.874000Z'}","{'average': 0.026222274781500993, 'count': 1311, 'max': 0.031818002462387085, 'min': 0.016175048425793648, 'standard deviation': 0.002023550798735845}"
