Unnamed: 0,Energy Source,Region,Year,Energy Consumption
772,Gas Consumption - TWh (zero filled),Asia,1996,4316.743164
773,Gas Consumption - TWh (zero filled),Asia,1997,4538.37793
774,Gas Consumption - TWh (zero filled),Asia,1998,4738.89209
775,Gas Consumption - TWh (zero filled),Asia,1999,5115.055176
776,Gas Consumption - TWh (zero filled),Asia,2000,5395.23291
777,Gas Consumption - TWh (zero filled),Asia,2001,5743.811523
778,Gas Consumption - TWh (zero filled),Asia,2002,6074.999023
779,Gas Consumption - TWh (zero filled),Asia,2003,6503.450195
780,Gas Consumption - TWh (zero filled),Asia,2004,6988.337402
781,Gas Consumption - TWh (zero filled),Asia,2005,7521.408691
782,Gas Consumption - TWh (zero filled),Asia,2006,7977.540039
783,Gas Consumption - TWh (zero filled),Asia,2007,8605.575195
784,Gas Consumption - TWh (zero filled),Asia,2008,9200.066406
785,Gas Consumption - TWh (zero filled),Asia,2009,9460.393555
786,Gas Consumption - TWh (zero filled),Asia,2010,10398.67188
787,Gas Consumption - TWh (zero filled),Asia,2011,11160.10254
788,Gas Consumption - TWh (zero filled),Asia,2012,11738.72461
789,Gas Consumption - TWh (zero filled),Asia,2013,12044.90723
790,Gas Consumption - TWh (zero filled),Asia,2014,12535.03906
791,Gas Consumption - TWh (zero filled),Asia,2015,12983.82617
792,Gas Consumption - TWh (zero filled),Asia,2016,13336.9043
793,Gas Consumption - TWh (zero filled),Asia,2017,13976.30566
794,Gas Consumption - TWh (zero filled),Asia,2018,14723.51855
795,Gas Consumption - TWh (zero filled),Asia,2019,15092.28906
796,Gas Consumption - TWh (zero filled),Asia,2020,15312.17969
797,Gas Consumption - TWh (zero filled),Asia,2021,16249.49707
798,Gas Consumption - TWh (zero filled),Europe,1965,1595.903564
799,Gas Consumption - TWh (zero filled),Europe,1966,1786.634644
800,Gas Consumption - TWh (zero filled),Europe,1967,2008.786133
801,Gas Consumption - TWh (zero filled),Europe,1968,2280.008301
802,Gas Consumption - TWh (zero filled),Europe,1969,2583.965332
803,Gas Consumption - TWh (zero filled),Europe,1970,2980.235596
804,Gas Consumption - TWh (zero filled),Europe,1971,3407.776123
805,Gas Consumption - TWh (zero filled),Europe,1972,3805.590332
806,Gas Consumption - TWh (zero filled),Europe,1973,4218.347168
807,Gas Consumption - TWh (zero filled),Europe,1974,4606.603027
808,Gas Consumption - TWh (zero filled),Europe,1975,4989.56543
809,Gas Consumption - TWh (zero filled),Europe,1976,5461.017578
810,Gas Consumption - TWh (zero filled),Europe,1977,5792.314453
811,Gas Consumption - TWh (zero filled),Europe,1978,6109.833496
812,Gas Consumption - TWh (zero filled),Europe,1979,6470.533203
813,Gas Consumption - TWh (zero filled),Europe,1980,6579.616699
814,Gas Consumption - TWh (zero filled),Europe,1981,6774.275391
815,Gas Consumption - TWh (zero filled),Europe,1982,7038.405762
816,Gas Consumption - TWh (zero filled),Europe,1983,7458.569336
817,Gas Consumption - TWh (zero filled),Europe,1984,8014.574219
818,Gas Consumption - TWh (zero filled),Europe,1985,7673.371094
819,Gas Consumption - TWh (zero filled),Europe,1986,7815.639648
820,Gas Consumption - TWh (zero filled),Europe,1987,8216.1875
821,Gas Consumption - TWh (zero filled),Europe,1988,8473.379883
822,Gas Consumption - TWh (zero filled),Europe,1989,8641.229492
823,Gas Consumption - TWh (zero filled),Europe,1990,9065.899414
824,Gas Consumption - TWh (zero filled),Europe,1991,9232.273438
825,Gas Consumption - TWh (zero filled),Europe,1992,8846.302734
826,Gas Consumption - TWh (zero filled),Europe,1993,8842.119141
827,Gas Consumption - TWh (zero filled),Europe,1994,8438.881836
828,Gas Consumption - TWh (zero filled),Europe,1995,8537.651367
829,Gas Consumption - TWh (zero filled),Europe,1996,9068.158203
830,Gas Consumption - TWh (zero filled),Europe,1997,8655.780273
831,Gas Consumption - TWh (zero filled),Europe,1998,8868.485352
832,Gas Consumption - TWh (zero filled),Europe,1999,9048.177734
833,Gas Consumption - TWh (zero filled),Europe,2000,9259.316406
834,Gas Consumption - TWh (zero filled),Europe,2001,9413.886719
835,Gas Consumption - TWh (zero filled),Europe,2002,9468.499023
836,Gas Consumption - TWh (zero filled),Europe,2003,9779.31543
837,Gas Consumption - TWh (zero filled),Europe,2004,10045.51563
838,Gas Consumption - TWh (zero filled),Europe,2005,10212.31738
839,Gas Consumption - TWh (zero filled),Europe,2006,10348.0
840,Gas Consumption - TWh (zero filled),Europe,2007,10317.6123
841,Gas Consumption - TWh (zero filled),Europe,2008,10332.94238
842,Gas Consumption - TWh (zero filled),Europe,2009,9584.75
843,Gas Consumption - TWh (zero filled),Europe,2010,10317.74512
844,Gas Consumption - TWh (zero filled),Europe,2011,9934.398438
845,Gas Consumption - TWh (zero filled),Europe,2012,9704.394531
846,Gas Consumption - TWh (zero filled),Europe,2013,9545.573242
847,Gas Consumption - TWh (zero filled),Europe,2014,8946.786133
848,Gas Consumption - TWh (zero filled),Europe,2015,8898.147461
849,Gas Consumption - TWh (zero filled),Europe,2016,9313.681641
850,Gas Consumption - TWh (zero filled),Europe,2017,9565.499023
851,Gas Consumption - TWh (zero filled),Europe,2018,9739.818359
852,Gas Consumption - TWh (zero filled),Europe,2019,9746.000977
853,Gas Consumption - TWh (zero filled),Europe,2020,9369.796875
854,Gas Consumption - TWh (zero filled),Europe,2021,10073.81934
855,Gas Consumption - TWh (zero filled),North America,1965,4467.994141
856,Gas Consumption - TWh (zero filled),North America,1966,4818.547852
857,Gas Consumption - TWh (zero filled),North America,1967,5073.147461
858,Gas Consumption - TWh (zero filled),North America,1968,5441.502441
859,Gas Consumption - TWh (zero filled),North America,1969,5880.727051
860,Gas Consumption - TWh (zero filled),North America,1970,6213.835449
861,Gas Consumption - TWh (zero filled),North America,1971,6418.508301
862,Gas Consumption - TWh (zero filled),North America,1972,6532.893555
863,Gas Consumption - TWh (zero filled),North America,1973,6521.562988
864,Gas Consumption - TWh (zero filled),North America,1974,6325.489746
865,Gas Consumption - TWh (zero filled),North America,1975,5870.05957
866,Gas Consumption - TWh (zero filled),North America,1976,5978.472168
867,Gas Consumption - TWh (zero filled),North America,1977,5901.933594
868,Gas Consumption - TWh (zero filled),North America,1978,5964.01123
869,Gas Consumption - TWh (zero filled),North America,1979,6184.562988
870,Gas Consumption - TWh (zero filled),North America,1980,6086.529297
871,Gas Consumption - TWh (zero filled),North America,1981,5964.575195
872,Gas Consumption - TWh (zero filled),North America,1982,5650.994141
873,Gas Consumption - TWh (zero filled),North America,1983,5337.40918
874,Gas Consumption - TWh (zero filled),North America,1984,5702.672363
875,Gas Consumption - TWh (zero filled),North America,1985,5554.889648
876,Gas Consumption - TWh (zero filled),North America,1986,5210.82959
877,Gas Consumption - TWh (zero filled),North America,1987,5500.998535
878,Gas Consumption - TWh (zero filled),North America,1988,5781.152832
879,Gas Consumption - TWh (zero filled),North America,1989,6129.262207
880,Gas Consumption - TWh (zero filled),North America,1990,6131.630859
881,Gas Consumption - TWh (zero filled),North America,1991,6264.194824
882,Gas Consumption - TWh (zero filled),North America,1992,6480.356445
883,Gas Consumption - TWh (zero filled),North America,1993,6665.275879
884,Gas Consumption - TWh (zero filled),North America,1994,6848.821777
885,Gas Consumption - TWh (zero filled),North America,1995,7133.505859
886,Gas Consumption - TWh (zero filled),North America,1996,7271.088867
887,Gas Consumption - TWh (zero filled),North America,1997,7331.80127
888,Gas Consumption - TWh (zero filled),North America,1998,7236.260742
889,Gas Consumption - TWh (zero filled),North America,1999,7320.500977
890,Gas Consumption - TWh (zero filled),North America,2000,7643.197266
891,Gas Consumption - TWh (zero filled),North America,2001,7330.981934
892,Gas Consumption - TWh (zero filled),North America,2002,7616.769531
893,Gas Consumption - TWh (zero filled),North America,2003,7517.033203
894,Gas Consumption - TWh (zero filled),North America,2004,7569.074219
895,Gas Consumption - TWh (zero filled),North America,2005,7535.271484
896,Gas Consumption - TWh (zero filled),North America,2006,7533.932617
897,Gas Consumption - TWh (zero filled),North America,2007,7969.520508
898,Gas Consumption - TWh (zero filled),North America,2008,8030.984375
899,Gas Consumption - TWh (zero filled),North America,2009,7940.485352
900,Gas Consumption - TWh (zero filled),North America,2010,8290.134766
901,Gas Consumption - TWh (zero filled),North America,2011,8527.973633
902,Gas Consumption - TWh (zero filled),North America,2012,8846.603516
903,Gas Consumption - TWh (zero filled),North America,2013,9142.066406
904,Gas Consumption - TWh (zero filled),North America,2014,9351.393555
905,Gas Consumption - TWh (zero filled),North America,2015,9579.754883
906,Gas Consumption - TWh (zero filled),North America,2016,9578.896484
907,Gas Consumption - TWh (zero filled),North America,2017,9578.892578
908,Gas Consumption - TWh (zero filled),North America,2018,10464.13281
909,Gas Consumption - TWh (zero filled),North America,2019,10783.87793
910,Gas Consumption - TWh (zero filled),North America,2020,10486.87402
911,Gas Consumption - TWh (zero filled),North America,2021,10557.09473
912,Gas Consumption - TWh (zero filled),Oceania,1965,0.029475
913,Gas Consumption - TWh (zero filled),Oceania,1966,0.039299998
914,Gas Consumption - TWh (zero filled),Oceania,1967,0.039299998
915,Gas Consumption - TWh (zero filled),Oceania,1968,0.304574996
916,Gas Consumption - TWh (zero filled),Oceania,1969,4.12650013
917,Gas Consumption - TWh (zero filled),Oceania,1970,18.01437378
918,Gas Consumption - TWh (zero filled),Oceania,1971,26.7290802
919,Gas Consumption - TWh (zero filled),Oceania,1972,38.70946503
920,Gas Consumption - TWh (zero filled),Oceania,1973,48.96960068
921,Gas Consumption - TWh (zero filled),Oceania,1974,56.90546799
922,Gas Consumption - TWh (zero filled),Oceania,1975,61.14462662
923,Gas Consumption - TWh (zero filled),Oceania,1976,77.40734863
924,Gas Consumption - TWh (zero filled),Oceania,1977,93.10903931
925,Gas Consumption - TWh (zero filled),Oceania,1978,98.10406494
926,Gas Consumption - TWh (zero filled),Oceania,1979,105.902916
927,Gas Consumption - TWh (zero filled),Oceania,1980,119.3642502
928,Gas Consumption - TWh (zero filled),Oceania,1981,130.6219177
929,Gas Consumption - TWh (zero filled),Oceania,1982,136.4074097
930,Gas Consumption - TWh (zero filled),Oceania,1983,148.1665497
931,Gas Consumption - TWh (zero filled),Oceania,1984,152.3624268
932,Gas Consumption - TWh (zero filled),Oceania,1985,168.4417114
933,Gas Consumption - TWh (zero filled),Oceania,1986,187.9462433
934,Gas Consumption - TWh (zero filled),Oceania,1987,189.6500244
935,Gas Consumption - TWh (zero filled),Oceania,1988,197.1453705
936,Gas Consumption - TWh (zero filled),Oceania,1989,190.8909302
937,Gas Consumption - TWh (zero filled),Oceania,1990,212.2080688
938,Gas Consumption - TWh (zero filled),Oceania,1991,209.1667175
939,Gas Consumption - TWh (zero filled),Oceania,1992,217.5306549
940,Gas Consumption - TWh (zero filled),Oceania,1993,222.3939514
941,Gas Consumption - TWh (zero filled),Oceania,1994,238.337677
942,Gas Consumption - TWh (zero filled),Oceania,1995,238.0461884
943,Gas Consumption - TWh (zero filled),Oceania,1996,245.7014771
944,Gas Consumption - TWh (zero filled),Oceania,1997,246.110199
945,Gas Consumption - TWh (zero filled),Oceania,1998,245.264679
946,Gas Consumption - TWh (zero filled),Oceania,1999,256.9742432
947,Gas Consumption - TWh (zero filled),Oceania,2000,264.3034668
948,Gas Consumption - TWh (zero filled),Oceania,2001,283.6863403
949,Gas Consumption - TWh (zero filled),Oceania,2002,287.3301392
950,Gas Consumption - TWh (zero filled),Oceania,2003,274.566925
951,Gas Consumption - TWh (zero filled),Oceania,2004,275.2541809
952,Gas Consumption - TWh (zero filled),Oceania,2005,270.1660767
953,Gas Consumption - TWh (zero filled),Oceania,2006,297.5850525
954,Gas Consumption - TWh (zero filled),Oceania,2007,332.3504639
955,Gas Consumption - TWh (zero filled),Oceania,2008,324.3947754
956,Gas Consumption - TWh (zero filled),Oceania,2009,331.5032959
957,Gas Consumption - TWh (zero filled),Oceania,2010,360.8242493
958,Gas Consumption - TWh (zero filled),Oceania,2011,368.152832
959,Gas Consumption - TWh (zero filled),Oceania,2012,374.2571716
960,Gas Consumption - TWh (zero filled),Oceania,2013,393.8041077
961,Gas Consumption - TWh (zero filled),Oceania,2014,424.4990845
962,Gas Consumption - TWh (zero filled),Oceania,2015,435.9768677
963,Gas Consumption - TWh (zero filled),Oceania,2016,426.6825562
964,Gas Consumption - TWh (zero filled),Oceania,2017,421.0650635
965,Gas Consumption - TWh (zero filled),Oceania,2018,412.7112427
966,Gas Consumption - TWh (zero filled),Oceania,2019,487.2842407
967,Gas Consumption - TWh (zero filled),Oceania,2020,476.702179
968,Gas Consumption - TWh (zero filled),Oceania,2021,432.8874207
969,Gas Consumption - TWh (zero filled),South America,1965,136.2531433
970,Gas Consumption - TWh (zero filled),South America,1966,144.3767853
971,Gas Consumption - TWh (zero filled),South America,1967,155.3093719
972,Gas Consumption - TWh (zero filled),South America,1968,163.1776276
973,Gas Consumption - TWh (zero filled),South America,1969,168.6268616
974,Gas Consumption - TWh (zero filled),South America,1970,168.8463593
975,Gas Consumption - TWh (zero filled),South America,1971,172.7634888
976,Gas Consumption - TWh (zero filled),South America,1972,183.0457458
977,Gas Consumption - TWh (zero filled),South America,1973,211.0489044
978,Gas Consumption - TWh (zero filled),South America,1974,225.8392181
979,Gas Consumption - TWh (zero filled),South America,1975,226.175293
980,Gas Consumption - TWh (zero filled),South America,1976,265.0342407
981,Gas Consumption - TWh (zero filled),South America,1977,284.3225403
982,Gas Consumption - TWh (zero filled),South America,1978,290.7467346
983,Gas Consumption - TWh (zero filled),South America,1979,313.8103943
984,Gas Consumption - TWh (zero filled),South America,1980,332.2703247
985,Gas Consumption - TWh (zero filled),South America,1981,340.6192627
986,Gas Consumption - TWh (zero filled),South America,1982,374.7425537
987,Gas Consumption - TWh (zero filled),South America,1983,388.0720825
988,Gas Consumption - TWh (zero filled),South America,1984,420.1682739
989,Gas Consumption - TWh (zero filled),South America,1985,428.9040222
990,Gas Consumption - TWh (zero filled),South America,1986,465.9500122
991,Gas Consumption - TWh (zero filled),South America,1987,465.1085815
992,Gas Consumption - TWh (zero filled),South America,1988,501.5442505
993,Gas Consumption - TWh (zero filled),South America,1989,521.8252563
994,Gas Consumption - TWh (zero filled),South America,1990,540.3678589
995,Gas Consumption - TWh (zero filled),South America,1991,549.3063965
996,Gas Consumption - TWh (zero filled),South America,1992,568.6452637
997,Gas Consumption - TWh (zero filled),South America,1993,609.3254395
998,Gas Consumption - TWh (zero filled),South America,1994,634.7492065
999,Gas Consumption - TWh (zero filled),South America,1995,700.0896606
1000,Gas Consumption - TWh (zero filled),South America,1996,773.3727417
1001,Gas Consumption - TWh (zero filled),South America,1997,783.8485107
1002,Gas Consumption - TWh (zero filled),South America,1998,845.7594604
1003,Gas Consumption - TWh (zero filled),South America,1999,827.1754761
1004,Gas Consumption - TWh (zero filled),South America,2000,875.3867798
1005,Gas Consumption - TWh (zero filled),South America,2001,909.8303833
1006,Gas Consumption - TWh (zero filled),South America,2002,911.9396973
1007,Gas Consumption - TWh (zero filled),South America,2003,943.7163696
1008,Gas Consumption - TWh (zero filled),South America,2004,1059.85144
1009,Gas Consumption - TWh (zero filled),South America,2005,1091.09021
1010,Gas Consumption - TWh (zero filled),South America,2006,1160.605469
1011,Gas Consumption - TWh (zero filled),South America,2007,1190.263306
1012,Gas Consumption - TWh (zero filled),South America,2008,1197.767334
1013,Gas Consumption - TWh (zero filled),South America,2009,1143.199585
1014,Gas Consumption - TWh (zero filled),South America,2010,1240.755127
1015,Gas Consumption - TWh (zero filled),South America,2011,1289.025635
1016,Gas Consumption - TWh (zero filled),South America,2012,1383.285645
1017,Gas Consumption - TWh (zero filled),South America,2013,1433.626221
1018,Gas Consumption - TWh (zero filled),South America,2014,1484.236938
1019,Gas Consumption - TWh (zero filled),South America,2015,1545.610596
1020,Gas Consumption - TWh (zero filled),South America,2016,1534.115112
1021,Gas Consumption - TWh (zero filled),South America,2017,1538.713501
1022,Gas Consumption - TWh (zero filled),South America,2018,1470.750122
1023,Gas Consumption - TWh (zero filled),South America,2019,1398.971069
1024,Gas Consumption - TWh (zero filled),South America,2020,1270.645874
1025,Gas Consumption - TWh (zero filled),South America,2021,1414.687866
1026,Geo Biomass Other - TWh (zero filled),Africa,1965,0.0
1027,Geo Biomass Other - TWh (zero filled),Africa,1966,0.0
1028,Geo Biomass Other - TWh (zero filled),Africa,1967,0.0
1029,Geo Biomass Other - TWh (zero filled),Africa,1968,0.0
1030,Geo Biomass Other - TWh (zero filled),Africa,1969,0.0
1031,Geo Biomass Other - TWh (zero filled),Africa,1970,0.0
1032,Geo Biomass Other - TWh (zero filled),Africa,1971,0.164000005
1033,Geo Biomass Other - TWh (zero filled),Africa,1972,0.165000007
1034,Geo Biomass Other - TWh (zero filled),Africa,1973,0.170000002
1035,Geo Biomass Other - TWh (zero filled),Africa,1974,0.174999997
1036,Geo Biomass Other - TWh (zero filled),Africa,1975,0.172000006
1037,Geo Biomass Other - TWh (zero filled),Africa,1976,0.185000002
1038,Geo Biomass Other - TWh (zero filled),Africa,1977,0.188999996
1039,Geo Biomass Other - TWh (zero filled),Africa,1978,0.194999993
1040,Geo Biomass Other - TWh (zero filled),Africa,1979,0.201000005
1041,Geo Biomass Other - TWh (zero filled),Africa,1980,0.207000002
1042,Geo Biomass Other - TWh (zero filled),Africa,1981,0.217999995
1043,Geo Biomass Other - TWh (zero filled),Africa,1982,0.236000001
1044,Geo Biomass Other - TWh (zero filled),Africa,1983,0.230000004
1045,Geo Biomass Other - TWh (zero filled),Africa,1984,0.233999997
1046,Geo Biomass Other - TWh (zero filled),Africa,1985,0.268999994
1047,Geo Biomass Other - TWh (zero filled),Africa,1986,0.658999979
1048,Geo Biomass Other - TWh (zero filled),Africa,1987,0.657999992
1049,Geo Biomass Other - TWh (zero filled),Africa,1988,0.625999987
1050,Geo Biomass Other - TWh (zero filled),Africa,1989,0.616999984
1051,Geo Biomass Other - TWh (zero filled),Africa,1990,0.796000004
1052,Geo Biomass Other - TWh (zero filled),Africa,1991,0.811999977
1053,Geo Biomass Other - TWh (zero filled),Africa,1992,0.84224999
1054,Geo Biomass Other - TWh (zero filled),Africa,1993,0.937699974
1055,Geo Biomass Other - TWh (zero filled),Africa,1994,0.834999979
1056,Geo Biomass Other - TWh (zero filled),Africa,1995,1.018700004
1057,Geo Biomass Other - TWh (zero filled),Africa,1996,1.258092999
1058,Geo Biomass Other - TWh (zero filled),Africa,1997,1.386640429
1059,Geo Biomass Other - TWh (zero filled),Africa,1998,1.71254921
1060,Geo Biomass Other - TWh (zero filled),Africa,1999,1.696124792
1061,Geo Biomass Other - TWh (zero filled),Africa,2000,2.269063234
1062,Geo Biomass Other - TWh (zero filled),Africa,2001,2.335352659
1063,Geo Biomass Other - TWh (zero filled),Africa,2002,2.28640008
1064,Geo Biomass Other - TWh (zero filled),Africa,2003,2.622400045
1065,Geo Biomass Other - TWh (zero filled),Africa,2004,2.978849649
1066,Geo Biomass Other - TWh (zero filled),Africa,2005,3.009669304
1067,Geo Biomass Other - TWh (zero filled),Africa,2006,3.770404816
1068,Geo Biomass Other - TWh (zero filled),Africa,2007,3.142048359
1069,Geo Biomass Other - TWh (zero filled),Africa,2008,3.267395735
1070,Geo Biomass Other - TWh (zero filled),Africa,2009,3.562722206
1071,Geo Biomass Other - TWh (zero filled),Africa,2010,3.76455307
1072,Geo Biomass Other - TWh (zero filled),Africa,2011,3.858768463
1073,Geo Biomass Other - TWh (zero filled),Africa,2012,4.042406559
1074,Geo Biomass Other - TWh (zero filled),Africa,2013,4.433248997
1075,Geo Biomass Other - TWh (zero filled),Africa,2014,5.4620471
1076,Geo Biomass Other - TWh (zero filled),Africa,2015,7.169681549
1077,Geo Biomass Other - TWh (zero filled),Africa,2016,7.231852055
1078,Geo Biomass Other - TWh (zero filled),Africa,2017,7.62603569
1079,Geo Biomass Other - TWh (zero filled),Africa,2018,8.172670364
1080,Geo Biomass Other - TWh (zero filled),Africa,2019,8.262966156
1081,Geo Biomass Other - TWh (zero filled),Africa,2020,8.066415787
1082,Geo Biomass Other - TWh (zero filled),Africa,2021,8.026316643
1083,Geo Biomass Other - TWh (zero filled),Asia,1965,0.100000001
1084,Geo Biomass Other - TWh (zero filled),Asia,1966,0.122000001
1085,Geo Biomass Other - TWh (zero filled),Asia,1967,0.172999993
1086,Geo Biomass Other - TWh (zero filled),Asia,1968,0.179000005
1087,Geo Biomass Other - TWh (zero filled),Asia,1969,0.178000003
1088,Geo Biomass Other - TWh (zero filled),Asia,1970,0.408703983
1089,Geo Biomass Other - TWh (zero filled),Asia,1971,0.397611022
1090,Geo Biomass Other - TWh (zero filled),Asia,1972,0.423591018
1091,Geo Biomass Other - TWh (zero filled),Asia,1973,0.450998008
1092,Geo Biomass Other - TWh (zero filled),Asia,1974,0.51454699
1093,Geo Biomass Other - TWh (zero filled),Asia,1975,0.598506987
1094,Geo Biomass Other - TWh (zero filled),Asia,1976,0.528553009
1095,Geo Biomass Other - TWh (zero filled),Asia,1977,0.752774
1096,Geo Biomass Other - TWh (zero filled),Asia,1978,0.967643976
1097,Geo Biomass Other - TWh (zero filled),Asia,1979,1.881672025
1098,Geo Biomass Other - TWh (zero filled),Asia,1980,3.272289991
1099,Geo Biomass Other - TWh (zero filled),Asia,1981,5.158716679
1100,Geo Biomass Other - TWh (zero filled),Asia,1982,13.7869091
1101,Geo Biomass Other - TWh (zero filled),Asia,1983,15.96975803
1102,Geo Biomass Other - TWh (zero filled),Asia,1984,17.50414276
1103,Geo Biomass Other - TWh (zero filled),Asia,1985,18.65061569
1104,Geo Biomass Other - TWh (zero filled),Asia,1986,19.50979042
1105,Geo Biomass Other - TWh (zero filled),Asia,1987,19.83908463
1106,Geo Biomass Other - TWh (zero filled),Asia,1988,21.39615822
1107,Geo Biomass Other - TWh (zero filled),Asia,1989,23.11325264
1108,Geo Biomass Other - TWh (zero filled),Asia,1990,18.88140678
1109,Geo Biomass Other - TWh (zero filled),Asia,1991,19.27264595
1110,Geo Biomass Other - TWh (zero filled),Asia,1992,19.52909851
1111,Geo Biomass Other - TWh (zero filled),Asia,1993,19.34342575
1112,Geo Biomass Other - TWh (zero filled),Asia,1994,22.93911934
1113,Geo Biomass Other - TWh (zero filled),Asia,1995,27.5710144
1114,Geo Biomass Other - TWh (zero filled),Asia,1996,28.01380348
1115,Geo Biomass Other - TWh (zero filled),Asia,1997,31.61406326
1116,Geo Biomass Other - TWh (zero filled),Asia,1998,33.69692612
1117,Geo Biomass Other - TWh (zero filled),Asia,1999,36.97982025
1118,Geo Biomass Other - TWh (zero filled),Asia,2000,40.58894348
1119,Geo Biomass Other - TWh (zero filled),Asia,2001,41.51584244
1120,Geo Biomass Other - TWh (zero filled),Asia,2002,42.87122726
1121,Geo Biomass Other - TWh (zero filled),Asia,2003,44.73683548
1122,Geo Biomass Other - TWh (zero filled),Asia,2004,47.31674576
1123,Geo Biomass Other - TWh (zero filled),Asia,2005,52.97130585
1124,Geo Biomass Other - TWh (zero filled),Asia,2006,56.99623871
1125,Geo Biomass Other - TWh (zero filled),Asia,2007,63.23910904
1126,Geo Biomass Other - TWh (zero filled),Asia,2008,71.15206909
1127,Geo Biomass Other - TWh (zero filled),Asia,2009,80.0868988
1128,Geo Biomass Other - TWh (zero filled),Asia,2010,91.83975983
1129,Geo Biomass Other - TWh (zero filled),Asia,2011,100.9921494
1130,Geo Biomass Other - TWh (zero filled),Asia,2012,109.7155914
1131,Geo Biomass Other - TWh (zero filled),Asia,2013,121.8198929
1132,Geo Biomass Other - TWh (zero filled),Asia,2014,140.6615448
1133,Geo Biomass Other - TWh (zero filled),Asia,2015,163.3727722
1134,Geo Biomass Other - TWh (zero filled),Asia,2016,166.4624176
1135,Geo Biomass Other - TWh (zero filled),Asia,2017,194.7893982
1136,Geo Biomass Other - TWh (zero filled),Asia,2018,232.831955
1137,Geo Biomass Other - TWh (zero filled),Asia,2019,260.6604004
1138,Geo Biomass Other - TWh (zero filled),Asia,2020,285.712616
1139,Geo Biomass Other - TWh (zero filled),Asia,2021,336.3572388
1140,Geo Biomass Other - TWh (zero filled),Europe,1965,2.909000158
1141,Geo Biomass Other - TWh (zero filled),Europe,1966,3.979000092
1142,Geo Biomass Other - TWh (zero filled),Europe,1967,4.315999985
1143,Geo Biomass Other - TWh (zero filled),Europe,1968,4.818000317
1144,Geo Biomass Other - TWh (zero filled),Europe,1969,5.244904041
1145,Geo Biomass Other - TWh (zero filled),Europe,1970,6.952357292
1146,Geo Biomass Other - TWh (zero filled),Europe,1971,7.069883823
1147,Geo Biomass Other - TWh (zero filled),Europe,1972,6.947607994
1148,Geo Biomass Other - TWh (zero filled),Europe,1973,7.466391087
1149,Geo Biomass Other - TWh (zero filled),Europe,1974,7.83506012
1150,Geo Biomass Other - TWh (zero filled),Europe,1975,8.300942421
1151,Geo Biomass Other - TWh (zero filled),Europe,1976,8.324597359
1152,Geo Biomass Other - TWh (zero filled),Europe,1977,8.662291527
1153,Geo Biomass Other - TWh (zero filled),Europe,1978,9.235138893
1154,Geo Biomass Other - TWh (zero filled),Europe,1979,9.617958069
1155,Geo Biomass Other - TWh (zero filled),Europe,1980,10.604949
1156,Geo Biomass Other - TWh (zero filled),Europe,1981,10.64352322
1157,Geo Biomass Other - TWh (zero filled),Europe,1982,9.836120605
1158,Geo Biomass Other - TWh (zero filled),Europe,1983,10.13665199
1159,Geo Biomass Other - TWh (zero filled),Europe,1984,10.48847771
1160,Geo Biomass Other - TWh (zero filled),Europe,1985,11.89873981
1161,Geo Biomass Other - TWh (zero filled),Europe,1986,12.97520924
1162,Geo Biomass Other - TWh (zero filled),Europe,1987,12.81740189
1163,Geo Biomass Other - TWh (zero filled),Europe,1988,13.60969925
1164,Geo Biomass Other - TWh (zero filled),Europe,1989,13.47467613
1165,Geo Biomass Other - TWh (zero filled),Europe,1990,18.93775177
1166,Geo Biomass Other - TWh (zero filled),Europe,1991,19.53473282
1167,Geo Biomass Other - TWh (zero filled),Europe,1992,20.65990257
1168,Geo Biomass Other - TWh (zero filled),Europe,1993,22.83309555
1169,Geo Biomass Other - TWh (zero filled),Europe,1994,23.97990036
1170,Geo Biomass Other - TWh (zero filled),Europe,1995,26.28833199
1171,Geo Biomass Other - TWh (zero filled),Europe,1996,26.5230999
1172,Geo Biomass Other - TWh (zero filled),Europe,1997,31.36771965
1173,Geo Biomass Other - TWh (zero filled),Europe,1998,35.30904007
1174,Geo Biomass Other - TWh (zero filled),Europe,1999,37.29869843
1175,Geo Biomass Other - TWh (zero filled),Europe,2000,40.83784866
1176,Geo Biomass Other - TWh (zero filled),Europe,2001,44.78116989
1177,Geo Biomass Other - TWh (zero filled),Europe,2002,50.94703674
1178,Geo Biomass Other - TWh (zero filled),Europe,2003,58.28682327
1179,Geo Biomass Other - TWh (zero filled),Europe,2004,69.2460556
1180,Geo Biomass Other - TWh (zero filled),Europe,2005,79.35106659
1181,Geo Biomass Other - TWh (zero filled),Europe,2006,89.88837433
1182,Geo Biomass Other - TWh (zero filled),Europe,2007,99.98390961
1183,Geo Biomass Other - TWh (zero filled),Europe,2008,110.3596268
1184,Geo Biomass Other - TWh (zero filled),Europe,2009,120.6333313
1185,Geo Biomass Other - TWh (zero filled),Europe,2010,136.5474091
1186,Geo Biomass Other - TWh (zero filled),Europe,2011,145.8356628
1187,Geo Biomass Other - TWh (zero filled),Europe,2012,162.1386871
1188,Geo Biomass Other - TWh (zero filled),Europe,2013,172.6667175
1189,Geo Biomass Other - TWh (zero filled),Europe,2014,183.3901215
1190,Geo Biomass Other - TWh (zero filled),Europe,2015,194.8334503
1191,Geo Biomass Other - TWh (zero filled),Europe,2016,197.5782928
1192,Geo Biomass Other - TWh (zero filled),Europe,2017,202.8266296
1193,Geo Biomass Other - TWh (zero filled),Europe,2018,208.4813843
