rowid,Season,Team,Jersey Number,Full Name,First Name,Last Name,Year,Position,Games Played,Games Started,Goals,Assists,Points,Shots,Shooting Percentage,Shots on Goal,Shots on Goal Percentage,Game Winning Goals,Powerplay Goals,Penalty Kill Goals,Ground Balls,Turnovers,Caused Turnovers,Faceoffs Won,Faceoffs Taken,Faceoff Percentage,pen,Penalties,Goalie Games Played,Goalie Games Started,Goalie Minutes,Goals Allowed,GAA,Saves,Save Percentage,otg,NCAA id
123,2023,Bellarmine Knights,23,John Alie,John,Alie,Fr,ATT,14,0,10,2,12,24,0.417,18,0.75,0,1,2,5,3,1,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2802776
124,2023,Bellarmine Knights,27,Jack Love,Jack,Love,Fr,LSM,12,0,0,1,1,0,0.0,0,0.0,0,0,0,4,0,1,0,0,0.0,1,180,0,0,,0,0.0,0,0.0,0,2802816
125,2023,Bellarmine Knights,40,Kevin Lambe,Kevin,Lambe,Sr,M,12,0,0,0,0,0,0.0,0,0.0,0,0,0,4,1,0,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2128325
126,2023,Bellarmine Knights,3,Harrison Pate,Harrison,Pate,Sr,M,12,8,1,1,2,1,1.0,1,1.0,0,0,0,12,2,5,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2332061
127,2023,Bellarmine Knights,37,Aidan Fearn,Aidan,Fearn,So,FO,10,0,1,2,3,5,0.2,3,0.6,0,0,0,24,5,0,54,102,0.529,2,60,0,0,,0,0.0,0,0.0,0,2653790
128,2023,Bellarmine Knights,12,Cole Messick,Cole,Messick,So,FO,10,0,2,0,2,3,0.667,2,0.667,0,0,0,24,2,0,49,104,0.471,0,0,0,0,,0,0.0,0,0.0,0,2653807
129,2023,Bellarmine Knights,53,Michael Blaymires,Michael,Blaymires,Fr,M,9,0,2,1,3,6,0.333,3,0.5,0,1,0,0,1,1,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2802778
130,2023,Bellarmine Knights,34,Nick Ferge,Nick,Ferge,Fr,LSM,8,0,0,0,0,2,0.0,1,0.5,0,0,0,1,1,0,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2802807
131,2023,Bellarmine Knights,7,Jack Cunningham,Jack,Cunningham,Jr,M,8,0,0,0,0,3,0.0,2,0.667,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2488121
132,2023,Bellarmine Knights,30,Josh Healy,Josh,Healy,Jr,M,7,0,0,0,0,1,0.0,0,0.0,0,0,0,1,2,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2480957
133,2023,Bellarmine Knights,1,Dante Batista,Dante,Batista,So,GK,6,3,0,0,0,0,0.0,0,0.0,0,0,0,2,2,0,0,0,0.0,1,60,6,3,217:44,39,10.747,44,0.53,0,2653803
134,2023,Bellarmine Knights,8,Jaden Wilkins,Jaden,Wilkins,So,M,6,0,2,0,2,4,0.5,4,1.0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2653804
135,2023,Bellarmine Knights,13,Brandon Boyle,Brandon,Boyle,Fr,ATT,6,0,0,2,2,2,0.0,1,0.5,0,0,0,0,2,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2802799
136,2023,Bellarmine Knights,38,Shane Dzwilewski,Shane,Dzwilewski,So,D,5,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2653817
137,2023,Bellarmine Knights,6,John Imperato,John,Imperato,So,M,5,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2653813
138,2023,Bellarmine Knights,11,Parker Freiberg,Parker,Freiberg,Sr,M,5,0,0,0,0,0,0.0,0,0.0,0,0,0,2,0,0,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2332035
139,2023,Bellarmine Knights,50,Jackson Hammersley,Jackson,Hammersley,Jr,M,5,0,1,0,1,1,1.0,1,1.0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2481129
140,2023,Bellarmine Knights,42,Nate Committee,Nate,Committee,Fr,D,5,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2802800
141,2023,Bellarmine Knights,15,Preston Winner,Preston,Winner,Sr,M,4,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2332064
142,2023,Bellarmine Knights,55,Jayden Smith,Jayden,Smith,So,LSM,3,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2653828
143,2023,Bellarmine Knights,43,Brendan Lehrer,Brendan,Lehrer,Fr,M,1,0,0,0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2802845
144,2023,Bellarmine Knights,24,Josh Seipp,Josh,Seipp,Fr,ATT,1,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2802842
145,2023,Bellarmine Knights,9,Matt Ury,Matt,Ury,Sr,D,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2332066
146,2023,Bellarmine Knights,4,Jack Bozik,Jack,Bozik,Sr,GK,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,6:29,4,37.018,2,0.333,0,2332044
147,2023,Bellarmine Knights,20,Ethan Tunucci,Ethan,Tunucci,Fr,ATT,1,0,0,0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2802844
148,2023,Bellarmine Knights,17,Ziggy Iannessa,Ziggy,Iannessa,Fr,M,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2802821
149,2023,Binghamton Bearcats,30,Connor Winters,Connor,Winters,So,GK,14,14,1,0,1,3,0.333,1,0.333,0,0,0,34,30,4,0,0,0.0,1,30,14,14,839:26,164,11.722,194,0.542,0,2664849
150,2023,Binghamton Bearcats,44,Christian Hanko,Christian,Hanko,So,D,14,14,0,0,0,0,0.0,0,0.0,0,0,0,17,10,12,0,0,0.0,7,330,0,0,,0,0.0,0,0.0,0,2664842
151,2023,Binghamton Bearcats,31,Matthew Keegan,Matthew,Keegan,So,ATT,14,14,47,13,60,123,0.382,83,0.675,3,8,1,24,17,1,0,0,0.0,3,150,0,0,,0,0.0,0,0.0,1,2664840
152,2023,Binghamton Bearcats,23,Gage Adams,Gage,Adams,Fr,ATT,14,14,35,5,40,80,0.438,51,0.638,3,5,0,19,16,6,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2669418
153,2023,Binghamton Bearcats,4,Paolo Capucciati,Paolo,Capucciati,,,14,0,1,1,2,2,0.5,1,0.5,0,0,0,17,3,4,0,0,0.0,2,90,0,0,,0,0.0,0,0.0,0,2824129
154,2023,Binghamton Bearcats,19,Ethan Insinga,Ethan,Insinga,Jr,M,14,14,25,17,42,78,0.321,46,0.59,1,3,0,15,19,6,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2503603
155,2023,Binghamton Bearcats,3,Ross Chazanow,Ross,Chazanow,Jr,FO,14,0,4,1,5,14,0.286,7,0.5,0,0,0,56,7,0,88,182,0.484,1,30,0,0,,0,0.0,0,0.0,0,2503595
156,2023,Binghamton Bearcats,7,Will Feldmann,Will,Feldmann,,,14,1,2,1,3,8,0.25,5,0.625,0,0,0,5,6,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2824220
157,2023,Binghamton Bearcats,11,Max Verch,Max,Verch,Sr,M,14,14,0,0,0,0,0.0,0,0.0,0,0,0,25,4,11,0,0,0.0,1,120,0,0,,0,0.0,0,0.0,0,2341041
158,2023,Binghamton Bearcats,34,Lorenzo Ramos,Lorenzo,Ramos,So,D,14,14,0,0,0,0,0.0,0,0.0,0,0,0,18,4,9,0,0,0.0,5,180,0,0,,0,0.0,0,0.0,0,2664851
159,2023,Binghamton Bearcats,10,Luke Rosaschi,Luke,Rosaschi,Sr,M,14,0,0,0,0,0,0.0,0,0.0,0,0,0,18,2,2,0,0,0.0,3,180,0,0,,0,0.0,0,0.0,0,2310772
160,2023,Binghamton Bearcats,2,Thomas Greenblatt,Thomas,Greenblatt,Sr,M,14,14,23,35,58,81,0.284,49,0.605,1,1,0,13,24,3,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2310793
161,2023,Binghamton Bearcats,20,Declan Ferris,Declan,Ferris,Sr,D,14,0,2,3,5,11,0.182,5,0.455,0,0,0,20,8,17,0,0,0.0,8,450,0,0,,0,0.0,0,0.0,0,2310797
162,2023,Binghamton Bearcats,26,Matthew DeSouza,Matthew,DeSouza,Sr,FO,14,0,3,1,4,11,0.273,7,0.636,0,0,0,79,11,1,137,222,0.617,2,90,0,0,,0,0.0,0,0.0,0,2310800
163,2023,Binghamton Bearcats,32,Dylan Braddock,Dylan,Braddock,Sr,M,14,0,1,0,1,11,0.091,8,0.727,0,0,0,2,3,1,0,0,0.0,2,60,0,0,,0,0.0,0,0.0,0,2310806
164,2023,Binghamton Bearcats,18,Quinn O'Hara,Quinn,O'Hara,Sr,M,14,14,21,6,27,75,0.28,44,0.587,1,3,0,11,11,2,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2310814
165,2023,Binghamton Bearcats,36,Patrick Murad,Patrick,Murad,Sr,M,14,0,4,2,6,5,0.8,5,1.0,0,0,0,13,8,3,0,0,0.0,3,150,0,0,,0,0.0,0,0.0,0,2310815
166,2023,Binghamton Bearcats,23,Max Napoli,Max,Napoli,Sr,M,13,0,0,2,2,2,0.0,1,0.5,0,0,0,18,5,7,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2341179
167,2023,Binghamton Bearcats,16,Aaron Tebo,Aaron,Tebo,Jr,M,13,0,1,0,1,3,0.333,2,0.667,0,0,0,15,5,3,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2503599
168,2023,Binghamton Bearcats,8,Nicholas Imburgia,Nicholas,Imburgia,Sr,M,13,13,14,8,22,57,0.246,28,0.491,0,2,0,8,16,2,0,0,0.0,3,180,0,0,,0,0.0,0,0.0,0,2310771
169,2023,Binghamton Bearcats,9,Rob Kreush,Rob,Kreush,Jr,M,10,0,0,0,0,0,0.0,0,0.0,0,0,0,1,2,1,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2503596
170,2023,Binghamton Bearcats,21,Colin Delay,Colin,Delay,Fr,,9,0,1,1,2,7,0.143,3,0.429,0,0,0,3,1,0,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2836715
171,2023,Binghamton Bearcats,5,Eoin MacKay,Eoin,MacKay,,,8,0,0,0,0,0,0.0,0,0.0,0,0,0,3,0,1,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2824222
172,2023,Binghamton Bearcats,13,Gavin Jacobsen,Gavin,Jacobsen,,,8,0,1,2,3,14,0.071,5,0.357,0,0,0,1,2,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2838772
173,2023,Binghamton Bearcats,40,Trey Sofield,Trey,Sofield,Jr,M,7,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,1,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2503658
174,2023,Binghamton Bearcats,27,Nick Cartmill,Nick,Cartmill,So,M,6,0,0,0,0,4,0.0,2,0.5,0,0,0,4,2,2,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664838
175,2023,Binghamton Bearcats,25,Thomas Kelly,Thomas,Kelly,So,M,6,0,0,0,0,2,0.0,1,0.5,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664837
176,2023,Binghamton Bearcats,53,Daniel Garone,Daniel,Garone,Fr,ATT,3,0,0,0,0,1,0.0,1,1.0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2653193
177,2023,Binghamton Bearcats,22,Tyler Martini,Tyler,Martini,,,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2829739
178,2023,Binghamton Bearcats,1,Anthony Todaro,Anthony,Todaro,Jr,ATT,2,0,1,0,1,4,0.25,2,0.5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2503593
179,2023,Binghamton Bearcats,11,Anthony Carroll,Anthony,Carroll,So,D,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2479921
180,2023,Binghamton Bearcats,42,Matthew Rincon,Matthew,Rincon,,,2,0,0,1,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2838773
181,2023,Binghamton Bearcats,30,Kenneth Hildreth,Kenneth,Hildreth,,,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2838841
182,2023,Binghamton Bearcats,33,Anthony Bilello,Anthony,Bilello,,,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2838840
183,2023,Binghamton Bearcats,17,Billy Sullivan,Billy,Sullivan,So,M,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664783
184,2023,Binghamton Bearcats,34,Mason Shenk,Mason,Shenk,Fr,,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2842768
185,2023,Binghamton Bearcats,35,Owen Walker,Owen,Walker,Fr,,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1:35,0,0.0,2,1.0,0,2840362
186,2023,Binghamton Bearcats,14,Garrett Taylor,Garrett,Taylor,Fr,,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1:35,0,0.0,2,1.0,0,2840347
187,2023,Boston U. Terriers,29,Trey Brown,Trey,Brown,So,D,14,14,0,0,0,2,0.0,1,0.5,0,0,0,26,5,23,0,0,0.0,2,120,0,0,,0,0.0,0,0.0,0,2674940
188,2023,Boston U. Terriers,12,Zach Travaglini,Zach,Travaglini,So,ATT,14,8,7,7,14,31,0.226,19,0.613,1,0,0,7,6,1,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2674106
189,2023,Boston U. Terriers,46,Dane DeGoler,Dane,DeGoler,Jr,DM,14,14,2,1,3,3,0.667,2,0.667,0,0,0,45,7,21,0,0,0.0,3,120,0,0,,0,0.0,0,0.0,0,2494136
190,2023,Boston U. Terriers,51,Tommy Bourque,Tommy,Bourque,Jr,ATT,14,14,18,7,25,68,0.265,34,0.5,0,2,0,10,18,2,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2494134
191,2023,Boston U. Terriers,77,Patrick Morrison,Patrick,Morrison,Sr,D,14,14,1,2,3,4,0.25,1,0.25,0,0,0,46,9,26,0,0,0.0,4,150,0,0,,0,0.0,0,0.0,0,2332884
192,2023,Boston U. Terriers,55,Roy Meyer,Roy,Meyer,Sr,DM,14,0,3,0,3,7,0.429,6,0.857,0,0,0,64,12,32,0,0,0.0,5,240,0,0,,0,0.0,0,0.0,0,2332878
193,2023,Boston U. Terriers,48,Walker Ker,Walker,Ker,Sr,DM,14,0,0,2,2,2,0.0,1,0.5,0,0,0,14,1,8,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2332877
194,2023,Boston U. Terriers,7,Miles Lipton,Miles,Lipton,Sr,M,14,0,3,1,4,15,0.2,11,0.733,0,0,0,4,5,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2332876
195,2023,Boston U. Terriers,2,Thomas Niedringhaus,Thomas,Niedringhaus,Sr,ATT,14,8,17,1,18,63,0.27,37,0.587,3,0,0,13,5,0,0,0,0.0,2,90,0,0,,0,0.0,0,0.0,1,2332870
196,2023,Boston U. Terriers,11,Vince D'Alto,Vince,D'Alto,Sr,ATT,14,14,44,24,68,148,0.297,89,0.601,1,9,0,34,15,6,0,0,0.0,3,150,0,0,,0,0.0,0,0.0,0,2332817
197,2023,Boston U. Terriers,8,Louis Perfetto,Louis,Perfetto,Sr,ATT,14,14,27,37,64,93,0.29,57,0.613,2,2,0,34,19,3,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2332816
198,2023,Boston U. Terriers,6,Conor Calderone,Conor,Calderone,Sr,FO,14,0,0,0,0,3,0.0,1,0.333,0,0,0,75,11,0,167,318,0.525,0,0,0,0,,0,0.0,0,0.0,0,2321658
199,2023,Boston U. Terriers,41,Matt Garber,Matt,Garber,Sr,GK,14,14,0,1,1,0,0.0,0,0.0,0,0,0,21,9,2,0,0,0.0,0,0,14,13,817:47,155,11.372,143,0.48,0,2128022
200,2023,Boston U. Terriers,33,Matt Hilburn,Matt,Hilburn,Sr,ATT,14,4,6,5,11,14,0.429,12,0.857,0,0,0,6,9,1,0,0,0.0,2,120,0,0,,0,0.0,0,0.0,0,2128004
201,2023,Boston U. Terriers,3,Jett Dziama,Jett,Dziama,Sr,M,14,0,3,3,6,12,0.25,6,0.5,0,0,0,34,7,13,0,0,0.0,8,390,0,0,,0,0.0,0,0.0,0,2127983
202,2023,Boston U. Terriers,19,Timmy Ley,Timmy,Ley,Sr,ATT,14,14,40,14,54,101,0.396,64,0.634,1,9,0,17,25,3,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2127973
203,2023,Boston U. Terriers,43,Donnie Howard,Donnie,Howard,Sr,M,13,0,1,3,4,2,0.5,1,0.5,0,0,0,7,7,3,0,0,0.0,4,210,0,0,,0,0.0,0,0.0,0,2332881
204,2023,Boston U. Terriers,16,Blake Phillips,Blake,Phillips,Sr,M,13,0,0,0,0,0,0.0,0,0.0,0,0,0,9,3,8,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2127994
205,2023,Boston U. Terriers,22,Jimmy O'Connell,Jimmy,O'Connell,So,ATT,13,1,4,5,9,8,0.5,4,0.5,1,3,0,3,2,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2674116
206,2023,Boston U. Terriers,18,Jason Child,Jason,Child,Sr,ATT,12,0,0,1,1,1,0.0,0,0.0,0,0,0,5,2,5,0,0,0.0,5,390,0,0,,0,0.0,0,0.0,0,2332880
207,2023,Boston U. Terriers,37,Benjamin Ferrara,Benjamin,Ferrara,So,FO,10,0,0,1,1,0,0.0,0,0.0,0,0,0,10,3,1,17,49,0.347,0,0,0,0,,0,0.0,0,0.0,0,2675002
208,2023,Boston U. Terriers,9,Tommy Jepson,Tommy,Jepson,Jr,,10,1,2,3,5,11,0.182,7,0.636,1,0,0,1,6,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2500870
209,2023,Boston U. Terriers,36,Brenden Kelly,Brenden,Kelly,Fr,ATT,9,0,4,2,6,11,0.364,8,0.727,0,0,0,4,1,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2659884
210,2023,Boston U. Terriers,30,Robert Gallop,Robert,Gallop,Sr,M,9,0,1,0,1,2,0.5,2,1.0,0,0,0,7,5,8,0,0,0.0,3,150,0,0,,0,0.0,0,0.0,0,2332875
211,2023,Boston U. Terriers,4,Anthony Forziati,Anthony,Forziati,Sr,ATT,8,0,1,1,2,4,0.25,2,0.5,0,0,0,0,2,0,0,0,0.0,2,120,0,0,,0,0.0,0,0.0,0,2332871
212,2023,Boston U. Terriers,44,Connor Kehm,Connor,Kehm,Fr,D,7,0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2808401
213,2023,Boston U. Terriers,42,Jake Cates,Jake,Cates,Sr,M,6,6,6,1,7,23,0.261,15,0.652,0,3,0,1,4,0,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2128023
214,2023,Boston U. Terriers,17,Michael Gottlieb,Michael,Gottlieb,Sr,M,6,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2332818
215,2023,Boston U. Terriers,52,Aden Johnson,Aden,Johnson,Fr,D,4,0,0,0,0,0,0.0,0,0.0,0,0,0,2,1,2,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2808446
216,2023,Boston U. Terriers,71,Matt Baugher,Matt,Baugher,Sr,ATT,4,0,1,0,1,2,0.5,1,0.5,0,0,0,0,3,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2128187
217,2023,Boston U. Terriers,5,Cole Van Meter,Cole,Van Meter,Fr,M,3,0,0,1,1,0,0.0,0,0.0,0,0,0,0,2,0,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2808388
218,2023,Boston U. Terriers,10,Colby Kim,Colby,Kim,So,D,3,0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2674112
219,2023,Boston U. Terriers,15,Rich Rindos,Rich,Rindos,Fr,FO,3,0,0,0,0,0,0.0,0,0.0,0,0,0,3,0,0,10,23,0.435,0,0,0,0,,0,0.0,0,0.0,0,2808393
220,2023,Boston U. Terriers,0,Kabran Clark,Kabran,Clark,Fr,M,2,0,1,1,2,1,1.0,1,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2808387
221,2023,Boston U. Terriers,34,Tim Barrett,Tim,Barrett,Jr,,2,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2500864
222,2023,Boston U. Terriers,31,Ethan Hart,Ethan,Hart,Fr,M,2,0,0,1,1,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2808397
223,2023,Boston U. Terriers,14,Jimmy Kohr,Jimmy,Kohr,Fr,ATT,2,0,1,0,1,1,1.0,1,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2808392
224,2023,Boston U. Terriers,28,Will Barnes,Will,Barnes,So,GK,2,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,1,0,0,0.0,0,0,2,0,19:54,0,0.0,4,1.0,0,2674939
225,2023,Boston U. Terriers,35,Matt Caccese,Matt,Caccese,So,D,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2675001
226,2023,Boston U. Terriers,45,Will Delagarza,Will,Delagarza,Fr,M,1,0,0,1,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2808429
227,2023,Boston U. Terriers,92,Charlie Howard,Charlie,Howard,Fr,ATT,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2808452
228,2023,Boston U. Terriers,47,Aaron Cho,Aaron,Cho,Fr,M,1,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2808460
229,2023,Boston U. Terriers,27,Jax Popovich,Jax,Popovich,Jr,FO,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2462268
230,2023,Boston U. Terriers,38,Mario Hemann,Mario,Hemann,Jr,GK,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,2:54,0,0.0,0,0.0,0,2675003
231,2023,Boston U. Terriers,13,Stephen Gaskill III,Stephen,Gaskill III,So,M,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2674114
232,2023,Boston U. Terriers,66,James Corcoran,James,Corcoran,Jr,,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2500867
233,2023,Brown Bears,25,Samari Staten,Samari,Staten,Fr,M,14,0,1,0,1,2,0.5,2,1.0,0,0,0,5,2,2,0,0,0.0,2,90,0,0,,0,0.0,0,0.0,0,2803812
234,2023,Brown Bears,21,Charlie Cave,Charlie,Cave,Fr,D,14,0,1,3,4,6,0.167,4,0.667,0,0,0,21,3,8,0,1,0.0,4,180,0,0,,0,0.0,0,0.0,0,2803809
235,2023,Brown Bears,2,PJ Behan,PJ,Behan,Fr,M,14,0,1,2,3,4,0.25,3,0.75,0,0,0,9,10,2,0,0,0.0,8,450,0,0,,0,0.0,0,0.0,0,2803800
236,2023,Brown Bears,13,Marcus Wertheim,Marcus,Wertheim,Fr,M,14,4,8,10,18,36,0.222,23,0.639,0,0,0,6,11,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2803792
237,2023,Brown Bears,43,Aidan McLane,Aidan,McLane,So,ATT,14,6,29,9,38,131,0.221,60,0.458,0,2,0,10,18,3,0,0,0.0,2,90,0,0,,0,0.0,0,0.0,0,2665987
238,2023,Brown Bears,42,Matteo Corsi,Matteo,Corsi,So,M,14,5,19,4,23,52,0.365,25,0.481,1,0,0,6,16,0,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2660394
239,2023,Brown Bears,19,Gibson Linnehan,Gibson,Linnehan,So,D,14,0,1,2,3,4,0.25,1,0.25,0,0,0,23,3,6,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2658060
240,2023,Brown Bears,30,Tyler Blackburn,Tyler,Blackburn,So,D,14,14,0,1,1,1,0.0,0,0.0,0,0,0,22,10,13,0,0,0.0,3,210,0,0,,0,0.0,0,0.0,0,2653272
241,2023,Brown Bears,4,Ryan Behrens,Ryan,Behrens,So,M,14,0,7,3,10,16,0.438,13,0.812,0,0,0,17,10,9,0,0,0.0,3,120,0,0,,0,0.0,0,0.0,0,2653267
242,2023,Brown Bears,35,Mark Witt,Mark,Witt,Jr,D,14,14,0,0,0,2,0.0,1,0.5,0,0,0,28,7,10,0,0,0.0,4,240,0,0,,0,0.0,0,0.0,0,2523459
243,2023,Brown Bears,11,Connor Theriault,Connor,Theriault,Jr,GK,14,14,0,0,0,0,0.0,0,0.0,0,0,0,30,7,1,0,0,0.0,0,0,14,14,825:39,180,13.081,178,0.497,0,2523458
244,2023,Brown Bears,44,Trey Taylor,Trey,Taylor,Fr,D,14,13,1,1,2,1,1.0,1,1.0,0,0,0,19,5,7,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2803817
245,2023,Brown Bears,39,Colin Hart,Colin,Hart,Sr,D,13,4,0,0,0,0,0.0,0,0.0,0,0,0,8,2,2,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2303406
246,2023,Brown Bears,28,Trevor Glavin,Trevor,Glavin,Sr,ATT,13,7,9,10,19,32,0.281,22,0.688,0,2,0,5,17,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2303419
247,2023,Brown Bears,5,Kevin Sweeney,Kevin,Sweeney,Jr,M,13,0,1,0,1,2,0.5,2,1.0,0,0,0,8,3,1,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2523440
