Year,Type,Value
1966,Adjusted Self employed NI,1261.4984269574657
1967,Adjusted Self employed NI,1277.7160719289739
1968,Adjusted Self employed NI,1398.948339754974
1969,Adjusted Self employed NI,1397.2124091859855
1970,Adjusted Self employed NI,1512.56111597504
1971,Adjusted Self employed NI,1454.8333294619881
1972,Adjusted Self employed NI,1630.5220840145566
1973,Adjusted Self employed NI,1752.3798852669672
1974,Adjusted Self employed NI,1724.6109679406848
1975,Adjusted Self employed NI,1402.8520925761009
1976,Adjusted Self employed NI,1407.221886856339
1977,Adjusted Self employed NI,1475.87288675247
1978,Adjusted Self employed NI,1569.971778310265
1979,Adjusted Self employed NI,1145.5536844881208
1980,Adjusted Self employed NI,1166.0017505180256
1981,Adjusted Self employed NI,1167.1208714888842
1982,Adjusted Self employed NI,1459.1659794507354
1983,Adjusted Self employed NI,1597.4362404695528
1984,Adjusted Self employed NI,1654.2909104809623
1985,Adjusted Self employed NI,1936.5304803562378
1986,Adjusted Self employed NI,1822.04687702836
1987,Adjusted Self employed NI,1821.8357371250509
1988,Adjusted Self employed NI,2182.288664881077
1989,Adjusted Self employed NI,2295.625998530672
1990,Adjusted Self employed NI,2385.895134833384
1991,Adjusted Self employed NI,2274.968356848484
1992,Adjusted Self employed NI,2310.3991667399273
1993,Adjusted Self employed NI,2588.6163347432757
1994,Adjusted Self employed NI,2527.2359832758093
1995,Adjusted Self employed NI,2581.4052907959053
1996,Adjusted Self employed NI,2884.4819276193375
1997,Adjusted Self employed NI,2945.101942604616
1998,Adjusted Self employed NI,2706.2023439437844
1999,Adjusted Self employed NI,2896.5509674656187
2000,Adjusted Self employed NI,3115.144078596435
2001,Adjusted Self employed NI,3268.8540410182086
2002,Adjusted Self employed NI,3419.0355461304284
2003,Adjusted Self employed NI,3775.5068247181393
2004,Adjusted Self employed NI,3913.162764360121
2005,Adjusted Self employed NI,3970.8000872406033
2006,Adjusted Self employed NI,4019.5074635178044
2007,Adjusted Self employed NI,3831.8959614899863
2008,Adjusted Self employed NI,3951.3929170232063
2009,Adjusted Self employed NI,3617.74911489671
2010,Adjusted Self employed NI,3413.4323967097635
2011,Adjusted Self employed NI,3149.431564159889
2012,Adjusted Self employed NI,2976.345779520587
2013,Adjusted Self employed NI,2938.128513318719
2014,Adjusted Self employed NI,2993.6060155168307
2015,Adjusted Self employed NI,3565.243335273544
2016,Adjusted Self employed NI,3641.2065284416767
2017,Adjusted Self employed NI,3857.4020616441267
2018,Adjusted Self employed NI,4053.346830543296
2019,Adjusted Self employed NI,4509.98233488
2020,Adjusted Self employed NI,4204.3452
2021,Adjusted Self employed NI,4105.0
1965,Adjusted Employer NI,13788.530706837955
1966,Adjusted Employer NI,14467.311073714733
1967,Adjusted Employer NI,15207.937636618031
1968,Adjusted Employer NI,16385.554490108792
1969,Adjusted Employer NI,16032.659563992724
1970,Adjusted Employer NI,17964.98027219477
1971,Adjusted Employer NI,17615.606897568905
1972,Adjusted Employer NI,19339.8036076171
1973,Adjusted Employer NI,21298.155528629293
1974,Adjusted Employer NI,24939.84047420959
1975,Adjusted Employer NI,29265.652885126045
1976,Adjusted Employer NI,31267.482801816728
1977,Adjusted Employer NI,30337.979123352223
1978,Adjusted Employer NI,29868.836120893415
1979,Adjusted Employer NI,29892.876259237364
1980,Adjusted Employer NI,30198.341866728675
1981,Adjusted Employer NI,28977.47425719162
1982,Adjusted Employer NI,28287.234257235836
1983,Adjusted Employer NI,30490.19606809277
1984,Adjusted Employer NI,31070.34045034994
1985,Adjusted Employer NI,31829.282861694137
1986,Adjusted Employer NI,34028.29615857103
1987,Adjusted Employer NI,34735.530378695505
1988,Adjusted Employer NI,37474.20535362664
1989,Adjusted Employer NI,39746.31082379679
1990,Adjusted Employer NI,40509.53982541236
1991,Adjusted Employer NI,39913.81049963273
1992,Adjusted Employer NI,38995.425748699425
1993,Adjusted Employer NI,40513.95592378776
1994,Adjusted Employer NI,39981.59581438381
1995,Adjusted Employer NI,40555.36800140744
1996,Adjusted Employer NI,41661.30052319313
1997,Adjusted Employer NI,43347.8208002411
1998,Adjusted Employer NI,44969.28834230704
1999,Adjusted Employer NI,48126.12510256471
2000,Adjusted Employer NI,51733.58843654441
2001,Adjusted Employer NI,53466.65249134043
2002,Adjusted Employer NI,52708.902174707015
2003,Adjusted Employer NI,58036.59623815282
2004,Adjusted Employer NI,62696.70242039692
2005,Adjusted Employer NI,65324.93240867506
2006,Adjusted Employer NI,67999.64025653602
2007,Adjusted Employer NI,72035.62460472347
2008,Adjusted Employer NI,73876.68120002771
2009,Adjusted Employer NI,69068.54283882277
2010,Adjusted Employer NI,69218.61261063808
2011,Adjusted Employer NI,69373.35547650034
2012,Adjusted Employer NI,70455.68524958889
2013,Adjusted Employer NI,70491.2155773747
2014,Adjusted Employer NI,71582.13905067416
2015,Adjusted Employer NI,74219.34709006675
2016,Adjusted Employer NI,78872.1801379265
2017,Adjusted Employer NI,82397.55599386862
2018,Adjusted Employer NI,83560.25052663931
2019,Adjusted Employer NI,85652.39178144
2020,Adjusted Employer NI,86159.8584
2021,Adjusted Employer NI,89367.0
1965,Adjusted Capital gains,49.778089194360845
1966,Adjusted Capital gains,111.77834162914252
1967,Adjusted Capital gains,342.801872956554
1968,Adjusted Capital gains,759.0038864628051
1969,Adjusted Capital gains,2201.6680387173105
1970,Adjusted Capital gains,3502.7731106790397
1971,Adjusted Capital gains,2970.2847143182257
1972,Adjusted Capital gains,3125.1673276945667
1973,Adjusted Capital gains,3909.1551286724653
1974,Adjusted Capital gains,4432.1608295263195
1975,Adjusted Capital gains,3510.727288087883
1976,Adjusted Capital gains,2592.2508442090457
1977,Adjusted Capital gains,2147.208568091139
1978,Adjusted Capital gains,2047.361315915581
1979,Adjusted Capital gains,2295.4465874780904
1980,Adjusted Capital gains,1809.6935686273457
1981,Adjusted Capital gains,1601.0925758171454
1982,Adjusted Capital gains,1792.17066355775
1983,Adjusted Capital gains,1860.7817076484102
1984,Adjusted Capital gains,1913.4631531229797
1985,Adjusted Capital gains,2222.4611553081654
1986,Adjusted Capital gains,2440.2862311648796
1987,Adjusted Capital gains,2968.023783660679
1988,Adjusted Capital gains,5031.773864248088
1989,Adjusted Capital gains,4385.346611696951
1990,Adjusted Capital gains,3835.2706840312344
1991,Adjusted Capital gains,2563.5837454038888
1992,Adjusted Capital gains,1935.2523855674801
1993,Adjusted Capital gains,1380.4781404711082
1994,Adjusted Capital gains,1412.430729931545
1995,Adjusted Capital gains,1427.227324956594
1996,Adjusted Capital gains,1583.1261624200993
1997,Adjusted Capital gains,768.14888329839
1998,Adjusted Capital gains,2285.167971172889
1999,Adjusted Capital gains,3031.918192710958
2000,Adjusted Capital gains,3361.4365826143085
2001,Adjusted Capital gains,5091.206477078291
2002,Adjusted Capital gains,4159.482415913636
2003,Adjusted Capital gains,2220.2017011637304
2004,Adjusted Capital gains,3294.690761632137
2005,Adjusted Capital gains,3277.8427622814465
2006,Adjusted Capital gains,3942.6841126792388
2007,Adjusted Capital gains,5155.641839095618
2008,Adjusted Capital gains,6844.076562469281
2009,Adjusted Capital gains,9920.248888743085
2010,Adjusted Capital gains,3117.419935601769
2011,Adjusted Capital gains,4293.053249138811
2012,Adjusted Capital gains,5038.860393922743
2013,Adjusted Capital gains,4435.039635965045
2014,Adjusted Capital gains,4385.095039196435
2015,Adjusted Capital gains,6230.804100656519
2016,Adjusted Capital gains,7801.7960821845945
2017,Adjusted Capital gains,9223.285376445174
2018,Adjusted Capital gains,8213.083481742744
2019,Adjusted Capital gains,9511.75567276
2020,Adjusted Capital gains,10511.3756
2021,Adjusted Capital gains,12109.0
1965,Adjusted Corporation tax,8030.865056690217
1966,Adjusted Corporation tax,2251.5351671012995
1967,Adjusted Corporation tax,18246.408783278395
1968,Adjusted Corporation tax,19153.686311326084
1969,Adjusted Corporation tax,19165.80254216736
1970,Adjusted Corporation tax,21998.476581461546
1971,Adjusted Corporation tax,18512.754117403798
1972,Adjusted Corporation tax,16180.667069838899
1973,Adjusted Corporation tax,20105.707677707986
1974,Adjusted Corporation tax,25440.24572915611
1975,Adjusted Corporation tax,16618.40171205535
1976,Adjusted Corporation tax,13380.951976774313
1977,Adjusted Corporation tax,16181.32114464712
1978,Adjusted Corporation tax,18893.79829759595
1979,Adjusted Corporation tax,21192.743163030234
1980,Adjusted Corporation tax,24949.494869917246
1981,Adjusted Corporation tax,27849.805358823487
1982,Adjusted Corporation tax,31762.59223318904
1983,Adjusted Corporation tax,34926.55432287506
1984,Adjusted Corporation tax,38591.84979000338
1985,Adjusted Corporation tax,43809.77814217991
1986,Adjusted Corporation tax,38564.564590345086
1987,Adjusted Corporation tax,39245.478713379904
1988,Adjusted Corporation tax,43571.64034934532
1989,Adjusted Corporation tax,51329.58399195538
1990,Adjusted Corporation tax,40683.870311050145
1991,Adjusted Corporation tax,31570.373482766357
1992,Adjusted Corporation tax,23403.38765621959
1993,Adjusted Corporation tax,22119.30452337019
1994,Adjusted Corporation tax,26490.387794745347
1995,Adjusted Corporation tax,33794.46485173043
1996,Adjusted Corporation tax,40271.993304526106
1997,Adjusted Corporation tax,50999.02990546013
1998,Adjusted Corporation tax,53247.544095412115
1999,Adjusted Corporation tax,50367.37563872902
2000,Adjusted Corporation tax,57865.05552731035
2001,Adjusted Corporation tax,51293.905256563776
2002,Adjusted Corporation tax,46128.95499123512
2003,Adjusted Corporation tax,45782.35298933133
2004,Adjusted Corporation tax,54638.2676494835
2005,Adjusted Corporation tax,66082.1534433647
2006,Adjusted Corporation tax,68961.82391703248
2007,Adjusted Corporation tax,67203.80745049653
2008,Adjusted Corporation tax,59350.22576610765
2009,Adjusted Corporation tax,49281.29832830788
2010,Adjusted Corporation tax,56665.335976704046
2011,Adjusted Corporation tax,53920.74880918347
2012,Adjusted Corporation tax,50251.413000952656
2013,Adjusted Corporation tax,49100.27607228446
2014,Adjusted Corporation tax,50445.39837375031
2015,Adjusted Corporation tax,48917.728216978016
2016,Adjusted Corporation tax,60348.992329204375
2017,Adjusted Corporation tax,58788.746895353404
2018,Adjusted Corporation tax,57609.561203025834
2019,Adjusted Corporation tax,53064.76689844
2020,Adjusted Corporation tax,51338.9404
2021,Adjusted Corporation tax,61360.0
1965,Adjusted Property taxes,26398.97996940937
1966,Adjusted Property taxes,27816.83873113804
1967,Adjusted Property taxes,29216.068717888124
1968,Adjusted Property taxes,30866.15804948741
1969,Adjusted Property taxes,31966.52633137634
1970,Adjusted Property taxes,31551.494156040742
1971,Adjusted Property taxes,32479.154080238884
1972,Adjusted Property taxes,35803.547428152975
1973,Adjusted Property taxes,32828.607791450995
1974,Adjusted Property taxes,32937.388745229866
1975,Adjusted Property taxes,34143.26169931372
1976,Adjusted Property taxes,33100.5744702217
1977,Adjusted Property taxes,32272.06525292315
1978,Adjusted Property taxes,32683.957930277338
1979,Adjusted Property taxes,34288.504601610344
1980,Adjusted Property taxes,35951.10760114568
1981,Adjusted Property taxes,40721.01158946851
1982,Adjusted Property taxes,41928.31704438317
1983,Adjusted Property taxes,40459.7030398638
1984,Adjusted Property taxes,40262.683609589156
1985,Adjusted Property taxes,41608.11194505006
1986,Adjusted Property taxes,45490.855891159095
1987,Adjusted Property taxes,49208.8691221075
1988,Adjusted Property taxes,51791.13098947065
1989,Adjusted Property taxes,51861.87131795056
1990,Adjusted Property taxes,33524.15780787978
1991,Adjusted Property taxes,29001.130612096676
1992,Adjusted Property taxes,27566.074054998477
1993,Adjusted Property taxes,37271.151221840344
1994,Adjusted Property taxes,40958.77078953742
1995,Adjusted Property taxes,41934.01599253336
1996,Adjusted Property taxes,44330.79000900233
1997,Adjusted Property taxes,47237.96898308626
1998,Adjusted Property taxes,50935.76800402693
1999,Adjusted Property taxes,55359.04206965092
2000,Adjusted Property taxes,62537.01148315557
2001,Adjusted Property taxes,63261.23530503722
2002,Adjusted Property taxes,65849.62162271218
2003,Adjusted Property taxes,67733.61087659074
2004,Adjusted Property taxes,72312.43534448095
2005,Adjusted Property taxes,75674.31330862286
2006,Adjusted Property taxes,81838.81817188332
2007,Adjusted Property taxes,84934.10796880182
2008,Adjusted Property taxes,77767.2436332317
2009,Adjusted Property taxes,74148.62422753037
2010,Adjusted Property taxes,76502.50082727456
2011,Adjusted Property taxes,75611.40035045732
2012,Adjusted Property taxes,75943.32278057997
2013,Adjusted Property taxes,80572.9176714316
2014,Adjusted Property taxes,83571.12781266727
2015,Adjusted Property taxes,85310.22303849441
2016,Adjusted Property taxes,89744.966490988
2017,Adjusted Property taxes,92173.59200093486
2018,Adjusted Property taxes,93384.98178663861
2019,Adjusted Property taxes,93522.08317892
2020,Adjusted Property taxes,82153.3768
2021,Adjusted Property taxes,88393.0
1965,Adjusted Inheritance tax,4762.1038662605215
1966,Adjusted Inheritance tax,4918.247031682271
1967,Adjusted Inheritance tax,4939.463351237619
1968,Adjusted Inheritance tax,5655.323075605214
1969,Adjusted Inheritance tax,6350.965496299935
1970,Adjusted Inheritance tax,5081.674626477547
1971,Adjusted Inheritance tax,4897.93887585536
1972,Adjusted Inheritance tax,5469.042823465492
1973,Adjusted Inheritance tax,4344.657822052422
1974,Adjusted Inheritance tax,3395.6070871371
1975,Adjusted Inheritance tax,2208.5927816454514
1976,Adjusted Inheritance tax,2407.0900696226854
1977,Adjusted Inheritance tax,2093.927958461086
1978,Adjusted Inheritance tax,1830.8134844245099
1979,Adjusted Inheritance tax,1813.7933337728577
1980,Adjusted Inheritance tax,1761.8764621392247
1981,Adjusted Inheritance tax,3320.5410709965436
1982,Adjusted Inheritance tax,2122.1480323547003
1983,Adjusted Inheritance tax,1996.795300586941
1984,Adjusted Inheritance tax,2067.863638101203
1985,Adjusted Inheritance tax,2399.2182998239027
1986,Adjusted Inheritance tax,2575.997308902164
1987,Adjusted Inheritance tax,2627.7869108995765
1988,Adjusted Inheritance tax,2564.53667943031
1989,Adjusted Inheritance tax,2589.150696816082
1990,Adjusted Inheritance tax,2677.797343343161
1991,Adjusted Inheritance tax,2382.4917368985366
1992,Adjusted Inheritance tax,2213.005290858619
1993,Adjusted Inheritance tax,2249.2121549841368
1994,Adjusted Inheritance tax,2473.9042504769327
1995,Adjusted Inheritance tax,2413.8903465521735
1996,Adjusted Inheritance tax,2640.1723346532726
1997,Adjusted Inheritance tax,2551.46548166125
1998,Adjusted Inheritance tax,2809.504457709134
1999,Adjusted Inheritance tax,3001.152914246108
2000,Adjusted Inheritance tax,3367.517879009811
2001,Adjusted Inheritance tax,3587.8031526704663
2002,Adjusted Inheritance tax,3511.960153294456
2003,Adjusted Inheritance tax,3515.0768741884485
2004,Adjusted Inheritance tax,4119.7984218840875
2005,Adjusted Inheritance tax,4427.617796392177
2006,Adjusted Inheritance tax,4904.347843711997
2007,Adjusted Inheritance tax,5181.098490588034
2008,Adjusted Inheritance tax,4215.423102110902
2009,Adjusted Inheritance tax,3047.7949560936845
2010,Adjusted Inheritance tax,3272.2381683988374
2011,Adjusted Inheritance tax,3501.223427630986
2012,Adjusted Inheritance tax,3637.885134421842
2013,Adjusted Inheritance tax,4836.261827532359
2014,Adjusted Inheritance tax,4353.724916279343
2015,Adjusted Inheritance tax,4989.554699020896
2016,Adjusted Inheritance tax,5308.757560738639
2017,Adjusted Inheritance tax,5797.955445169566
2018,Adjusted Inheritance tax,5637.607130215104
2019,Adjusted Inheritance tax,5346.54471472
2020,Adjusted Inheritance tax,5384.350399999999
2021,Adjusted Inheritance tax,6026.0
1965,Adjusted VAT,0.0
1966,Adjusted VAT,0.0
1967,Adjusted VAT,0.0
1968,Adjusted VAT,0.0
1969,Adjusted VAT,0.0
1970,Adjusted VAT,0.0
1971,Adjusted VAT,0.0
1972,Adjusted VAT,0.0
1973,Adjusted VAT,15895.848308368406
1974,Adjusted VAT,21499.554346452267
1975,Adjusted VAT,23927.620820041597
1976,Adjusted VAT,22929.075919610965
1977,Adjusted VAT,22953.286628626865
1978,Adjusted VAT,25660.91803169192
1979,Adjusted VAT,34505.465526702785
1980,Adjusted VAT,43760.008914551894
1981,Adjusted VAT,42923.746755377106
1982,Adjusted VAT,43314.82745639238
1983,Adjusted VAT,46927.58347002585
1984,Adjusted VAT,50833.6025275625
1985,Adjusted VAT,55179.42152617747
1986,Adjusted VAT,57086.61353337821
1987,Adjusted VAT,60376.360236564105
1988,Adjusted VAT,66860.96938124497
1989,Adjusted VAT,69519.35335435871
1990,Adjusted VAT,69197.04020617876
1991,Adjusted VAT,70782.45244944085
1992,Adjusted VAT,74003.11335714751
1993,Adjusted VAT,73441.43707306296
1994,Adjusted VAT,76883.71415425182
1995,Adjusted VAT,79634.92934402761
1996,Adjusted VAT,84192.34319734544
1997,Adjusted VAT,86815.16684165933
1998,Adjusted VAT,90059.09581734032
1999,Adjusted VAT,95484.65650743141
2000,Adjusted VAT,98848.43226070426
2001,Adjusted VAT,101612.99421413404
2002,Adjusted VAT,106400.15019657661
2003,Adjusted VAT,114001.39219946609
2004,Adjusted VAT,118659.091363294
2005,Adjusted VAT,118982.0377291433
2006,Adjusted VAT,122116.20354010268
2007,Adjusted VAT,125104.70402383426
2008,Adjusted VAT,120928.41330139084
2009,Adjusted VAT,102975.10305215821
2010,Adjusted VAT,120939.04927762032
2011,Adjusted VAT,135332.5411051439
2012,Adjusted VAT,135402.80553692442
2013,Adjusted VAT,138052.25888885555
2014,Adjusted VAT,143010.7885713611
2015,Adjusted VAT,148353.86058793537
2016,Adjusted VAT,151631.11156103073
2017,Adjusted VAT,154492.18502867548
2018,Adjusted VAT,157271.54240837743
2019,Adjusted VAT,160475.02800207998
2020,Adjusted VAT,142975.4172
2021,Adjusted VAT,157118.0
1965,Adjusted Excise duty,39540.39551672064
1966,Adjusted Excise duty,40703.28468752633
1967,Adjusted Excise duty,41977.64753386166
1968,Adjusted Excise duty,43843.636265086745
1969,Adjusted Excise duty,46545.5204595493
1970,Adjusted Excise duty,45429.90579910997
1971,Adjusted Excise duty,42238.66099871306
1972,Adjusted Excise duty,42416.22032443423
1973,Adjusted Excise duty,39371.51730389748
1974,Adjusted Excise duty,36082.79320489371
1975,Adjusted Excise duty,33992.18532011321
1976,Adjusted Excise duty,35859.470011558464
1977,Adjusted Excise duty,36481.233413697344
1978,Adjusted Excise duty,35302.21807466938
1979,Adjusted Excise duty,35060.88549493945
1980,Adjusted Excise duty,31691.706884742296
1981,Adjusted Excise duty,34872.256574317165
1982,Adjusted Excise duty,36034.13413568902
1983,Adjusted Excise duty,37076.72665379694
1984,Adjusted Excise duty,38305.10603218668
1985,Adjusted Excise duty,38831.985028244075
1986,Adjusted Excise duty,40220.74237236121
1987,Adjusted Excise duty,40365.12345778523
1988,Adjusted Excise duty,41852.68261119058
1989,Adjusted Excise duty,40350.884082951816
1990,Adjusted Excise duty,39948.033493765084
1991,Adjusted Excise duty,40508.018652540915
1992,Adjusted Excise duty,40211.04560692168
1993,Adjusted Excise duty,42240.87252753633
1994,Adjusted Excise duty,45103.16254155337
1995,Adjusted Excise duty,47183.93434513191
1996,Adjusted Excise duty,49145.31772105358
1997,Adjusted Excise duty,50928.908430636206
1998,Adjusted Excise duty,54044.22251823883
1999,Adjusted Excise duty,56172.7836850462
2000,Adjusted Excise duty,56730.89374954903
2001,Adjusted Excise duty,54847.26789483048
2002,Adjusted Excise duty,55266.54136236454
2003,Adjusted Excise duty,55381.37467548977
2004,Adjusted Excise duty,56596.64561390815
2005,Adjusted Excise duty,55221.53027519348
2006,Adjusted Excise duty,54105.58851916116
2007,Adjusted Excise duty,54165.05525704744
2008,Adjusted Excise duty,53995.467116046886
2009,Adjusted Excise duty,55696.83435590279
2010,Adjusted Excise duty,56296.86362846357
2011,Adjusted Excise duty,55051.25283145669
2012,Adjusted Excise duty,54426.435537772355
2013,Adjusted Excise duty,52952.23643268568
2014,Adjusted Excise duty,52795.91686946674
2015,Adjusted Excise duty,52791.05143970788
2016,Adjusted Excise duty,52989.224353659134
2017,Adjusted Excise duty,52470.3654178447
2018,Adjusted Excise duty,51746.534056767
2019,Adjusted Excise duty,51027.1991218
2020,Adjusted Excise duty,46010.975999999995
2021,Adjusted Excise duty,48301.0
1965,Tax % GDP,0.2684366568481596
1966,Tax % GDP,0.2776608499606137
1967,Tax % GDP,0.29398235146824386
1968,Tax % GDP,0.2993745443420881
1969,Tax % GDP,0.3149824623482158
1970,Tax % GDP,0.3248946224049672
1971,Tax % GDP,0.302863883702699
1972,Tax % GDP,0.2887950925690191
1973,Tax % GDP,0.26972316325008977
1974,Tax % GDP,0.29540942879307025
1975,Tax % GDP,0.31200977060610074
1976,Tax % GDP,0.30585614267934225
1977,Tax % GDP,0.2954905961250071
1978,Tax % GDP,0.2879563188974942
1979,Tax % GDP,0.2812125352170956
1980,Tax % GDP,0.3104428633236354
1981,Tax % GDP,0.31979175293141954
1982,Tax % GDP,0.3365110425498742
1983,Tax % GDP,0.32330219863499016
1984,Tax % GDP,0.3245230557081024
1985,Tax % GDP,0.3217697308033255
1986,Tax % GDP,0.3287162176920536
1987,Tax % GDP,0.3183099505812252
1988,Tax % GDP,0.32336153421473174
1989,Tax % GDP,0.32242574620485365
1990,Tax % GDP,0.320881390480412
1991,Tax % GDP,0.3065748329817827
1992,Tax % GDP,0.29555000444338897
1993,Tax % GDP,0.28654491860290754
1994,Tax % GDP,0.2913552438433515
1995,Tax % GDP,0.30270944538975464
1996,Tax % GDP,0.30637769569713325
1997,Tax % GDP,0.3082642130004622
1998,Tax % GDP,0.32213462808587634
1999,Tax % GDP,0.3274150869538019
2000,Tax % GDP,0.33601424508731936
2001,Tax % GDP,0.3324754831318599
2002,Tax % GDP,0.3265772560222813
2003,Tax % GDP,0.32739890321057186
2004,Tax % GDP,0.3415078122702157
2005,Tax % GDP,0.3488101735324022
2006,Tax % GDP,0.35418554984364226
2007,Tax % GDP,0.35521720301849047
2008,Tax % GDP,0.3456243901166203
2009,Tax % GDP,0.3335672514661218
2010,Tax % GDP,0.3401621148751026
2011,Tax % GDP,0.34348007398514513
2012,Tax % GDP,0.3326921845503967
2013,Tax % GDP,0.33090108516907374
2014,Tax % GDP,0.32714462525689597
2015,Tax % GDP,0.3297240407606929
2016,Tax % GDP,0.3392674406387665
2017,Tax % GDP,0.3390021369218337
2018,Tax % GDP,0.33699716676103625
2019,Tax % GDP,0.3361464535094222
2020,Tax % GDP,0.35544629575839376
2021,Tax % GDP,0.36223230636816167
1965,Adjusted Other,15032.982936696993
1966,Adjusted Other,15329.601137710997
1967,Adjusted Other,18916.430625875306
1968,Adjusted Other,22398.055865225935
1969,Adjusted Other,28551.118220032804
1970,Adjusted Other,34258.182468838204
1971,Adjusted Other,30612.117974096007
1972,Adjusted Other,26846.99903610081
1973,Adjusted Other,8357.504068196286
1974,Adjusted Other,1813.969049181178
1975,Adjusted Other,1208.6110336040147
1976,Adjusted Other,5425.210695380345
1977,Adjusted Other,12787.34631121278
1978,Adjusted Other,14085.4521301692
1979,Adjusted Other,8969.164643321768
1980,Adjusted Other,21999.54722349625
1981,Adjusted Other,13755.587961435202
1982,Adjusted Other,26516.254800848605
1983,Adjusted Other,15656.032719094714
1984,Adjusted Other,15398.691225060262
1985,Adjusted Other,12269.02532520995
1986,Adjusted Other,13558.541933197295
1987,Adjusted Other,15621.939817414037
1988,Adjusted Other,17995.773194051173
1989,Adjusted Other,14588.615601349447
1990,Adjusted Other,33716.73218154948
1991,Adjusted Other,30995.029080744192
1992,Adjusted Other,28390.31481940142
1993,Adjusted Other,16838.31617198832
1994,Adjusted Other,13566.904672643286
1995,Adjusted Other,18213.899887620937
1996,Adjusted Other,17378.55571298604
1997,Adjusted Other,18006.87600080599
1998,Adjusted Other,18137.3468835284
1999,Adjusted Other,18019.223596862576
2000,Adjusted Other,17573.42625890486
2001,Adjusted Other,17328.070986103034
2002,Adjusted Other,17648.300392342848
2003,Adjusted Other,18203.908050432918
2004,Adjusted Other,18123.669128664536
2005,Adjusted Other,17491.198685175856
2006,Adjusted Other,17267.41994651826
2007,Adjusted Other,18385.06167257554
2008,Adjusted Other,19437.280978661613
2009,Adjusted Other,20783.65131866804
2010,Adjusted Other,21830.609370248974
2011,Adjusted Other,24482.32866800553
2012,Adjusted Other,23668.924757609493
2013,Adjusted Other,24039.233290789532
2014,Adjusted Other,25431.086431967327
2015,Adjusted Other,26087.445832397672
2016,Adjusted Other,27905.234372142353
2017,Adjusted Other,29651.354004017892
2018,Adjusted Other,31113.229036839097
2019,Adjusted Other,33027.64841200004
2020,Adjusted Other,29153.61239999975
2021,Adjusted Other,29773.0
